Browser Name,Browser Version
MicrosoftEdge,124.0.2478.80
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
5.100000023841858 ms,59.5 ms
1 ms,59.30000001192093 ms
1 ms,59.80000001192093 ms
1 ms,66.19999998807907 ms
1.0999999642372131 ms,59.90000003576279 ms
1.199999988079071 ms,58.80000001192093 ms
1.0999999642372131 ms,60.5 ms
1 ms,64.19999998807907 ms
6.399999976158142 ms,60.89999997615814 ms
1.199999988079071 ms,63.59999996423721 ms
2.400000035762787 ms,61.80000001192093 ms
2.699999988079071 ms,67.30000001192093 ms
0.5999999642372131 ms,60.90000003576279 ms
0.8999999761581421 ms,62.59999996423721 ms
1.100000023841858 ms,65 ms
1 ms,62.89999997615814 ms
0.5999999642372131 ms,60 ms
0.9000000357627869 ms,62.10000002384186 ms
0.800000011920929 ms,59.5 ms
1.199999988079071 ms,62.5 ms
1.0999999642372131 ms,61.80000001192093 ms
1.199999988079071 ms,60.5 ms
0.8999999761581421 ms,64.5 ms
1.199999988079071 ms,60.09999996423721 ms
0.9000000357627869 ms,61.5 ms
0.7999999523162842 ms,65.59999996423721 ms
2 ms,59.700000047683716 ms
2 ms,58.09999996423721 ms
1.0999999642372131 ms,60.30000001192093 ms
2.099999964237213 ms,61.799999952316284 ms
1.7999999523162842 ms,58.89999997615814 ms
1.199999988079071 ms,59.5 ms
0.699999988079071 ms,60.39999997615814 ms
1.100000023841858 ms,61.80000001192093 ms
1.199999988079071 ms,64.69999998807907 ms
1.100000023841858 ms,61.5 ms
1.2000000476837158 ms,62.5 ms
0.7000000476837158 ms,68.5 ms
1.800000011920929 ms,61.80000001192093 ms
1.5 ms,63.39999997615814 ms
1.4000000357627869 ms,73.79999995231628 ms
1.5 ms,61.700000047683716 ms
0.5999999642372131 ms,61.19999998807907 ms
0.699999988079071 ms,60.80000001192093 ms
1.699999988079071 ms,66.5 ms
1.199999988079071 ms,64 ms
0.800000011920929 ms,62.90000003576279 ms
1.199999988079071 ms,64.69999998807907 ms
1.300000011920929 ms,60.80000001192093 ms
0.6000000238418579 ms,59.59999996423721 ms
1.100000023841858 ms,60.19999998807907 ms
1 ms,59.799999952316284 ms
0.800000011920929 ms,61.19999998807907 ms
1.600000023841858 ms,62.80000001192093 ms
1.100000023841858 ms,62 ms
0.800000011920929 ms,60.60000002384186 ms
1.600000023841858 ms,79.30000001192093 ms
1.100000023841858 ms,63 ms
2 ms,63.5 ms
1 ms,61.80000001192093 ms
0.699999988079071 ms,59.69999998807907 ms
1.600000023841858 ms,62.10000002384186 ms
1.300000011920929 ms,64 ms
0.800000011920929 ms,61.90000003576279 ms
1.4000000357627869 ms,60.59999996423721 ms
1.0999999642372131 ms,61.90000003576279 ms
1 ms,64 ms
1.199999988079071 ms,65.30000001192093 ms
1 ms,61.60000002384186 ms
0.699999988079071 ms,67.09999996423721 ms
1.699999988079071 ms,62.10000002384186 ms
0.9000000357627869 ms,61.80000001192093 ms
0.8999999761581421 ms,60.40000003576279 ms
1.300000011920929 ms,61.69999998807907 ms
1.899999976158142 ms,71.90000003576279 ms
1.2000000476837158 ms,63.09999996423721 ms
1 ms,62.39999997615814 ms
0.800000011920929 ms,65.69999998807907 ms
1 ms,62.10000002384186 ms
1.899999976158142 ms,64.29999995231628 ms
1.199999988079071 ms,64 ms
1 ms,61.80000001192093 ms
1.4000000357627869 ms,71.79999995231628 ms
0.9000000357627869 ms,85.90000003576279 ms
0.8999999761581421 ms,90.89999997615814 ms
0.7999999523162842 ms,64.69999998807907 ms
1.399999976158142 ms,66.60000002384186 ms
0.7999999523162842 ms,60.90000003576279 ms
1.5 ms,63.69999998807907 ms
0.699999988079071 ms,61.90000003576279 ms
1.300000011920929 ms,70.69999998807907 ms
1.2999999523162842 ms,62.09999996423721 ms
0.7999999523162842 ms,63.39999997615814 ms
1.300000011920929 ms,61.39999997615814 ms
1 ms,61.69999998807907 ms
1.199999988079071 ms,60.89999997615814 ms
1.399999976158142 ms,66.69999998807907 ms
1 ms,62.60000002384186 ms
1.399999976158142 ms,66.30000001192093 ms
1.2999999523162842 ms,61.60000002384186 ms
1.4000000357627869 ms,63.60000002384186 ms
1.5 ms,63.59999996423721 ms
1.699999988079071 ms,64.5 ms
1.600000023841858 ms,63.39999997615814 ms
1.7999999523162842 ms,63.09999996423721 ms
1.100000023841858 ms,63.5 ms
0.5999999642372131 ms,61.59999996423721 ms
1.600000023841858 ms,61.09999996423721 ms
1.5 ms,67.60000002384186 ms
2.100000023841858 ms,63.80000001192093 ms
0.7999999523162842 ms,63 ms
1.399999976158142 ms,63.39999997615814 ms
1.2000000476837158 ms,62.19999998807907 ms
0.699999988079071 ms,60.60000002384186 ms
1 ms,64.89999997615814 ms
0.699999988079071 ms,61.59999996423721 ms
1.100000023841858 ms,61.69999998807907 ms
0.5999999642372131 ms,63.10000002384186 ms
1.699999988079071 ms,63.19999998807907 ms
1.2999999523162842 ms,60.89999997615814 ms
0.699999988079071 ms,64.29999995231628 ms
1.199999988079071 ms,63.299999952316284 ms
1.5999999642372131 ms,60.19999998807907 ms
0.6000000238418579 ms,64.19999998807907 ms
0.800000011920929 ms,62.60000002384186 ms
0.800000011920929 ms,60.5 ms
1.199999988079071 ms,61 ms
0.699999988079071 ms,69.80000001192093 ms
1.300000011920929 ms,65.80000001192093 ms
1 ms,65.39999997615814 ms
0.6000000238418579 ms,64.5 ms
2 ms,65.10000002384186 ms
1 ms,60.80000001192093 ms
1.199999988079071 ms,63.60000002384186 ms
1.300000011920929 ms,70.29999995231628 ms
0.5999999642372131 ms,64.90000003576279 ms
0.8999999761581421 ms,61.5 ms
1.199999988079071 ms,64.39999997615814 ms
1.100000023841858 ms,61.10000002384186 ms
0.800000011920929 ms,63.10000002384186 ms
0.8999999761581421 ms,62.39999997615814 ms
0.800000011920929 ms,64.90000003576279 ms
1 ms,62.19999998807907 ms
1 ms,64.30000001192093 ms
0.800000011920929 ms,62.90000003576279 ms
0.699999988079071 ms,62.69999998807907 ms
1.2999999523162842 ms,60.30000001192093 ms
0.7000000476837158 ms,67.5 ms
1.199999988079071 ms,60.89999997615814 ms
1.5 ms,67.69999998807907 ms
2 ms,62.39999997615814 ms
1.699999988079071 ms,61.19999998807907 ms
1.800000011920929 ms,64.60000002384186 ms
1.2000000476837158 ms,62.80000001192093 ms
1.699999988079071 ms,63.09999996423721 ms
1.800000011920929 ms,65 ms
1.300000011920929 ms,60.80000001192093 ms
1.0999999642372131 ms,62.69999998807907 ms
0.699999988079071 ms,62.5 ms
0.7000000476837158 ms,69 ms
0.800000011920929 ms,64.19999998807907 ms
1.899999976158142 ms,63.39999997615814 ms
1.600000023841858 ms,61.10000002384186 ms
1.100000023841858 ms,61 ms
0.800000011920929 ms,63 ms
0.8999999761581421 ms,68.40000003576279 ms
0.800000011920929 ms,66.90000003576279 ms
1.699999988079071 ms,64 ms
1.399999976158142 ms,67.60000002384186 ms
1.300000011920929 ms,64 ms
0.699999988079071 ms,64.60000002384186 ms
1.4000000357627869 ms,65.60000002384186 ms
0.8999999761581421 ms,61.60000002384186 ms
0.6000000238418579 ms,62 ms
1.5 ms,62.40000003576279 ms
1.300000011920929 ms,63 ms
1.0999999642372131 ms,62.89999997615814 ms
1.2999999523162842 ms,64.79999995231628 ms
1.399999976158142 ms,65.89999997615814 ms
1 ms,65 ms
0.800000011920929 ms,61 ms
0.699999988079071 ms,62.5 ms
0.699999988079071 ms,61.60000002384186 ms
1.0999999642372131 ms,61.60000002384186 ms
0.800000011920929 ms,64.19999998807907 ms
1 ms,66.59999996423721 ms
0.699999988079071 ms,62.19999998807907 ms
1.199999988079071 ms,62.30000001192093 ms
0.699999988079071 ms,64.69999998807907 ms
1.0999999642372131 ms,67.30000001192093 ms
1.100000023841858 ms,66.30000001192093 ms
1.800000011920929 ms,63.90000003576279 ms
1.2000000476837158 ms,63.69999998807907 ms
1.100000023841858 ms,67.39999997615814 ms
0.7000000476837158 ms,61.69999998807907 ms
1.100000023841858 ms,62.89999997615814 ms
0.7999999523162842 ms,62 ms
1.300000011920929 ms,62.60000002384186 ms
0.800000011920929 ms,63.60000002384186 ms
1.100000023841858 ms,64 ms
