Browser Name,Browser Version
chrome,124.0.6367.119
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
6 ms,63.30000001192093 ms
1.0999999642372131 ms,61.69999998807907 ms
1.199999988079071 ms,68.30000001192093 ms
1.2000000476837158 ms,63 ms
2.200000047683716 ms,67.30000001192093 ms
1.899999976158142 ms,63.60000002384186 ms
1.2999999523162842 ms,65.10000002384186 ms
2.199999988079071 ms,61.60000002384186 ms
5 ms,63.80000001192093 ms
1.0999999642372131 ms,61.80000001192093 ms
1.199999988079071 ms,63.10000002384186 ms
1.300000011920929 ms,63.39999997615814 ms
1.4000000357627869 ms,65.89999997615814 ms
1.199999988079071 ms,64.29999995231628 ms
1.100000023841858 ms,60.60000002384186 ms
2 ms,72.09999996423721 ms
1.399999976158142 ms,61.60000002384186 ms
1.5 ms,66.09999996423721 ms
1.5 ms,60.90000003576279 ms
1.199999988079071 ms,62.30000001192093 ms
2.200000047683716 ms,59 ms
1 ms,64.39999997615814 ms
1.199999988079071 ms,66.19999998807907 ms
1.300000011920929 ms,64.60000002384186 ms
1.300000011920929 ms,66.69999998807907 ms
1.0999999642372131 ms,65.60000002384186 ms
1.5 ms,64.20000004768372 ms
1.5999999642372131 ms,65.09999996423721 ms
1.5 ms,59.30000001192093 ms
1.2999999523162842 ms,64.60000002384186 ms
1.399999976158142 ms,66.79999995231628 ms
1.300000011920929 ms,70 ms
1.4000000357627869 ms,68.29999995231628 ms
1.4000000357627869 ms,68.19999998807907 ms
1 ms,69.89999997615814 ms
2 ms,72.60000002384186 ms
1.199999988079071 ms,72.09999996423721 ms
1.5 ms,85.5 ms
1.7999999523162842 ms,74.30000001192093 ms
3.899999976158142 ms,86.89999997615814 ms
1.199999988079071 ms,78.80000001192093 ms
1.300000011920929 ms,81.19999998807907 ms
1.199999988079071 ms,79 ms
2 ms,76.70000004768372 ms
1.300000011920929 ms,73.39999997615814 ms
2 ms,71.70000004768372 ms
1.0999999642372131 ms,71.19999998807907 ms
1.5 ms,76.90000003576279 ms
1.2000000476837158 ms,78.09999996423721 ms
2.199999988079071 ms,76 ms
1.5999999642372131 ms,74.90000003576279 ms
1.0999999642372131 ms,84.19999998807907 ms
2 ms,92.39999997615814 ms
1.5 ms,89.90000003576279 ms
1 ms,87.59999996423721 ms
1.199999988079071 ms,79.09999996423721 ms
1.300000011920929 ms,81.90000003576279 ms
2 ms,77.39999997615814 ms
1.5 ms,80.70000004768372 ms
1.800000011920929 ms,75.19999998807907 ms
1.199999988079071 ms,73.30000001192093 ms
1.899999976158142 ms,74.80000001192093 ms
1.600000023841858 ms,76.40000003576279 ms
1.600000023841858 ms,75.89999997615814 ms
1.800000011920929 ms,76.5 ms
1.699999988079071 ms,72.40000003576279 ms
1.399999976158142 ms,69.19999998807907 ms
1.0999999642372131 ms,63.5 ms
1.5 ms,66.40000003576279 ms
1.300000011920929 ms,65.90000003576279 ms
1.100000023841858 ms,71.5 ms
2 ms,69.90000003576279 ms
1.0999999642372131 ms,71.5 ms
2.100000023841858 ms,70.80000001192093 ms
1.800000011920929 ms,74.60000002384186 ms
1.5999999642372131 ms,72.39999997615814 ms
1.399999976158142 ms,73.10000002384186 ms
1.600000023841858 ms,70.40000003576279 ms
1.300000011920929 ms,79.69999998807907 ms
1.5 ms,70.80000001192093 ms
1.699999988079071 ms,73.90000003576279 ms
1.2999999523162842 ms,98.10000002384186 ms
1.2000000476837158 ms,90.70000004768372 ms
1 ms,81.19999998807907 ms
3.199999988079071 ms,88.90000003576279 ms
1.199999988079071 ms,79.69999998807907 ms
1.5 ms,78.30000001192093 ms
1.600000023841858 ms,78.10000002384186 ms
1.300000011920929 ms,78.89999997615814 ms
2.200000047683716 ms,72.89999997615814 ms
1.399999976158142 ms,76.30000001192093 ms
1.800000011920929 ms,78.30000001192093 ms
1.7000000476837158 ms,73.29999995231628 ms
1.800000011920929 ms,79.5 ms
2.100000023841858 ms,73.40000003576279 ms
1.4000000357627869 ms,72.19999998807907 ms
1.5999999642372131 ms,65.70000004768372 ms
1.5 ms,61.5 ms
1.300000011920929 ms,60.80000001192093 ms
1.0999999642372131 ms,65.60000002384186 ms
1.699999988079071 ms,67.79999995231628 ms
1.100000023841858 ms,73.80000001192093 ms
1.699999988079071 ms,83.80000001192093 ms
1.399999976158142 ms,72.40000003576279 ms
1.5 ms,75.30000001192093 ms
1.5 ms,73.60000002384186 ms
1.300000011920929 ms,84.69999998807907 ms
2 ms,106.30000001192093 ms
1.5 ms,94 ms
1.100000023841858 ms,133.19999998807907 ms
1.800000011920929 ms,108.69999998807907 ms
1.0999999642372131 ms,98.30000001192093 ms
1.699999988079071 ms,90.80000001192093 ms
1.4000000357627869 ms,83.80000001192093 ms
1.0999999642372131 ms,77.59999996423721 ms
1.300000011920929 ms,84.29999995231628 ms
1.199999988079071 ms,76.19999998807907 ms
2 ms,74.40000003576279 ms
1.399999976158142 ms,71.79999995231628 ms
1.199999988079071 ms,75.09999996423721 ms
1.199999988079071 ms,71.79999995231628 ms
1.100000023841858 ms,75.80000001192093 ms
1.800000011920929 ms,68.70000004768372 ms
2.100000023841858 ms,66 ms
1.5 ms,60.10000002384186 ms
1 ms,62 ms
1.7999999523162842 ms,63.10000002384186 ms
1.300000011920929 ms,65.5 ms
1.699999988079071 ms,67.70000004768372 ms
2 ms,72.30000001192093 ms
1.399999976158142 ms,71.30000001192093 ms
2.600000023841858 ms,68.69999998807907 ms
1.9000000357627869 ms,73.79999995231628 ms
1.300000011920929 ms,76 ms
1.5 ms,75.30000001192093 ms
2.199999988079071 ms,74.10000002384186 ms
1.699999988079071 ms,73.80000001192093 ms
1.5 ms,71.89999997615814 ms
1.600000023841858 ms,86.69999998807907 ms
1.100000023841858 ms,95.10000002384186 ms
1.800000011920929 ms,117.30000001192093 ms
1.2000000476837158 ms,90.09999996423721 ms
2.200000047683716 ms,87.69999998807907 ms
1.899999976158142 ms,83.10000002384186 ms
2.199999988079071 ms,78.29999995231628 ms
2.199999988079071 ms,78.5 ms
1.300000011920929 ms,86.89999997615814 ms
1.300000011920929 ms,77.59999996423721 ms
2.100000023841858 ms,73.39999997615814 ms
1.5 ms,72.80000001192093 ms
1.300000011920929 ms,72.40000003576279 ms
1.5999999642372131 ms,75.30000001192093 ms
1.4000000357627869 ms,69.20000004768372 ms
1.800000011920929 ms,61.60000002384186 ms
1.5 ms,60.60000002384186 ms
1.2000000476837158 ms,63 ms
1.800000011920929 ms,64.69999998807907 ms
1.199999988079071 ms,69.69999998807907 ms
1.199999988079071 ms,69.5 ms
2.400000035762787 ms,71.90000003576279 ms
2.100000023841858 ms,70.69999998807907 ms
1.300000011920929 ms,68.60000002384186 ms
2.199999988079071 ms,71.60000002384186 ms
1.100000023841858 ms,78.39999997615814 ms
1.5999999642372131 ms,71.09999996423721 ms
1 ms,70.80000001192093 ms
1.100000023841858 ms,73.39999997615814 ms
1.300000011920929 ms,70.89999997615814 ms
1.5 ms,95 ms
2.099999964237213 ms,86.90000003576279 ms
1.399999976158142 ms,83.30000001192093 ms
1.600000023841858 ms,77 ms
1.5999999642372131 ms,77.5 ms
1.199999988079071 ms,77.80000001192093 ms
1.699999988079071 ms,75.5 ms
2.599999964237213 ms,74.40000003576279 ms
1.600000023841858 ms,76 ms
1.300000011920929 ms,74.60000002384186 ms
1.4000000357627869 ms,73.40000003576279 ms
1.399999976158142 ms,72.80000001192093 ms
2 ms,73.80000001192093 ms
1.600000023841858 ms,72.40000003576279 ms
2.199999988079071 ms,71.09999996423721 ms
1.199999988079071 ms,63.39999997615814 ms
1.600000023841858 ms,62.59999996423721 ms
1.699999988079071 ms,60.40000003576279 ms
1.399999976158142 ms,65.10000002384186 ms
1.5 ms,63.80000001192093 ms
2.199999988079071 ms,66.79999995231628 ms
1.5 ms,70.80000001192093 ms
1.899999976158142 ms,71.39999997615814 ms
1.300000011920929 ms,70.89999997615814 ms
1.100000023841858 ms,71.70000004768372 ms
2.5 ms,69.19999998807907 ms
1.5 ms,74.80000001192093 ms
1.300000011920929 ms,70.70000004768372 ms
1.199999988079071 ms,74.60000002384186 ms
2.299999952316284 ms,72.10000002384186 ms
1.2999999523162842 ms,99.39999997615814 ms
1.800000011920929 ms,90.5 ms
