Browser Name,Browser Version
firefox,125.0.3
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
2 ms,10 ms
2 ms,14 ms
4 ms,15 ms
1 ms,12 ms
3 ms,13 ms
0 ms,22 ms
1 ms,11 ms
1 ms,10 ms
1 ms,13 ms
1 ms,13 ms
1 ms,11 ms
2 ms,12 ms
1 ms,13 ms
2 ms,13 ms
0 ms,13 ms
1 ms,13 ms
3 ms,13 ms
2 ms,13 ms
6 ms,16 ms
5 ms,16 ms
3 ms,14 ms
0 ms,17 ms
1 ms,13 ms
1 ms,12 ms
1 ms,14 ms
1 ms,14 ms
2 ms,14 ms
2 ms,13 ms
1 ms,16 ms
1 ms,13 ms
0 ms,15 ms
1 ms,17 ms
2 ms,14 ms
2 ms,18 ms
4 ms,17 ms
0 ms,18 ms
3 ms,15 ms
2 ms,18 ms
1 ms,15 ms
1 ms,13 ms
1 ms,14 ms
2 ms,16 ms
3 ms,16 ms
1 ms,16 ms
1 ms,15 ms
3 ms,13 ms
1 ms,13 ms
1 ms,15 ms
0 ms,13 ms
1 ms,15 ms
1 ms,14 ms
0 ms,15 ms
2 ms,13 ms
1 ms,15 ms
1 ms,16 ms
4 ms,11 ms
1 ms,15 ms
5 ms,16 ms
2 ms,13 ms
2 ms,14 ms
1 ms,16 ms
2 ms,14 ms
0 ms,12 ms
1 ms,16 ms
3 ms,13 ms
1 ms,15 ms
3 ms,15 ms
2 ms,14 ms
5 ms,16 ms
8 ms,14 ms
1 ms,15 ms
1 ms,13 ms
1 ms,9 ms
1 ms,13 ms
2 ms,13 ms
2 ms,14 ms
1 ms,16 ms
1 ms,15 ms
1 ms,16 ms
2 ms,14 ms
7 ms,13 ms
2 ms,13 ms
2 ms,15 ms
2 ms,13 ms
3 ms,12 ms
1 ms,14 ms
2 ms,14 ms
0 ms,14 ms
0 ms,8 ms
1 ms,14 ms
1 ms,25 ms
1 ms,14 ms
2 ms,12 ms
1 ms,16 ms
1 ms,15 ms
1 ms,14 ms
0 ms,14 ms
1 ms,14 ms
1 ms,16 ms
0 ms,23 ms
1 ms,13 ms
2 ms,13 ms
0 ms,12 ms
1 ms,11 ms
5 ms,15 ms
1 ms,19 ms
2 ms,16 ms
2 ms,17 ms
1 ms,13 ms
2 ms,14 ms
1 ms,14 ms
1 ms,15 ms
0 ms,17 ms
6 ms,14 ms
1 ms,14 ms
1 ms,18 ms
1 ms,15 ms
9 ms,16 ms
4 ms,13 ms
3 ms,15 ms
3 ms,12 ms
1 ms,15 ms
1 ms,35 ms
1 ms,22 ms
3 ms,13 ms
4 ms,13 ms
1 ms,13 ms
6 ms,14 ms
1 ms,13 ms
3 ms,14 ms
9 ms,23 ms
3 ms,14 ms
4 ms,12 ms
2 ms,12 ms
1 ms,10 ms
2 ms,10 ms
1 ms,22 ms
2 ms,13 ms
2 ms,14 ms
1 ms,13 ms
5 ms,13 ms
2 ms,12 ms
5 ms,18 ms
1 ms,13 ms
1 ms,13 ms
1 ms,13 ms
1 ms,15 ms
1 ms,22 ms
1 ms,13 ms
2 ms,14 ms
1 ms,9 ms
1 ms,13 ms
1 ms,13 ms
1 ms,14 ms
7 ms,13 ms
1 ms,16 ms
2 ms,15 ms
1 ms,23 ms
2 ms,13 ms
1 ms,13 ms
1 ms,12 ms
1 ms,13 ms
1 ms,14 ms
2 ms,13 ms
1 ms,13 ms
2 ms,14 ms
2 ms,9 ms
2 ms,15 ms
2 ms,13 ms
1 ms,14 ms
0 ms,13 ms
1 ms,12 ms
0 ms,25 ms
2 ms,14 ms
1 ms,16 ms
2 ms,15 ms
1 ms,17 ms
1 ms,14 ms
2 ms,14 ms
4 ms,13 ms
3 ms,13 ms
1 ms,9 ms
1 ms,13 ms
5 ms,15 ms
1 ms,16 ms
8 ms,16 ms
1 ms,14 ms
1 ms,15 ms
1 ms,24 ms
2 ms,14 ms
2 ms,12 ms
4 ms,14 ms
2 ms,14 ms
2 ms,13 ms
2 ms,13 ms
1 ms,14 ms
1 ms,10 ms
2 ms,13 ms
1 ms,18 ms
2 ms,15 ms
