Browser Name,Browser Version
MicrosoftEdge,125.0.2535.51
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
12.200000002980232 ms,19.400000005960464 ms
4.199999988079071 ms,17.399999991059303 ms
3.5999999940395355 ms,18.299999997019768 ms
3.7999999970197678 ms,18.5 ms
3.5 ms,19.19999998807907 ms
3.5 ms,17.900000005960464 ms
3.7999999970197678 ms,16.700000002980232 ms
4.600000008940697 ms,17.299999997019768 ms
3.7000000029802322 ms,17.700000002980232 ms
4 ms,18.099999994039536 ms
3.6000000089406967 ms,20.600000008940697 ms
4.0999999940395355 ms,17.799999997019768 ms
4 ms,18 ms
3.7000000029802322 ms,17.700000002980232 ms
3.7999999970197678 ms,16.600000008940697 ms
3.7000000029802322 ms,18.700000002980232 ms
3.6000000089406967 ms,17.899999991059303 ms
3.7000000029802322 ms,22.19999998807907 ms
4 ms,17.200000002980232 ms
3.699999988079071 ms,18.200000002980232 ms
3.7000000029802322 ms,16.200000002980232 ms
3.7000000029802322 ms,17.600000008940697 ms
4 ms,16.600000008940697 ms
3.699999988079071 ms,17.799999997019768 ms
4.199999988079071 ms,17.100000008940697 ms
3.7000000029802322 ms,18 ms
3.5999999940395355 ms,16.900000005960464 ms
3.7000000029802322 ms,17.599999994039536 ms
4.0999999940395355 ms,17.19999998807907 ms
3.7000000029802322 ms,18 ms
3.7000000029802322 ms,17 ms
3.7000000029802322 ms,17.799999997019768 ms
4.4000000059604645 ms,16.5 ms
4.0999999940395355 ms,21.299999997019768 ms
3.800000011920929 ms,16.600000008940697 ms
3.7000000029802322 ms,17.299999997019768 ms
3.699999988079071 ms,21.599999994039536 ms
4.100000008940697 ms,17.799999997019768 ms
3.5999999940395355 ms,16.399999991059303 ms
4.4000000059604645 ms,16.900000005960464 ms
4.200000002980232 ms,21.5 ms
3.7000000029802322 ms,18.700000002980232 ms
3.5999999940395355 ms,16.700000002980232 ms
4.0999999940395355 ms,17.399999991059303 ms
3.7000000029802322 ms,19.299999997019768 ms
6.0999999940395355 ms,19.299999997019768 ms
3.5999999940395355 ms,16.80000001192093 ms
3.7000000029802322 ms,18.5 ms
3.6000000089406967 ms,17.700000002980232 ms
3.8999999910593033 ms,17.400000005960464 ms
4.100000008940697 ms,17.200000002980232 ms
4.5 ms,17.299999997019768 ms
3.7000000029802322 ms,17.600000008940697 ms
3.5 ms,18.299999997019768 ms
3.7000000029802322 ms,17.400000005960464 ms
3.8999999910593033 ms,17.200000002980232 ms
4 ms,17.400000005960464 ms
3.699999988079071 ms,20.599999994039536 ms
3.6000000089406967 ms,16.600000008940697 ms
3.7000000029802322 ms,17.400000005960464 ms
3.5999999940395355 ms,19.399999991059303 ms
3.5 ms,16.69999998807907 ms
4.0999999940395355 ms,16.700000002980232 ms
3.800000011920929 ms,19 ms
3.8999999910593033 ms,17.5 ms
3.7000000029802322 ms,17.799999997019768 ms
6.5999999940395355 ms,16.799999997019768 ms
3.7000000029802322 ms,16.900000005960464 ms
3.5 ms,16.799999997019768 ms
3.7000000029802322 ms,19.700000002980232 ms
3.7000000029802322 ms,17 ms
4.299999997019768 ms,18.5 ms
4.5999999940395355 ms,16.799999997019768 ms
3.7000000029802322 ms,17.200000002980232 ms
3.7999999970197678 ms,17 ms
3.9000000059604645 ms,18 ms
3.5999999940395355 ms,18.299999997019768 ms
3.9000000059604645 ms,17.600000008940697 ms
3.5999999940395355 ms,17.200000002980232 ms
3.5 ms,17.399999991059303 ms
4.0999999940395355 ms,16.899999991059303 ms
3.7000000029802322 ms,17.099999994039536 ms
3.6000000089406967 ms,19 ms
3.5999999940395355 ms,17.69999998807907 ms
4 ms,16.600000008940697 ms
4.9000000059604645 ms,19.400000005960464 ms
4.4000000059604645 ms,16.899999991059303 ms
6.5999999940395355 ms,17.100000008940697 ms
3.699999988079071 ms,17.5 ms
3.800000011920929 ms,18.299999997019768 ms
3.5999999940395355 ms,19.299999997019768 ms
3.7999999970197678 ms,17 ms
3.6000000089406967 ms,17.700000002980232 ms
4.5999999940395355 ms,17.299999997019768 ms
3.7999999970197678 ms,16.799999997019768 ms
3.699999988079071 ms,18 ms
4.100000008940697 ms,17.799999997019768 ms
3.6000000089406967 ms,17.600000008940697 ms
3.5999999940395355 ms,17 ms
3.7000000029802322 ms,17.80000001192093 ms
