Browser Name,Browser Version
chrome,124.0.6367.119
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
9.199999988079071 ms,68.19999998807907 ms
4 ms,17.69999998807907 ms
3.600000023841858 ms,17.5 ms
3.599999964237213 ms,18.5 ms
3.699999988079071 ms,18.399999976158142 ms
3.900000035762787 ms,18.30000001192093 ms
3.600000023841858 ms,19.5 ms
3.600000023841858 ms,18.19999998807907 ms
3.700000047683716 ms,18.80000001192093 ms
3.800000011920929 ms,16.900000035762787 ms
4.5 ms,18.80000001192093 ms
3.599999964237213 ms,18.099999964237213 ms
4.300000011920929 ms,19.299999952316284 ms
3.600000023841858 ms,19.700000047683716 ms
4.199999988079071 ms,18.5 ms
3.599999964237213 ms,18.599999964237213 ms
3.600000023841858 ms,18.30000001192093 ms
3.800000011920929 ms,16.899999976158142 ms
3.699999988079071 ms,18.599999964237213 ms
5.5 ms,18.19999998807907 ms
4.399999976158142 ms,18.600000023841858 ms
4.5 ms,19.099999964237213 ms
4.799999952316284 ms,19.5 ms
4.300000011920929 ms,18.399999976158142 ms
4.600000023841858 ms,18 ms
5.299999952316284 ms,18.5 ms
5 ms,21.700000047683716 ms
5.099999964237213 ms,19.099999964237213 ms
4.800000011920929 ms,17.599999964237213 ms
3.800000011920929 ms,17.600000023841858 ms
3.800000011920929 ms,18.599999964237213 ms
3.700000047683716 ms,17.69999998807907 ms
4.399999976158142 ms,17.600000023841858 ms
3.900000035762787 ms,17.5 ms
4.300000011920929 ms,18.400000035762787 ms
4.199999988079071 ms,17.30000001192093 ms
4.100000023841858 ms,18.399999976158142 ms
4.300000011920929 ms,19 ms
4.699999988079071 ms,18.099999964237213 ms
4.799999952316284 ms,20.399999976158142 ms
4.399999976158142 ms,22 ms
5.199999988079071 ms,19.69999998807907 ms
6.800000011920929 ms,18.400000035762787 ms
3.899999976158142 ms,17.19999998807907 ms
3.700000047683716 ms,18.200000047683716 ms
4.100000023841858 ms,16.700000047683716 ms
5 ms,18.100000023841858 ms
3.899999976158142 ms,17.899999976158142 ms
3.900000035762787 ms,18.80000001192093 ms
3.899999976158142 ms,17.69999998807907 ms
4.099999964237213 ms,18.099999964237213 ms
3.699999988079071 ms,18 ms
4 ms,19.899999976158142 ms
4.100000023841858 ms,19.600000023841858 ms
5.100000023841858 ms,19.899999976158142 ms
4.5 ms,18.19999998807907 ms
6.100000023841858 ms,21 ms
5.300000011920929 ms,20.200000047683716 ms
4.5 ms,22.19999998807907 ms
4.299999952316284 ms,18.19999998807907 ms
4.199999988079071 ms,18 ms
3.699999988079071 ms,17.80000001192093 ms
5 ms,19 ms
5.600000023841858 ms,20.600000023841858 ms
4 ms,20 ms
4.099999964237213 ms,20.5 ms
4.199999988079071 ms,21.600000023841858 ms
3.899999976158142 ms,21.100000023841858 ms
6.100000023841858 ms,18.899999976158142 ms
4.399999976158142 ms,17.299999952316284 ms
4.199999988079071 ms,18.5 ms
3.800000011920929 ms,17.899999976158142 ms
3.599999964237213 ms,18.899999976158142 ms
4.399999976158142 ms,18.099999964237213 ms
4 ms,18.30000001192093 ms
4.300000011920929 ms,18.69999998807907 ms
3.800000011920929 ms,19.100000023841858 ms
3.699999988079071 ms,20.799999952316284 ms
4.399999976158142 ms,19.69999998807907 ms
4.299999952316284 ms,18.80000001192093 ms
3.699999988079071 ms,19.69999998807907 ms
4.300000011920929 ms,19.900000035762787 ms
4 ms,20.899999976158142 ms
3.900000035762787 ms,19.100000023841858 ms
4.100000023841858 ms,21.19999998807907 ms
4.5 ms,20.600000023841858 ms
5.199999988079071 ms,24.299999952316284 ms
3.900000035762787 ms,23.600000023841858 ms
5.200000047683716 ms,26.80000001192093 ms
4.300000011920929 ms,22.100000023841858 ms
5.200000047683716 ms,25.100000023841858 ms
4.300000011920929 ms,22 ms
5 ms,24.100000023841858 ms
5.300000011920929 ms,26.399999976158142 ms
5.5 ms,30.600000023841858 ms
4.199999988079071 ms,24.599999964237213 ms
5.199999988079071 ms,25.69999998807907 ms
4.5 ms,23.400000035762787 ms
6.100000023841858 ms,22.19999998807907 ms
4.800000011920929 ms,22.100000023841858 ms
5 ms,21.099999964237213 ms
4.199999988079071 ms,20.5 ms
3.699999988079071 ms,21.80000001192093 ms
4 ms,20.69999998807907 ms
3.800000011920929 ms,19.799999952316284 ms
4.900000035762787 ms,23.5 ms
4.600000023841858 ms,20.69999998807907 ms
5.099999964237213 ms,19.100000023841858 ms
4.100000023841858 ms,19.100000023841858 ms
5 ms,18.799999952316284 ms
4.600000023841858 ms,21.80000001192093 ms
4.899999976158142 ms,20.600000023841858 ms
4.899999976158142 ms,20.700000047683716 ms
4.199999988079071 ms,19.799999952316284 ms
4.299999952316284 ms,22.099999964237213 ms
4.099999964237213 ms,19.400000035762787 ms
3.799999952316284 ms,21.69999998807907 ms
3.799999952316284 ms,20.19999998807907 ms
3.699999988079071 ms,19.600000023841858 ms
3.700000047683716 ms,19.19999998807907 ms
4.300000011920929 ms,18.30000001192093 ms
4.300000011920929 ms,17.5 ms
4.400000035762787 ms,18.399999976158142 ms
3.800000011920929 ms,16.5 ms
5.599999964237213 ms,18.299999952316284 ms
5.399999976158142 ms,17.600000023841858 ms
3.699999988079071 ms,18.399999976158142 ms
3.800000011920929 ms,18.5 ms
3.699999988079071 ms,19.399999976158142 ms
5.099999964237213 ms,18.80000001192093 ms
6.199999988079071 ms,20.19999998807907 ms
5.100000023841858 ms,19.900000035762787 ms
4.600000023841858 ms,18.900000035762787 ms
5.199999988079071 ms,19.69999998807907 ms
5.099999964237213 ms,23.100000023841858 ms
5.299999952316284 ms,18.80000001192093 ms
5.300000011920929 ms,21 ms
5.300000011920929 ms,20 ms
5.299999952316284 ms,19.400000035762787 ms
5.300000011920929 ms,18.80000001192093 ms
5.100000023841858 ms,19.30000001192093 ms
5.5 ms,18.599999964237213 ms
6.900000035762787 ms,24.900000035762787 ms
6.099999964237213 ms,23.80000001192093 ms
5.699999988079071 ms,23.399999976158142 ms
5.400000035762787 ms,21 ms
6 ms,22 ms
5.099999964237213 ms,24 ms
6.199999988079071 ms,20.900000035762787 ms
5 ms,20.299999952316284 ms
5 ms,20.80000001192093 ms
5.699999988079071 ms,19.30000001192093 ms
4.799999952316284 ms,21.19999998807907 ms
4.799999952316284 ms,21.299999952316284 ms
5.399999976158142 ms,20.100000023841858 ms
4.700000047683716 ms,19.80000001192093 ms
4.800000011920929 ms,19 ms
4.700000047683716 ms,19.80000001192093 ms
4.700000047683716 ms,19.299999952316284 ms
5.699999988079071 ms,19.5 ms
4.899999976158142 ms,22 ms
4.5 ms,22.30000001192093 ms
4.5 ms,20.19999998807907 ms
4.599999964237213 ms,19.099999964237213 ms
4.799999952316284 ms,19.299999952316284 ms
4.600000023841858 ms,18.900000035762787 ms
5.099999964237213 ms,19.200000047683716 ms
4.799999952316284 ms,17.899999976158142 ms
4.900000035762787 ms,17.69999998807907 ms
4.5 ms,16.899999976158142 ms
4.5 ms,18.19999998807907 ms
4.5 ms,16.5 ms
4 ms,17.100000023841858 ms
5.399999976158142 ms,19.399999976158142 ms
3.799999952316284 ms,19.19999998807907 ms
4 ms,18.5 ms
3.600000023841858 ms,22.900000035762787 ms
3.899999976158142 ms,19.099999964237213 ms
4 ms,19.5 ms
4 ms,18.80000001192093 ms
3.799999952316284 ms,20.799999952316284 ms
4.300000011920929 ms,18.80000001192093 ms
4.300000011920929 ms,19.5 ms
4.300000011920929 ms,18.5 ms
4.399999976158142 ms,19.700000047683716 ms
5.600000023841858 ms,18.900000035762787 ms
4.800000011920929 ms,19.30000001192093 ms
4.5 ms,20.200000047683716 ms
4.900000035762787 ms,19.299999952316284 ms
4.5 ms,18.5 ms
4.300000011920929 ms,24.69999998807907 ms
4.599999964237213 ms,20.5 ms
4.5 ms,22.30000001192093 ms
4.5 ms,24.600000023841858 ms
4.400000035762787 ms,23.900000035762787 ms
4.399999976158142 ms,21.100000023841858 ms
4.400000035762787 ms,21.30000001192093 ms
4.400000035762787 ms,21.299999952316284 ms
4.300000011920929 ms,20.600000023841858 ms
4.5 ms,21.099999964237213 ms
