Browser Name,Browser Version
MicrosoftEdge,125.0.2535.51
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
246.79999999701977 ms,359.70000000298023 ms
241.6000000089407 ms,326.79999999701977 ms
224.20000000298023 ms,242.90000000596046 ms
212.79999999701977 ms,221.09999999403954 ms
208.20000000298023 ms,224.40000000596046 ms
220.20000000298023 ms,243 ms
217.5 ms,330.5 ms
219.5 ms,213.09999999403954 ms
211.09999999403954 ms,221.29999999701977 ms
200.70000000298023 ms,219.3999999910593 ms
212.20000000298023 ms,213.09999999403954 ms
213.5 ms,223.6000000089407 ms
209.09999999403954 ms,207.59999999403954 ms
239.5 ms,206.90000000596046 ms
212.80000001192093 ms,212.5 ms
210.90000000596046 ms,223.19999998807907 ms
215.09999999403954 ms,242.70000000298023 ms
213.20000000298023 ms,247.1000000089407 ms
215.09999999403954 ms,300.8999999910593 ms
259 ms,296.8999999910593 ms
238.3999999910593 ms,270.1000000089407 ms
222.29999999701977 ms,303.29999999701977 ms
235.5 ms,288.29999999701977 ms
230.70000000298023 ms,287.80000001192093 ms
226.5 ms,294.8999999910593 ms
236.29999999701977 ms,295.29999999701977 ms
272.19999998807907 ms,273.20000000298023 ms
257.79999999701977 ms,219 ms
211.09999999403954 ms,222.59999999403954 ms
201.5 ms,211.6000000089407 ms
203.3999999910593 ms,211.59999999403954 ms
235.29999999701977 ms,216.70000000298023 ms
222.8999999910593 ms,204.29999999701977 ms
355.30000001192093 ms,209.09999999403954 ms
420.20000000298023 ms,204.59999999403954 ms
422.80000001192093 ms,205.70000000298023 ms
446.5 ms,200.40000000596046 ms
515.2000000029802 ms,206.1000000089407 ms
526.1000000089407 ms,200.8999999910593 ms
486 ms,198.59999999403954 ms
385.80000001192093 ms,203.59999999403954 ms
418.5 ms,200.20000000298023 ms
412 ms,195.1000000089407 ms
453.3999999910593 ms,202 ms
414.19999998807907 ms,207.8999999910593 ms
407.79999999701977 ms,199.90000000596046 ms
387.5 ms,197.40000000596046 ms
432.5 ms,200 ms
415.79999999701977 ms,199.59999999403954 ms
480.79999999701977 ms,201.59999999403954 ms
428.3999999910593 ms,207.59999999403954 ms
412.5 ms,199.5 ms
412.5 ms,201.79999999701977 ms
402.40000000596046 ms,194.09999999403954 ms
422.79999999701977 ms,191.59999999403954 ms
463.8999999910593 ms,194.70000000298023 ms
387 ms,198.3999999910593 ms
442.1000000089407 ms,199.29999999701977 ms
431 ms,197 ms
602.7999999970198 ms,196.70000000298023 ms
432.09999999403954 ms,201.29999999701977 ms
513 ms,197.29999999701977 ms
471.1000000089407 ms,196.90000000596046 ms
402.80000001192093 ms,194.5 ms
444.19999998807907 ms,196.8999999910593 ms
437.90000000596046 ms,194.40000000596046 ms
513.2000000029802 ms,197.20000000298023 ms
422.69999998807907 ms,197.69999998807907 ms
517.2000000029802 ms,193.1000000089407 ms
408.79999999701977 ms,194.5 ms
853.3999999910593 ms,199.79999999701977 ms
436.59999999403954 ms,197.5 ms
409.29999999701977 ms,192.5 ms
425.70000000298023 ms,211.90000000596046 ms
419.1000000089407 ms,193.5 ms
461.5 ms,274.59999999403954 ms
429.09999999403954 ms,230.09999999403954 ms
372 ms,205.5 ms
415.90000000596046 ms,199.8999999910593 ms
414 ms,201.20000000298023 ms
429 ms,202.20000000298023 ms
429 ms,210.20000000298023 ms
399.20000000298023 ms,196.40000000596046 ms
387.79999999701977 ms,200.79999999701977 ms
379.09999999403954 ms,193.29999999701977 ms
421.6000000089407 ms,196.30000001192093 ms
448.1000000089407 ms,199.29999999701977 ms
411.8999999910593 ms,194.20000000298023 ms
388.70000000298023 ms,196.5 ms
405.6000000089407 ms,194.5 ms
423.59999999403954 ms,212.09999999403954 ms
451.3999999910593 ms,198.1000000089407 ms
428.40000000596046 ms,208 ms
411.30000001192093 ms,195.69999998807907 ms
382.40000000596046 ms,207.3999999910593 ms
402.3999999910593 ms,198.20000000298023 ms
447.6000000089407 ms,192.69999998807907 ms
433.40000000596046 ms,200.20000000298023 ms
417.70000000298023 ms,202.20000000298023 ms
415.29999999701977 ms,193.5 ms
