Browser Name,Browser Version
chrome,124.0.6367.210
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
223.19999998807907 ms,194.1000000089407 ms
200.69999998807907 ms,199.29999999701977 ms
203.1000000089407 ms,203.79999999701977 ms
198.6000000089407 ms,196.70000000298023 ms
202.5 ms,191.5 ms
211.3999999910593 ms,195.5 ms
223.6000000089407 ms,218.59999999403954 ms
204 ms,267.59999999403954 ms
202 ms,214.20000000298023 ms
217.40000000596046 ms,196.79999999701977 ms
216.29999999701977 ms,193.59999999403954 ms
202.20000000298023 ms,192.70000000298023 ms
198.79999999701977 ms,211.20000000298023 ms
201.1000000089407 ms,205 ms
206.79999999701977 ms,197.1000000089407 ms
203.09999999403954 ms,244.59999999403954 ms
200.5 ms,199.09999999403954 ms
198.80000001192093 ms,190.70000000298023 ms
202.1000000089407 ms,202.59999999403954 ms
209 ms,192.09999999403954 ms
204.79999999701977 ms,190.69999998807907 ms
200 ms,194.5 ms
206.80000001192093 ms,196.59999999403954 ms
204.09999999403954 ms,228.5 ms
209.59999999403954 ms,223.20000000298023 ms
207.40000000596046 ms,215.40000000596046 ms
202.8999999910593 ms,199.59999999403954 ms
199.20000000298023 ms,193.69999998807907 ms
202.8999999910593 ms,196.40000000596046 ms
208.1000000089407 ms,211.5 ms
210.70000000298023 ms,201.6000000089407 ms
205.79999999701977 ms,194.70000000298023 ms
217.90000000596046 ms,223 ms
204.29999999701977 ms,221.20000000298023 ms
212.79999999701977 ms,226.09999999403954 ms
210.29999999701977 ms,202.20000000298023 ms
205.79999999701977 ms,196.29999999701977 ms
203.3999999910593 ms,195 ms
200.90000000596046 ms,191.29999999701977 ms
198.20000000298023 ms,199.20000000298023 ms
214.79999999701977 ms,203.59999999403954 ms
206.09999999403954 ms,199.69999998807907 ms
206.80000001192093 ms,227.20000000298023 ms
229.29999999701977 ms,191.29999999701977 ms
200.8999999910593 ms,197.69999998807907 ms
219.30000001192093 ms,220 ms
241.20000000298023 ms,188.29999999701977 ms
205.40000000596046 ms,193.8999999910593 ms
213.20000000298023 ms,202.40000000596046 ms
207.20000000298023 ms,199.20000000298023 ms
214.5 ms,205 ms
216.1000000089407 ms,230.90000000596046 ms
205.90000000596046 ms,207.40000000596046 ms
201.20000000298023 ms,196.09999999403954 ms
207 ms,193.1000000089407 ms
217.70000000298023 ms,194.6000000089407 ms
225 ms,206.19999998807907 ms
236.40000000596046 ms,207.70000000298023 ms
213 ms,191.79999999701977 ms
205.3999999910593 ms,209.29999999701977 ms
209.5 ms,239.79999999701977 ms
206.40000000596046 ms,207.19999998807907 ms
209.70000000298023 ms,192.59999999403954 ms
209.69999998807907 ms,195.80000001192093 ms
205.29999999701977 ms,188.20000000298023 ms
222.40000000596046 ms,192.8999999910593 ms
216.09999999403954 ms,198.8999999910593 ms
216.70000000298023 ms,194.20000000298023 ms
205.5 ms,263.20000000298023 ms
199.59999999403954 ms,243.20000000298023 ms
213.69999998807907 ms,212.8999999910593 ms
206 ms,206.5 ms
207.79999999701977 ms,228 ms
204.5 ms,212.5 ms
230.1000000089407 ms,229.20000000298023 ms
262 ms,198.29999999701977 ms
209.90000000596046 ms,198.20000000298023 ms
203.69999998807907 ms,199.90000000596046 ms
207 ms,213.3999999910593 ms
213.09999999403954 ms,194.29999999701977 ms
214.6000000089407 ms,238.09999999403954 ms
204.59999999403954 ms,214.40000000596046 ms
209.69999998807907 ms,199.1000000089407 ms
215.6000000089407 ms,200 ms
252.29999999701977 ms,199.69999998807907 ms
229.90000000596046 ms,209.40000000596046 ms
213.79999999701977 ms,234.29999999701977 ms
207.6000000089407 ms,206.29999999701977 ms
207.5 ms,197.79999999701977 ms
209 ms,198.6000000089407 ms
208.19999998807907 ms,198.40000000596046 ms
220.1000000089407 ms,221 ms
218.59999999403954 ms,228 ms
218.59999999403954 ms,228.79999999701977 ms
201.79999999701977 ms,223.20000000298023 ms
209.70000000298023 ms,217.5 ms
219.8999999910593 ms,213.29999999701977 ms
207.20000000298023 ms,221.59999999403954 ms
205.5 ms,237.5 ms
214.70000000298023 ms,234.5 ms
