Browser Name,Browser Version
firefox,126.0
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
219 ms,247 ms
209 ms,244 ms
211 ms,241 ms
200 ms,242 ms
201 ms,333 ms
232 ms,289 ms
225 ms,261 ms
211 ms,313 ms
207 ms,318 ms
211 ms,306 ms
202 ms,278 ms
201 ms,270 ms
205 ms,284 ms
218 ms,286 ms
209 ms,314 ms
212 ms,284 ms
202 ms,264 ms
201 ms,265 ms
206 ms,286 ms
210 ms,290 ms
218 ms,263 ms
236 ms,269 ms
255 ms,263 ms
211 ms,287 ms
204 ms,307 ms
203 ms,287 ms
202 ms,267 ms
204 ms,260 ms
200 ms,271 ms
216 ms,327 ms
248 ms,320 ms
205 ms,273 ms
210 ms,266 ms
209 ms,255 ms
205 ms,326 ms
201 ms,529 ms
200 ms,608 ms
212 ms,592 ms
212 ms,770 ms
201 ms,803 ms
213 ms,667 ms
203 ms,485 ms
213 ms,547 ms
205 ms,623 ms
209 ms,547 ms
204 ms,491 ms
202 ms,498 ms
200 ms,557 ms
205 ms,649 ms
199 ms,582 ms
212 ms,513 ms
270 ms,536 ms
218 ms,601 ms
203 ms,620 ms
217 ms,539 ms
207 ms,525 ms
201 ms,533 ms
222 ms,560 ms
242 ms,738 ms
211 ms,559 ms
219 ms,588 ms
200 ms,741 ms
201 ms,691 ms
203 ms,673 ms
203 ms,708 ms
240 ms,1483 ms
222 ms,602 ms
216 ms,564 ms
210 ms,574 ms
197 ms,649 ms
202 ms,607 ms
201 ms,492 ms
204 ms,526 ms
229 ms,575 ms
221 ms,597 ms
212 ms,560 ms
205 ms,564 ms
200 ms,558 ms
205 ms,598 ms
205 ms,562 ms
199 ms,538 ms
211 ms,541 ms
227 ms,647 ms
204 ms,605 ms
205 ms,557 ms
199 ms,561 ms
200 ms,590 ms
202 ms,618 ms
196 ms,585 ms
218 ms,558 ms
229 ms,467 ms
214 ms,420 ms
200 ms,335 ms
206 ms,312 ms
204 ms,307 ms
207 ms,384 ms
207 ms,291 ms
220 ms,287 ms
238 ms,278 ms
207 ms,296 ms
