Browser Name,Browser Version
MicrosoftEdge,124.0.2478.80
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
27.70 ms,6.80 ms
3.30 ms,4.20 ms
1.60 ms,4.20 ms
2.40 ms,4.40 ms
2.20 ms,3.30 ms
1.40 ms,14.70 ms
2.10 ms,3.40 ms
2.00 ms,3.50 ms
2.10 ms,3.50 ms
1.90 ms,4.20 ms
1.90 ms,3.00 ms
1.70 ms,4.10 ms
2.00 ms,2.90 ms
1.40 ms,4.10 ms
1.40 ms,3.80 ms
1.60 ms,2.90 ms
1.50 ms,3.40 ms
4.50 ms,10.80 ms
1.90 ms,3.60 ms
1.40 ms,2.90 ms
1.60 ms,3.70 ms
1.90 ms,4.50 ms
1.30 ms,3.00 ms
1.40 ms,3.60 ms
1.60 ms,2.90 ms
1.60 ms,4.20 ms
1.50 ms,14.80 ms
1.30 ms,2.90 ms
1.70 ms,3.60 ms
1.40 ms,3.20 ms
1.30 ms,3.20 ms
1.40 ms,3.50 ms
1.40 ms,2.90 ms
2.40 ms,3.40 ms
5.80 ms,3.20 ms
1.80 ms,3.30 ms
1.80 ms,2.90 ms
2.00 ms,2.80 ms
1.70 ms,10.70 ms
1.70 ms,6.40 ms
1.70 ms,3.10 ms
1.40 ms,13.10 ms
1.30 ms,2.90 ms
7.70 ms,3.20 ms
1.30 ms,3.80 ms
1.30 ms,2.90 ms
2.10 ms,2.80 ms
1.80 ms,2.90 ms
1.40 ms,3.70 ms
1.30 ms,3.80 ms
1.40 ms,3.60 ms
2.20 ms,2.90 ms
2.00 ms,3.80 ms
1.80 ms,2.80 ms
1.50 ms,3.00 ms
1.80 ms,2.90 ms
1.70 ms,2.90 ms
1.40 ms,3.00 ms
2.20 ms,3.50 ms
7.80 ms,3.00 ms
1.70 ms,3.90 ms
1.40 ms,4.40 ms
1.40 ms,3.30 ms
1.70 ms,3.20 ms
1.40 ms,2.90 ms
2.00 ms,3.10 ms
2.50 ms,4.00 ms
1.80 ms,2.90 ms
1.40 ms,2.90 ms
1.30 ms,2.80 ms
1.60 ms,3.70 ms
1.40 ms,2.90 ms
1.20 ms,2.90 ms
2.90 ms,3.80 ms
1.90 ms,3.80 ms
6.00 ms,3.20 ms
1.30 ms,3.80 ms
1.80 ms,2.90 ms
1.30 ms,3.00 ms
1.50 ms,10.10 ms
1.90 ms,2.80 ms
1.40 ms,3.60 ms
1.30 ms,2.90 ms
1.40 ms,2.90 ms
1.40 ms,3.10 ms
1.40 ms,2.90 ms
1.40 ms,3.70 ms
1.30 ms,3.90 ms
4.30 ms,3.00 ms
1.70 ms,2.90 ms
7.60 ms,3.30 ms
1.40 ms,12.30 ms
1.50 ms,4.00 ms
1.70 ms,2.90 ms
1.40 ms,3.20 ms
2.00 ms,2.90 ms
1.60 ms,10.60 ms
1.40 ms,3.70 ms
1.70 ms,4.20 ms
1.40 ms,3.30 ms
1.60 ms,2.90 ms
4.60 ms,4.00 ms
2.10 ms,3.90 ms
1.70 ms,4.40 ms
1.40 ms,3.00 ms
1.40 ms,2.90 ms
1.80 ms,4.00 ms
1.50 ms,9.60 ms
1.40 ms,2.80 ms
1.60 ms,3.90 ms
1.80 ms,3.40 ms
6.10 ms,2.90 ms
5.60 ms,9.50 ms
1.70 ms,2.90 ms
1.80 ms,2.90 ms
1.70 ms,12.70 ms
5.20 ms,2.90 ms
2.30 ms,3.70 ms
1.50 ms,4.00 ms
1.60 ms,2.90 ms
8.50 ms,3.30 ms
1.40 ms,9.80 ms
1.40 ms,3.90 ms
1.50 ms,3.60 ms
1.80 ms,3.00 ms
1.30 ms,3.60 ms
2.00 ms,2.90 ms
1.60 ms,3.00 ms
1.50 ms,3.20 ms
1.40 ms,2.80 ms
1.50 ms,3.60 ms
2.10 ms,3.60 ms
1.40 ms,2.80 ms
1.70 ms,16.90 ms
3.50 ms,3.00 ms
1.50 ms,2.90 ms
1.30 ms,4.10 ms
2.10 ms,3.50 ms
1.50 ms,3.70 ms
1.40 ms,12.30 ms
1.40 ms,4.30 ms
1.50 ms,4.30 ms
1.60 ms,3.30 ms
2.30 ms,2.90 ms
1.30 ms,2.90 ms
1.60 ms,9.10 ms
1.50 ms,2.90 ms
1.40 ms,9.80 ms
1.80 ms,3.10 ms
1.30 ms,3.10 ms
1.40 ms,2.80 ms
1.40 ms,10.00 ms
1.40 ms,2.80 ms
1.40 ms,5.10 ms
1.40 ms,2.80 ms
1.30 ms,4.10 ms
1.50 ms,2.90 ms
1.40 ms,2.90 ms
1.70 ms,2.90 ms
1.40 ms,2.90 ms
1.50 ms,2.80 ms
1.40 ms,2.90 ms
1.40 ms,2.90 ms
1.40 ms,3.20 ms
1.50 ms,2.90 ms
1.40 ms,2.90 ms
1.50 ms,8.50 ms
1.80 ms,3.70 ms
1.40 ms,3.30 ms
2.20 ms,3.90 ms
1.40 ms,2.90 ms
1.40 ms,3.40 ms
1.50 ms,2.90 ms
2.10 ms,4.00 ms
1.50 ms,2.90 ms
1.40 ms,12.20 ms
2.20 ms,3.10 ms
1.90 ms,2.90 ms
1.40 ms,5.10 ms
1.40 ms,2.90 ms
1.40 ms,3.00 ms
1.50 ms,2.90 ms
1.30 ms,2.90 ms
1.40 ms,4.00 ms
1.60 ms,14.10 ms
1.40 ms,2.80 ms
1.50 ms,3.20 ms
3.60 ms,3.80 ms
1.40 ms,2.80 ms
1.30 ms,2.80 ms
1.40 ms,3.00 ms
1.40 ms,3.80 ms
1.40 ms,3.80 ms
4.60 ms,4.10 ms
5.00 ms,9.00 ms
1.40 ms,2.90 ms
1.30 ms,3.60 ms
1.40 ms,13.70 ms
1.30 ms,10.00 ms
1.40 ms,4.40 ms
