Browser Name,Browser Version
chrome,124.0.6367.119
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
3.20 ms,4.80 ms
1.80 ms,18.20 ms
1.50 ms,3.10 ms
2.60 ms,4.20 ms
1.50 ms,2.80 ms
1.40 ms,2.50 ms
1.50 ms,9.10 ms
1.30 ms,2.30 ms
1.60 ms,3.30 ms
4.70 ms,6.50 ms
2.00 ms,2.30 ms
1.80 ms,2.40 ms
1.30 ms,2.40 ms
1.40 ms,9.70 ms
5.50 ms,2.30 ms
1.30 ms,7.90 ms
3.00 ms,2.30 ms
2.20 ms,2.30 ms
1.30 ms,2.60 ms
2.10 ms,2.30 ms
1.30 ms,9.10 ms
1.30 ms,2.20 ms
1.30 ms,2.90 ms
1.60 ms,2.20 ms
1.40 ms,2.70 ms
1.30 ms,2.60 ms
1.70 ms,2.30 ms
1.30 ms,2.70 ms
1.30 ms,2.30 ms
2.60 ms,2.30 ms
1.40 ms,2.30 ms
1.40 ms,2.90 ms
1.40 ms,2.30 ms
1.80 ms,3.40 ms
1.40 ms,3.70 ms
1.40 ms,2.50 ms
8.00 ms,9.30 ms
1.30 ms,3.30 ms
6.60 ms,3.40 ms
1.40 ms,2.30 ms
1.40 ms,3.30 ms
1.40 ms,2.30 ms
5.90 ms,2.30 ms
4.30 ms,10.40 ms
1.70 ms,3.00 ms
1.50 ms,3.50 ms
1.30 ms,2.70 ms
1.40 ms,8.00 ms
1.20 ms,2.30 ms
1.40 ms,3.90 ms
1.60 ms,3.40 ms
1.30 ms,2.40 ms
1.30 ms,2.60 ms
1.70 ms,2.30 ms
8.20 ms,11.30 ms
1.60 ms,11.20 ms
1.20 ms,2.30 ms
2.20 ms,2.60 ms
1.90 ms,2.30 ms
1.60 ms,3.20 ms
1.30 ms,2.40 ms
1.30 ms,2.70 ms
1.70 ms,5.40 ms
1.40 ms,2.80 ms
1.30 ms,2.40 ms
2.60 ms,2.20 ms
1.60 ms,2.30 ms
1.30 ms,2.20 ms
1.60 ms,2.60 ms
1.40 ms,2.40 ms
4.60 ms,3.20 ms
7.40 ms,3.20 ms
1.30 ms,2.20 ms
8.00 ms,2.20 ms
1.70 ms,2.30 ms
1.60 ms,2.30 ms
3.30 ms,2.30 ms
1.30 ms,2.40 ms
1.70 ms,2.40 ms
1.50 ms,2.40 ms
1.40 ms,10.20 ms
1.30 ms,2.30 ms
2.20 ms,3.00 ms
1.60 ms,2.90 ms
1.50 ms,2.90 ms
6.10 ms,2.30 ms
1.30 ms,3.20 ms
1.40 ms,2.40 ms
1.40 ms,2.30 ms
1.40 ms,2.70 ms
1.50 ms,2.30 ms
1.50 ms,2.30 ms
1.30 ms,2.30 ms
1.80 ms,2.30 ms
1.80 ms,2.20 ms
1.40 ms,2.40 ms
1.50 ms,2.50 ms
1.70 ms,2.30 ms
1.60 ms,8.80 ms
1.40 ms,4.50 ms
1.40 ms,9.30 ms
5.20 ms,3.20 ms
1.40 ms,4.00 ms
1.30 ms,2.80 ms
1.50 ms,5.50 ms
1.50 ms,2.40 ms
1.40 ms,2.30 ms
1.50 ms,2.80 ms
2.20 ms,2.20 ms
1.30 ms,2.30 ms
1.40 ms,2.20 ms
1.30 ms,2.20 ms
1.20 ms,2.30 ms
1.40 ms,3.10 ms
1.40 ms,10.70 ms
1.30 ms,3.10 ms
1.40 ms,2.50 ms
1.40 ms,2.20 ms
1.50 ms,9.10 ms
1.60 ms,3.30 ms
1.40 ms,4.30 ms
7.00 ms,2.20 ms
1.40 ms,2.30 ms
4.90 ms,2.30 ms
1.50 ms,6.10 ms
1.30 ms,2.30 ms
1.90 ms,10.40 ms
1.40 ms,2.30 ms
8.00 ms,2.50 ms
1.40 ms,2.50 ms
1.30 ms,3.40 ms
1.60 ms,3.00 ms
1.60 ms,2.20 ms
1.80 ms,2.50 ms
1.40 ms,2.20 ms
1.40 ms,3.00 ms
1.60 ms,3.40 ms
1.80 ms,10.80 ms
1.40 ms,2.30 ms
1.80 ms,3.00 ms
1.30 ms,2.40 ms
1.40 ms,3.60 ms
4.40 ms,7.10 ms
1.30 ms,3.80 ms
1.30 ms,2.30 ms
1.30 ms,2.80 ms
1.30 ms,2.50 ms
1.40 ms,2.60 ms
1.30 ms,2.50 ms
1.30 ms,12.10 ms
4.30 ms,2.20 ms
1.60 ms,2.30 ms
1.90 ms,2.30 ms
1.30 ms,14.40 ms
1.30 ms,4.50 ms
1.30 ms,2.30 ms
1.50 ms,11.40 ms
1.40 ms,3.30 ms
1.40 ms,3.20 ms
6.10 ms,2.50 ms
1.30 ms,2.30 ms
1.40 ms,2.90 ms
1.40 ms,2.30 ms
1.40 ms,2.20 ms
1.40 ms,5.60 ms
4.70 ms,2.70 ms
1.30 ms,3.20 ms
5.50 ms,3.60 ms
1.30 ms,3.30 ms
1.50 ms,2.30 ms
1.40 ms,2.30 ms
1.40 ms,2.90 ms
1.30 ms,2.30 ms
1.50 ms,2.20 ms
1.30 ms,2.30 ms
1.40 ms,2.20 ms
1.40 ms,3.60 ms
2.30 ms,2.20 ms
2.00 ms,2.30 ms
1.40 ms,2.20 ms
5.50 ms,2.20 ms
1.80 ms,7.30 ms
3.30 ms,2.20 ms
1.30 ms,3.50 ms
1.40 ms,3.90 ms
9.20 ms,2.70 ms
1.30 ms,7.00 ms
4.30 ms,2.20 ms
1.90 ms,2.30 ms
2.10 ms,3.40 ms
2.00 ms,8.10 ms
1.30 ms,2.50 ms
1.50 ms,2.30 ms
1.60 ms,2.40 ms
1.40 ms,2.40 ms
1.70 ms,2.90 ms
1.30 ms,2.30 ms
1.70 ms,3.20 ms
1.30 ms,2.50 ms
1.30 ms,2.30 ms
