Browser Name,Browser Version
MicrosoftEdge,124.0.2478.80
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
4839.5 ms,1111.1000000238419 ms
2361.100000023842 ms,1456 ms
2359.199999988079 ms,1460.5 ms
2389 ms,1461.9000000357628 ms
2362.699999988079 ms,1338.300000011921 ms
2360.600000023842 ms,1470.5 ms
2358.900000035763 ms,1351.300000011921 ms
2447.300000011921 ms,1345.8999999761581 ms
2351.2000000476837 ms,1480.699999988079 ms
2393.300000011921 ms,1409 ms
2578 ms,1479.5999999642372 ms
2283.100000023842 ms,1407.7000000476837 ms
2442.600000023842 ms,1428.9000000357628 ms
2381.400000035763 ms,1470.800000011921 ms
2327 ms,1377.3999999761581 ms
2453.699999988079 ms,1340.5 ms
2423.099999964237 ms,1490.4000000357628 ms
2425.100000023842 ms,1345.300000011921 ms
2393.199999988079 ms,1409.300000011921 ms
2365.800000011921 ms,1440.5 ms
2450 ms,1396.800000011921 ms
2404.600000023842 ms,1481.6000000238419 ms
2356.2000000476837 ms,1428.5 ms
2548.900000035763 ms,1415.5 ms
2281.5 ms,1504.699999988079 ms
2444.699999988079 ms,1384.5999999642372 ms
2345.100000023842 ms,1396 ms
2329.599999964237 ms,1464.8999999761581 ms
2400.399999976158 ms,1337.1000000238419 ms
2391.7000000476837 ms,1478.199999988079 ms
2449.300000011921 ms,1441.8999999761581 ms
2336 ms,1394.1000000238419 ms
2315.100000023842 ms,1528 ms
2389.199999988079 ms,1483.3999999761581 ms
2372.199999988079 ms,1439.2000000476837 ms
2397.900000035763 ms,1449.6000000238419 ms
2464.5 ms,1339.199999988079 ms
2281.699999988079 ms,1473.300000011921 ms
2368.099999964237 ms,1433 ms
2251.100000023842 ms,1339.4000000357628 ms
2384.599999964237 ms,1495.7000000476837 ms
2322.699999988079 ms,1399.1000000238419 ms
2304.800000011921 ms,1357.3999999761581 ms
2448.900000035763 ms,1487.800000011921 ms
2220.5 ms,1480.699999988079 ms
2374 ms,1454.300000011921 ms
2302.600000023842 ms,1424.300000011921 ms
2302.899999976158 ms,1331.800000011921 ms
2334.899999976158 ms,1481.8999999761581 ms
2321 ms,1401.2999999523163 ms
2427.400000035763 ms,1346.0999999642372 ms
2395.399999976158 ms,1492.199999988079 ms
2365.399999976158 ms,1391.199999988079 ms
2399.7999999523163 ms,1370.800000011921 ms
2213.399999976158 ms,1481 ms
2351.7999999523163 ms,1460.5 ms
2397.199999988079 ms,1484.199999988079 ms
2272.5 ms,1414 ms
2347.5 ms,1340.5 ms
2374.900000035763 ms,1485.5999999642372 ms
2384.399999976158 ms,1381 ms
2318.199999988079 ms,1354.2000000476837 ms
2311.199999988079 ms,1479.5 ms
2466.100000023842 ms,1348.300000011921 ms
2619.899999976158 ms,1440.2999999523163 ms
2384.5 ms,1431.5 ms
2354.899999976158 ms,1424.5999999642372 ms
2267.300000011921 ms,1479.300000011921 ms
2393.899999976158 ms,1375.699999988079 ms
2495.699999988079 ms,1343.5 ms
2339.399999976158 ms,1490.0999999642372 ms
2376.899999976158 ms,1417.199999988079 ms
2299.699999988079 ms,1453.5 ms
2419.899999976158 ms,1492.199999988079 ms
2295.599999964237 ms,1400.1000000238419 ms
2356.699999988079 ms,1478.3999999761581 ms
2524.2999999523163 ms,1460.699999988079 ms
2299.599999964237 ms,1395.300000011921 ms
2450.900000035763 ms,1497.4000000357628 ms
2456.800000011921 ms,1366.5 ms
2308.399999976158 ms,1405.5 ms
2448.900000035763 ms,1444.199999988079 ms
2425.399999976158 ms,1348.8999999761581 ms
2446.100000023842 ms,1479.7000000476837 ms
2447.800000011921 ms,1422.800000011921 ms
2275.7000000476837 ms,1351.800000011921 ms
2422.600000023842 ms,1509 ms
2324.5 ms,1483.9000000357628 ms
2381.600000023842 ms,1402.0999999642372 ms
2530.7000000476837 ms,1458.2000000476837 ms
2283.300000011921 ms,1364.5999999642372 ms
2439.5 ms,1454.300000011921 ms
2334.2999999523163 ms,1434.6000000238419 ms
2315.099999964237 ms,1402.0999999642372 ms
2395 ms,1494.300000011921 ms
2384.100000023842 ms,1380.800000011921 ms
2435.899999976158 ms,1343.6000000238419 ms
2352.699999988079 ms,1486.300000011921 ms
2292.399999976158 ms,1457.3999999761581 ms
2402.399999976158 ms,1402.0999999642372 ms
2283.099999964237 ms,1449.8999999761581 ms
2406 ms,1345.2000000476837 ms
2475.400000035763 ms,1432.6000000238419 ms
2258.899999976158 ms,1398.8999999761581 ms
2395.199999988079 ms,1325.199999988079 ms
2235.300000011921 ms,1473.5999999642372 ms
2408 ms,1369.8999999761581 ms
2357.099999964237 ms,1349.1000000238419 ms
2367.5 ms,1470 ms
2435.100000023842 ms,1482.8999999761581 ms
2394.5 ms,1418.300000011921 ms
2348.199999988079 ms,1433 ms
2344.600000023842 ms,1330.2000000476837 ms
2376.800000011921 ms,1461.1000000238419 ms
2398.899999976158 ms,1411.1000000238419 ms
2409.300000011921 ms,1400.8999999761581 ms
2330.600000023842 ms,1495.2999999523163 ms
2377.300000011921 ms,1384.6000000238419 ms
2378.399999976158 ms,1348.199999988079 ms
2420.699999988079 ms,1495.6000000238419 ms
2329.899999976158 ms,1460.5 ms
2346.900000035763 ms,1471.1000000238419 ms
2506.399999976158 ms,1436.199999988079 ms
2271.100000023842 ms,1330 ms
2434.2000000476837 ms,1477.1000000238419 ms
2350.5 ms,1390.5999999642372 ms
2336.699999988079 ms,1351.8999999761581 ms
2401.199999988079 ms,1505 ms
2423.099999964237 ms,1370.8999999761581 ms
2425.800000011921 ms,1402.300000011921 ms
2377.199999988079 ms,1508.199999988079 ms
2313 ms,1409.8999999761581 ms
2456.399999976158 ms,1477.300000011921 ms
2398.599999964237 ms,1402.300000011921 ms
2396.100000023842 ms,1330.699999988079 ms
2582.5 ms,1488.8999999761581 ms
2505.800000011921 ms,1364.8999999761581 ms
2434.199999988079 ms,1360.300000011921 ms
2363.699999988079 ms,1491.800000011921 ms
2297.300000011921 ms,1405.800000011921 ms
2408 ms,1485.3999999761581 ms
2390.699999988079 ms,1505.699999988079 ms
2418 ms,1354.800000011921 ms
2365.600000023842 ms,1470.199999988079 ms
2314.800000011921 ms,1375.800000011921 ms
2433.599999964237 ms,1345.5 ms
2251.599999964237 ms,1488.699999988079 ms
2412.400000035763 ms,1362.9000000357628 ms
2478.699999988079 ms,1430.5999999642372 ms
2309.400000035763 ms,1442.300000011921 ms
2413.899999976158 ms,1396.3999999761581 ms
2280.2000000476837 ms,1499.6000000238419 ms
2365 ms,1496.9000000357628 ms
2357.800000011921 ms,1366.5999999642372 ms
2387.600000023842 ms,1510.6000000238419 ms
2410.399999976158 ms,1354.4000000357628 ms
2255.400000035763 ms,1393.699999988079 ms
2337.800000011921 ms,1456.3999999761581 ms
2336.899999976158 ms,1348.1000000238419 ms
2250.599999964237 ms,1467.2000000476837 ms
2363 ms,1413.699999988079 ms
2340.2000000476837 ms,1335 ms
2333.699999988079 ms,1501.800000011921 ms
2316.400000035763 ms,1751.6000000238419 ms
2355.399999976158 ms,1500.800000011921 ms
2397.800000011921 ms,1412 ms
2245.400000035763 ms,1328.8999999761581 ms
2423.599999964237 ms,1489.699999988079 ms
2469.300000011921 ms,1396.6000000238419 ms
2379.800000011921 ms,1338.9000000357628 ms
2458.800000011921 ms,1501.1000000238419 ms
2339.899999976158 ms,1374.300000011921 ms
2281 ms,1419.4000000357628 ms
2390.5 ms,1464.3999999761581 ms
2405.900000035763 ms,1422 ms
2429.800000011921 ms,1466.699999988079 ms
2341.800000011921 ms,1391.8999999761581 ms
2323.5 ms,1331.300000011921 ms
2409.300000011921 ms,1484 ms
2279.099999964237 ms,1358.199999988079 ms
2440.699999988079 ms,1362 ms
2510.100000023842 ms,1462.300000011921 ms
2314.5 ms,1410.199999988079 ms
2438 ms,1456.7999999523163 ms
2367.5 ms,1484.6000000238419 ms
2440.5 ms,1375.5 ms
2396.199999988079 ms,1615.5999999642372 ms
2415.399999976158 ms,1357.0999999642372 ms
2454.399999976158 ms,1344.6000000238419 ms
2317.400000035763 ms,1484 ms
2372.100000023842 ms,1404.7000000476837 ms
2414.900000035763 ms,1475 ms
2290 ms,1407.800000011921 ms
2443.399999976158 ms,1336.0999999642372 ms
2465.5 ms,1485.800000011921 ms
2357 ms,1521.8999999761581 ms
2386.300000011921 ms,1355.3999999761581 ms
2273.199999988079 ms,1489.0999999642372 ms
2442.800000011921 ms,1380.8999999761581 ms
2343.400000035763 ms,1377 ms
