Browser Name,Browser Version
chrome,124.0.6367.210
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
5244.0999999940395 ms,1340.7999999970198 ms
2463.3999999910593 ms,1853.7999999970198 ms
2543.5 ms,1502.7999999970198 ms
2411.4000000059605 ms,1649.5 ms
2457.6000000089407 ms,1770.0999999940395 ms
2575.2000000029802 ms,1548 ms
2483.2000000029802 ms,1601.7000000029802 ms
2536.800000011921 ms,1700.4000000059605 ms
2583.5999999940395 ms,1744.7000000029802 ms
2481.7000000029802 ms,1775.5 ms
2568.300000011921 ms,1684.5999999940395 ms
2638.7000000029802 ms,1702.7999999970198 ms
2483.2999999970198 ms,1706.9000000059605 ms
2548.800000011921 ms,1738.9000000059605 ms
2676.2000000029802 ms,1811.0999999940395 ms
2528.7999999970198 ms,1662 ms
2621.2000000029802 ms,1709.2999999970198 ms
2638.4000000059605 ms,1636.5999999940395 ms
2527.2000000029802 ms,1700.5999999940395 ms
2600 ms,1744.5 ms
2508.0999999940395 ms,1742.1000000089407 ms
2563.8999999910593 ms,1749.5999999940395 ms
2531 ms,1683.3999999910593 ms
2595.4000000059605 ms,1755.1000000089407 ms
2487 ms,1650.7999999970198 ms
2494.5 ms,1718.9000000059605 ms
2563.300000011921 ms,1636.300000011921 ms
2539.8999999910593 ms,1670 ms
2526.2999999970198 ms,1518.9000000059605 ms
2663.2999999970198 ms,1680.2000000029802 ms
2546.9000000059605 ms,1533.7999999970198 ms
2528.6000000089407 ms,1465.9000000059605 ms
2650.2000000029802 ms,1619.800000011921 ms
2546.4000000059605 ms,1453.2000000029802 ms
2493.2000000029802 ms,1543.4000000059605 ms
2607.6000000089407 ms,1556.7000000029802 ms
2560.2999999970198 ms,1559.7999999970198 ms
2509 ms,1580 ms
2587.4000000059605 ms,1595 ms
2594.2999999970198 ms,1626.4000000059605 ms
2551.2999999970198 ms,1608.3999999910593 ms
2527.5999999940395 ms,1680.7999999970198 ms
2565.7999999970198 ms,1642 ms
2583.5 ms,1572.0999999940395 ms
2530.4000000059605 ms,1622.4000000059605 ms
2606.2999999970198 ms,1640 ms
2546.3999999910593 ms,1650.4000000059605 ms
2623.6000000089407 ms,1636.5999999940395 ms
2647 ms,1550.3999999910593 ms
2547.300000011921 ms,1563.7999999970198 ms
2614.9000000059605 ms,1591 ms
2683.5999999940395 ms,1651.5 ms
2599.9000000059605 ms,1696.5 ms
2711.2999999970198 ms,1830.2000000029802 ms
2583.199999988079 ms,1702.7999999970198 ms
2746.800000011921 ms,1781.7999999970198 ms
2772.5 ms,1683.9000000059605 ms
2728.4000000059605 ms,1561.7999999970198 ms
2664.300000011921 ms,1509.5 ms
2657.2999999970198 ms,1540.1000000089407 ms
2741.1000000089407 ms,1669.0999999940395 ms
2776.0999999940395 ms,1642.3999999910593 ms
2722.7000000029802 ms,1634 ms
2842.4000000059605 ms,1608 ms
2769.800000011921 ms,1599 ms
2846 ms,1769.9000000059605 ms
2999.5999999940395 ms,1560.3999999910593 ms
2859.4000000059605 ms,1664 ms
2967.1000000089407 ms,1678.4000000059605 ms
2881.2999999970198 ms,1606.0999999940395 ms
2904.5 ms,1576 ms
2961.9000000059605 ms,1569.7000000029802 ms
2917.5 ms,1603.2000000029802 ms
2961 ms,1638.4000000059605 ms
2951.0999999940395 ms,1627.7999999970198 ms
2863.7999999970198 ms,1609.9000000059605 ms
2890.5 ms,1637.4000000059605 ms
2974.7000000029802 ms,1771.699999988079 ms
2881.0999999940395 ms,1536.9000000059605 ms
2897.199999988079 ms,1626.3999999910593 ms
2853.2000000029802 ms,1603 ms
2918.5 ms,1631.0999999940395 ms
2919.9000000059605 ms,1693.7999999970198 ms
2987.199999988079 ms,1600.4000000059605 ms
2933.5 ms,1613.7999999970198 ms
2885.5 ms,1622.5999999940395 ms
2872 ms,1626.2999999970198 ms
2874.2999999970198 ms,1608.5999999940395 ms
2894.0999999940395 ms,1656.5999999940395 ms
2916.4000000059605 ms,1662.7000000029802 ms
2907 ms,1646.5 ms
2825.7999999970198 ms,1694.699999988079 ms
2753.800000011921 ms,1624.2999999970198 ms
2814.6000000089407 ms,1677.8999999910593 ms
2749.6000000089407 ms,1658.4000000059605 ms
2786.2000000029802 ms,1688.5999999940395 ms
2816.7999999970198 ms,1829.5 ms
2668.0999999940395 ms,1644.5999999940395 ms
2794.2000000029802 ms,1706.8999999910593 ms
2671.5 ms,1720.2000000029802 ms
