Browser Name,Browser Version
firefox,126.0
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
2458 ms,2002 ms
2561 ms,1855 ms
2518 ms,1307 ms
2485 ms,1340 ms
2644 ms,1894 ms
2587 ms,1822 ms
2546 ms,1875 ms
2679 ms,1362 ms
2532 ms,1368 ms
2569 ms,1470 ms
2839 ms,1343 ms
2640 ms,1723 ms
2560 ms,1644 ms
2809 ms,1381 ms
2566 ms,1116 ms
2701 ms,1678 ms
2845 ms,1688 ms
2686 ms,1610 ms
2752 ms,1630 ms
2652 ms,1369 ms
2568 ms,1211 ms
2653 ms,1493 ms
2865 ms,1533 ms
2616 ms,1096 ms
2624 ms,1158 ms
2709 ms,1747 ms
2545 ms,1236 ms
2648 ms,1259 ms
2820 ms,1394 ms
2723 ms,1286 ms
2683 ms,1375 ms
2685 ms,1935 ms
2569 ms,1363 ms
2718 ms,1347 ms
2657 ms,1389 ms
2669 ms,1284 ms
2653 ms,1264 ms
2676 ms,1181 ms
2601 ms,1204 ms
2584 ms,1287 ms
2751 ms,1885 ms
2628 ms,1241 ms
2617 ms,1208 ms
2789 ms,1288 ms
2525 ms,1326 ms
2731 ms,1861 ms
2695 ms,1727 ms
2618 ms,1815 ms
2580 ms,1738 ms
2886 ms,1764 ms
2642 ms,1893 ms
2809 ms,1853 ms
2616 ms,1881 ms
2772 ms,1931 ms
2754 ms,1737 ms
2819 ms,1770 ms
2754 ms,1909 ms
2761 ms,1331 ms
2811 ms,1252 ms
2850 ms,1224 ms
2937 ms,1133 ms
2851 ms,1166 ms
2897 ms,1263 ms
2869 ms,1292 ms
3009 ms,1298 ms
2981 ms,1787 ms
3004 ms,1766 ms
2904 ms,1564 ms
2888 ms,1208 ms
2905 ms,1270 ms
2889 ms,1546 ms
3048 ms,1643 ms
3044 ms,1280 ms
2781 ms,1143 ms
2870 ms,1832 ms
2958 ms,1259 ms
2732 ms,1221 ms
2833 ms,1264 ms
2826 ms,1246 ms
2845 ms,1872 ms
2785 ms,1354 ms
2777 ms,1284 ms
2697 ms,1782 ms
2620 ms,1365 ms
2594 ms,1394 ms
2836 ms,1271 ms
2694 ms,1366 ms
2856 ms,1292 ms
2971 ms,1904 ms
2798 ms,1388 ms
2883 ms,1471 ms
3053 ms,1393 ms
3038 ms,1344 ms
2922 ms,1903 ms
2930 ms,1379 ms
2895 ms,1360 ms
2744 ms,1339 ms
3032 ms,981 ms
2862 ms,1020 ms
2700 ms,1018 ms
