Browser Name,Browser Version
MicrosoftEdge,124.0.2478.80
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
78.70000004768372 ms,23.5 ms
38.69999998807907 ms,26.5 ms
38.09999996423721 ms,27.30000001192093 ms
37.700000047683716 ms,27.099999964237213 ms
44.09999996423721 ms,27.69999998807907 ms
42.39999997615814 ms,25.899999976158142 ms
38.89999997615814 ms,26.5 ms
42.59999996423721 ms,26.5 ms
42.69999998807907 ms,26.099999964237213 ms
41.5 ms,23.69999998807907 ms
42.09999996423721 ms,23.69999998807907 ms
40.89999997615814 ms,23.399999976158142 ms
40.19999998807907 ms,22.30000001192093 ms
39 ms,22.5 ms
39.10000002384186 ms,23.69999998807907 ms
40.10000002384186 ms,23.599999964237213 ms
39.5 ms,23.600000023841858 ms
39.10000002384186 ms,24 ms
38.30000001192093 ms,26.19999998807907 ms
38.09999996423721 ms,23.69999998807907 ms
38.5 ms,24.899999976158142 ms
37.59999996423721 ms,23.600000023841858 ms
38.30000001192093 ms,24.399999976158142 ms
37.09999996423721 ms,25.099999964237213 ms
39.5 ms,26.5 ms
37.60000002384186 ms,24.30000001192093 ms
37.19999998807907 ms,29.100000023841858 ms
38.19999998807907 ms,24.899999976158142 ms
38.80000001192093 ms,24.80000001192093 ms
37.59999996423721 ms,24.5 ms
39.59999996423721 ms,24.5 ms
39 ms,28 ms
37.200000047683716 ms,25.5 ms
38.60000002384186 ms,24.69999998807907 ms
39.299999952316284 ms,25.80000001192093 ms
38.69999998807907 ms,32.40000003576279 ms
37.19999998807907 ms,30.80000001192093 ms
37.40000003576279 ms,30.30000001192093 ms
39.10000002384186 ms,27.69999998807907 ms
37.69999998807907 ms,28.600000023841858 ms
40.30000001192093 ms,26.899999976158142 ms
37.799999952316284 ms,27.19999998807907 ms
36.80000001192093 ms,26.19999998807907 ms
38.59999996423721 ms,26.5 ms
38.90000003576279 ms,27.30000001192093 ms
36.80000001192093 ms,25.099999964237213 ms
38.10000002384186 ms,25.80000001192093 ms
39.09999996423721 ms,25.200000047683716 ms
38.39999997615814 ms,25.69999998807907 ms
39.09999996423721 ms,27.299999952316284 ms
38.19999998807907 ms,26.600000023841858 ms
38.69999998807907 ms,28.69999998807907 ms
38.5 ms,25.799999952316284 ms
38.09999996423721 ms,26.30000001192093 ms
40.5 ms,26.600000023841858 ms
39.69999998807907 ms,26 ms
37.90000003576279 ms,25.600000023841858 ms
40.200000047683716 ms,25.099999964237213 ms
37.89999997615814 ms,25.80000001192093 ms
39.69999998807907 ms,24.899999976158142 ms
38.69999998807907 ms,23.80000001192093 ms
37.89999997615814 ms,25.80000001192093 ms
38.90000003576279 ms,24.69999998807907 ms
38.60000002384186 ms,26.80000001192093 ms
37 ms,26.099999964237213 ms
38.19999998807907 ms,24.600000023841858 ms
36.80000001192093 ms,25.100000023841858 ms
37.10000002384186 ms,24.19999998807907 ms
37 ms,26.099999964237213 ms
37.5 ms,24.69999998807907 ms
37.30000001192093 ms,25.30000001192093 ms
37.90000003576279 ms,24.899999976158142 ms
38.299999952316284 ms,25.599999964237213 ms
39.39999997615814 ms,24.899999976158142 ms
38.39999997615814 ms,25.700000047683716 ms
39.5 ms,25.399999976158142 ms
41.39999997615814 ms,25.399999976158142 ms
37.59999996423721 ms,24.80000001192093 ms
37.39999997615814 ms,25.599999964237213 ms
38.19999998807907 ms,24.80000001192093 ms
37.90000003576279 ms,35.69999998807907 ms
39.89999997615814 ms,30.80000001192093 ms
38.799999952316284 ms,30.900000035762787 ms
37.60000002384186 ms,28 ms
37.89999997615814 ms,27.30000001192093 ms
38.80000001192093 ms,28.599999964237213 ms
41.09999996423721 ms,31.399999976158142 ms
37 ms,26.400000035762787 ms
38.19999998807907 ms,26.700000047683716 ms
44 ms,26.80000001192093 ms
40.19999998807907 ms,25.799999952316284 ms
40.5 ms,25.100000023841858 ms
42.40000003576279 ms,24.80000001192093 ms
37.89999997615814 ms,24.5 ms
40 ms,25.600000023841858 ms
38.19999998807907 ms,26.19999998807907 ms
40.10000002384186 ms,26.700000047683716 ms
37.5 ms,25.19999998807907 ms
38.5 ms,26.399999976158142 ms
39 ms,25.69999998807907 ms
37.39999997615814 ms,25.80000001192093 ms
37.80000001192093 ms,26.599999964237213 ms
38.200000047683716 ms,26.600000023841858 ms
37.30000001192093 ms,25 ms
37.39999997615814 ms,24.5 ms
38.5 ms,23.599999964237213 ms
36.10000002384186 ms,23.5 ms
36.80000001192093 ms,22.80000001192093 ms
38.90000003576279 ms,25.299999952316284 ms
38.19999998807907 ms,23.30000001192093 ms
39.10000002384186 ms,23.599999964237213 ms
38.60000002384186 ms,23.19999998807907 ms
39.80000001192093 ms,23.19999998807907 ms
39.69999998807907 ms,24.69999998807907 ms
38.60000002384186 ms,24.5 ms
38 ms,24.5 ms
39.39999997615814 ms,24.799999952316284 ms
39.40000003576279 ms,24.599999964237213 ms
37.69999998807907 ms,25.30000001192093 ms
38.59999996423721 ms,26.69999998807907 ms
40.80000001192093 ms,26.30000001192093 ms
39.30000001192093 ms,27.30000001192093 ms
39 ms,25.100000023841858 ms
38.80000001192093 ms,25.5 ms
39.5 ms,24.80000001192093 ms
37.40000003576279 ms,24.5 ms
40 ms,24.69999998807907 ms
38.09999996423721 ms,33.89999997615814 ms
39.89999997615814 ms,31.69999998807907 ms
37.90000003576279 ms,29.899999976158142 ms
39.30000001192093 ms,29.600000023841858 ms
39.30000001192093 ms,27.900000035762787 ms
38 ms,30.100000023841858 ms
37.39999997615814 ms,28.5 ms
37.30000001192093 ms,27.80000001192093 ms
37.89999997615814 ms,29.80000001192093 ms
37.10000002384186 ms,25.5 ms
38.10000002384186 ms,26.19999998807907 ms
37.80000001192093 ms,27 ms
38.89999997615814 ms,27 ms
38.30000001192093 ms,25.799999952316284 ms
37.299999952316284 ms,25.399999976158142 ms
39 ms,26.5 ms
37.799999952316284 ms,31.5 ms
38.90000003576279 ms,28.799999952316284 ms
39.80000001192093 ms,29.899999976158142 ms
39.200000047683716 ms,29.100000023841858 ms
39.19999998807907 ms,29.80000001192093 ms
39.60000002384186 ms,29.600000023841858 ms
43.40000003576279 ms,28.599999964237213 ms
54.19999998807907 ms,26.19999998807907 ms
51 ms,25.69999998807907 ms
48.39999997615814 ms,23.899999976158142 ms
46.09999996423721 ms,23.5 ms
44.39999997615814 ms,23 ms
43.60000002384186 ms,25.400000035762787 ms
42.69999998807907 ms,24.599999964237213 ms
41.89999997615814 ms,23.599999964237213 ms
42.10000002384186 ms,24.599999964237213 ms
43.10000002384186 ms,25.100000023841858 ms
42.19999998807907 ms,25.5 ms
42.19999998807907 ms,27 ms
44.30000001192093 ms,25.600000023841858 ms
45.90000003576279 ms,25.400000035762787 ms
50.30000001192093 ms,24.80000001192093 ms
48.69999998807907 ms,26.19999998807907 ms
48.90000003576279 ms,24.69999998807907 ms
51.5 ms,24.099999964237213 ms
45.19999998807907 ms,29 ms
41 ms,25 ms
39.80000001192093 ms,26 ms
38.19999998807907 ms,24.399999976158142 ms
37.09999996423721 ms,24.599999964237213 ms
37.09999996423721 ms,25.69999998807907 ms
37.80000001192093 ms,25.099999964237213 ms
38.5 ms,32.09999996423721 ms
39.299999952316284 ms,31.899999976158142 ms
39.30000001192093 ms,29.5 ms
39.299999952316284 ms,28.100000023841858 ms
40.30000001192093 ms,26.5 ms
40.5 ms,27.400000035762787 ms
40.80000001192093 ms,27.899999976158142 ms
41 ms,26.600000023841858 ms
40.89999997615814 ms,26.30000001192093 ms
40.30000001192093 ms,25.899999976158142 ms
40.200000047683716 ms,25.5 ms
40.5 ms,25.899999976158142 ms
41.10000002384186 ms,26.19999998807907 ms
40.60000002384186 ms,25 ms
51.90000003576279 ms,26.19999998807907 ms
49.09999996423721 ms,25.5 ms
47 ms,26.5 ms
45.200000047683716 ms,26.099999964237213 ms
44.69999998807907 ms,26.19999998807907 ms
43.80000001192093 ms,25.69999998807907 ms
43.30000001192093 ms,26.69999998807907 ms
41.69999998807907 ms,26 ms
43.60000002384186 ms,26.69999998807907 ms
41.80000001192093 ms,24.599999964237213 ms
41 ms,25 ms
