Browser Name,Browser Version
chrome,124.0.6367.210
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
77 ms,24.099999994039536 ms
37.6000000089407 ms,27.400000005960464 ms
39.6000000089407 ms,21.700000002980232 ms
39.70000000298023 ms,25.200000002980232 ms
35.20000000298023 ms,27.799999997019768 ms
35.900000005960464 ms,24.399999991059303 ms
40.70000000298023 ms,21.80000001192093 ms
37 ms,23.099999994039536 ms
35.5 ms,22 ms
35.5 ms,21.299999997019768 ms
35.6000000089407 ms,22.200000002980232 ms
35.20000000298023 ms,22.400000005960464 ms
36.400000005960464 ms,22.399999991059303 ms
35.6000000089407 ms,22.700000002980232 ms
36.5 ms,25.5 ms
37.099999994039536 ms,22 ms
35.29999999701977 ms,22.900000005960464 ms
35.29999999701977 ms,34.3999999910593 ms
36.5 ms,22.700000002980232 ms
37.70000000298023 ms,22.5 ms
35.6000000089407 ms,22.5 ms
36 ms,22.100000008940697 ms
36.599999994039536 ms,22.399999991059303 ms
37.099999994039536 ms,22.200000002980232 ms
36.5 ms,22.599999994039536 ms
36.20000000298023 ms,22.400000005960464 ms
41 ms,22.30000001192093 ms
39.80000001192093 ms,25.599999994039536 ms
38.70000000298023 ms,23.700000002980232 ms
36.099999994039536 ms,22.900000005960464 ms
37.29999999701977 ms,23.299999997019768 ms
41.099999994039536 ms,21.5 ms
35.70000000298023 ms,22.599999994039536 ms
40.400000005960464 ms,21.899999991059303 ms
36.20000000298023 ms,22.5 ms
40.400000005960464 ms,22.299999997019768 ms
35.400000005960464 ms,23.69999998807907 ms
36.29999999701977 ms,23.100000008940697 ms
36 ms,39.599999994039536 ms
35.900000005960464 ms,22 ms
35.8999999910593 ms,24.100000008940697 ms
35.900000005960464 ms,31.100000008940697 ms
41.20000000298023 ms,22.099999994039536 ms
36.20000000298023 ms,21.5 ms
36.3999999910593 ms,29.900000005960464 ms
35.8999999910593 ms,26.799999997019768 ms
36.099999994039536 ms,23.200000002980232 ms
36.70000000298023 ms,22 ms
40.19999998807907 ms,22.900000005960464 ms
36.3999999910593 ms,22.799999997019768 ms
36 ms,22.100000008940697 ms
38.79999999701977 ms,22.299999997019768 ms
37.6000000089407 ms,22 ms
36.79999999701977 ms,22.200000002980232 ms
36.69999998807907 ms,22.299999997019768 ms
35.3999999910593 ms,25.299999997019768 ms
46.099999994039536 ms,24.100000008940697 ms
37.79999999701977 ms,22.099999994039536 ms
37 ms,23.700000002980232 ms
41.099999994039536 ms,21.600000008940697 ms
36.29999999701977 ms,23.299999997019768 ms
37.70000000298023 ms,23.299999997019768 ms
39.400000005960464 ms,22.299999997019768 ms
50.5 ms,22.399999991059303 ms
36.5 ms,30 ms
36.1000000089407 ms,24.30000001192093 ms
35.400000005960464 ms,22.099999994039536 ms
37.900000005960464 ms,23 ms
42.29999999701977 ms,22.099999994039536 ms
39.29999999701977 ms,22.700000002980232 ms
42.29999999701977 ms,22 ms
41.3999999910593 ms,28.400000005960464 ms
37.099999994039536 ms,21.899999991059303 ms
36.1000000089407 ms,22.19999998807907 ms
35.29999999701977 ms,24.5 ms
41.79999999701977 ms,22.099999994039536 ms
35.80000001192093 ms,23.600000008940697 ms
35.6000000089407 ms,28.100000008940697 ms
35.599999994039536 ms,23 ms
39.29999999701977 ms,22.400000005960464 ms
35.79999999701977 ms,48.3999999910593 ms
36.30000001192093 ms,21.799999997019768 ms
36 ms,23 ms
35.6000000089407 ms,27.19999998807907 ms
35.900000005960464 ms,27.600000008940697 ms
45.900000005960464 ms,25.69999998807907 ms
36.29999999701977 ms,22.80000001192093 ms
36.29999999701977 ms,23.299999997019768 ms
41.599999994039536 ms,22.200000002980232 ms
41.599999994039536 ms,23.200000002980232 ms
49.400000005960464 ms,22.200000002980232 ms
37.29999999701977 ms,23.099999994039536 ms
40.099999994039536 ms,31.399999991059303 ms
36.79999999701977 ms,36.79999999701977 ms
38.400000005960464 ms,22.599999994039536 ms
36.5 ms,22.700000002980232 ms
35.80000001192093 ms,22.5 ms
40.19999998807907 ms,28.30000001192093 ms
41.79999999701977 ms,27.900000005960464 ms
38.1000000089407 ms,27.200000002980232 ms
