Browser Name,Browser Version
firefox,126.0
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
46 ms,66 ms
34 ms,42 ms
37 ms,36 ms
38 ms,21 ms
34 ms,54 ms
34 ms,40 ms
35 ms,27 ms
35 ms,39 ms
34 ms,27 ms
39 ms,27 ms
35 ms,26 ms
35 ms,27 ms
36 ms,37 ms
35 ms,33 ms
35 ms,26 ms
39 ms,28 ms
35 ms,25 ms
45 ms,36 ms
36 ms,27 ms
37 ms,26 ms
32 ms,27 ms
39 ms,27 ms
33 ms,33 ms
36 ms,25 ms
33 ms,35 ms
35 ms,42 ms
56 ms,25 ms
37 ms,25 ms
35 ms,22 ms
37 ms,25 ms
35 ms,24 ms
37 ms,27 ms
40 ms,25 ms
32 ms,27 ms
34 ms,21 ms
61 ms,45 ms
36 ms,25 ms
40 ms,34 ms
36 ms,28 ms
37 ms,44 ms
43 ms,41 ms
38 ms,45 ms
84 ms,48 ms
39 ms,23 ms
37 ms,25 ms
40 ms,27 ms
36 ms,47 ms
44 ms,37 ms
35 ms,44 ms
37 ms,25 ms
34 ms,29 ms
37 ms,23 ms
34 ms,27 ms
35 ms,33 ms
35 ms,27 ms
43 ms,38 ms
40 ms,24 ms
37 ms,35 ms
47 ms,26 ms
44 ms,24 ms
44 ms,28 ms
34 ms,29 ms
40 ms,40 ms
42 ms,49 ms
36 ms,36 ms
40 ms,50 ms
33 ms,27 ms
42 ms,28 ms
41 ms,35 ms
43 ms,24 ms
33 ms,22 ms
37 ms,27 ms
33 ms,25 ms
44 ms,26 ms
36 ms,30 ms
37 ms,24 ms
37 ms,33 ms
56 ms,34 ms
37 ms,34 ms
36 ms,57 ms
36 ms,47 ms
35 ms,203 ms
33 ms,137 ms
37 ms,114 ms
38 ms,122 ms
35 ms,131 ms
37 ms,175 ms
40 ms,124 ms
35 ms,293 ms
38 ms,252 ms
36 ms,312 ms
40 ms,274 ms
32 ms,287 ms
34 ms,130 ms
43 ms,116 ms
43 ms,101 ms
38 ms,112 ms
38 ms,106 ms
37 ms,49 ms
39 ms,102 ms
