Browser Name,Browser Version
MicrosoftEdge,125.0.2535.51
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
440.60 ms,43.80 ms
55.10 ms,31.20 ms
57.50 ms,31.50 ms
57.30 ms,30.10 ms
54.10 ms,31.60 ms
56.90 ms,29.80 ms
54.70 ms,29.50 ms
52.90 ms,30.50 ms
53.80 ms,35.50 ms
52.90 ms,30.40 ms
57.80 ms,29.50 ms
54.10 ms,34.00 ms
51.40 ms,31.90 ms
52.20 ms,31.80 ms
52.30 ms,35.10 ms
52.40 ms,31.30 ms
52.30 ms,30.40 ms
52.10 ms,32.00 ms
51.70 ms,29.80 ms
55.70 ms,29.20 ms
55.20 ms,29.80 ms
51.80 ms,36.20 ms
52.30 ms,31.00 ms
52.80 ms,31.20 ms
51.60 ms,29.60 ms
51.70 ms,32.50 ms
51.30 ms,31.00 ms
53.10 ms,29.70 ms
55.00 ms,31.70 ms
52.20 ms,31.40 ms
51.20 ms,31.70 ms
52.90 ms,35.40 ms
51.60 ms,29.10 ms
52.50 ms,30.60 ms
51.20 ms,29.50 ms
57.70 ms,29.30 ms
51.20 ms,32.70 ms
50.80 ms,30.10 ms
52.30 ms,30.40 ms
52.50 ms,35.70 ms
51.50 ms,34.10 ms
52.00 ms,30.70 ms
61.60 ms,30.90 ms
51.20 ms,30.10 ms
52.10 ms,33.30 ms
51.10 ms,31.20 ms
51.20 ms,29.80 ms
52.30 ms,32.10 ms
51.00 ms,29.90 ms
61.50 ms,29.30 ms
50.00 ms,30.00 ms
51.90 ms,29.90 ms
52.40 ms,31.20 ms
51.20 ms,31.80 ms
51.00 ms,31.10 ms
51.90 ms,29.80 ms
66.00 ms,29.70 ms
52.70 ms,30.60 ms
52.00 ms,28.70 ms
50.30 ms,30.00 ms
55.20 ms,30.20 ms
51.20 ms,30.20 ms
51.20 ms,31.40 ms
51.30 ms,30.50 ms
50.20 ms,30.20 ms
56.80 ms,29.90 ms
56.50 ms,29.50 ms
51.20 ms,32.10 ms
52.00 ms,30.40 ms
51.80 ms,30.30 ms
51.30 ms,31.20 ms
52.60 ms,30.50 ms
53.30 ms,29.00 ms
50.50 ms,30.90 ms
50.80 ms,30.90 ms
50.80 ms,30.20 ms
52.40 ms,30.10 ms
51.50 ms,29.40 ms
52.10 ms,30.70 ms
52.30 ms,30.20 ms
51.70 ms,30.10 ms
52.30 ms,31.40 ms
50.20 ms,31.90 ms
51.00 ms,30.30 ms
50.50 ms,30.30 ms
53.60 ms,30.80 ms
50.00 ms,39.30 ms
53.10 ms,31.30 ms
53.50 ms,41.40 ms
51.20 ms,47.70 ms
52.20 ms,41.30 ms
55.00 ms,49.60 ms
53.30 ms,45.80 ms
52.90 ms,47.10 ms
51.70 ms,40.80 ms
50.50 ms,48.10 ms
53.80 ms,38.90 ms
50.50 ms,36.90 ms
55.80 ms,70.40 ms
50.90 ms,60.80 ms
