Browser Name,Browser Version
chrome,124.0.6367.210
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
439.40 ms,49.10 ms
67.70 ms,29.90 ms
67.00 ms,30.20 ms
69.90 ms,30.40 ms
65.60 ms,30.90 ms
83.00 ms,30.10 ms
82.20 ms,29.70 ms
63.00 ms,29.60 ms
55.90 ms,32.40 ms
66.50 ms,29.20 ms
53.50 ms,33.70 ms
55.20 ms,30.00 ms
52.50 ms,30.30 ms
56.00 ms,31.30 ms
53.10 ms,30.10 ms
55.90 ms,29.50 ms
52.20 ms,30.60 ms
51.90 ms,30.40 ms
57.70 ms,30.50 ms
52.80 ms,29.50 ms
54.50 ms,30.50 ms
52.50 ms,30.80 ms
50.90 ms,30.30 ms
52.80 ms,31.70 ms
53.10 ms,31.10 ms
50.40 ms,29.70 ms
51.30 ms,29.90 ms
53.40 ms,29.70 ms
54.40 ms,29.70 ms
52.30 ms,30.00 ms
52.80 ms,30.10 ms
52.00 ms,30.60 ms
53.60 ms,29.60 ms
51.10 ms,35.90 ms
51.00 ms,29.70 ms
53.80 ms,29.90 ms
51.90 ms,30.50 ms
50.40 ms,28.70 ms
51.00 ms,29.60 ms
50.10 ms,32.90 ms
51.80 ms,29.90 ms
51.90 ms,30.20 ms
53.30 ms,30.40 ms
51.40 ms,30.50 ms
51.80 ms,33.70 ms
51.90 ms,30.50 ms
51.20 ms,31.30 ms
50.30 ms,30.80 ms
50.60 ms,31.40 ms
51.30 ms,29.10 ms
51.50 ms,30.40 ms
49.70 ms,30.00 ms
50.00 ms,29.50 ms
51.60 ms,31.60 ms
51.30 ms,33.80 ms
51.90 ms,32.10 ms
53.50 ms,30.50 ms
50.60 ms,29.70 ms
51.80 ms,32.50 ms
51.00 ms,30.70 ms
52.30 ms,30.10 ms
50.70 ms,29.40 ms
49.70 ms,30.10 ms
54.00 ms,33.60 ms
54.20 ms,31.00 ms
50.70 ms,29.60 ms
49.90 ms,34.20 ms
53.30 ms,29.30 ms
51.50 ms,29.30 ms
50.60 ms,30.70 ms
50.60 ms,29.60 ms
51.70 ms,30.10 ms
51.30 ms,30.30 ms
50.20 ms,30.20 ms
49.90 ms,30.80 ms
50.40 ms,30.10 ms
51.10 ms,30.20 ms
50.50 ms,31.50 ms
51.10 ms,29.40 ms
51.20 ms,31.00 ms
52.90 ms,29.90 ms
52.40 ms,29.60 ms
52.40 ms,29.70 ms
50.70 ms,37.30 ms
50.70 ms,30.90 ms
50.00 ms,30.60 ms
57.00 ms,30.40 ms
50.60 ms,30.00 ms
50.20 ms,30.90 ms
51.10 ms,32.40 ms
53.10 ms,30.00 ms
51.00 ms,31.20 ms
61.10 ms,30.80 ms
52.50 ms,29.80 ms
50.40 ms,33.00 ms
50.60 ms,34.00 ms
50.40 ms,32.30 ms
51.20 ms,46.10 ms
52.20 ms,37.20 ms
50.20 ms,36.40 ms
