Browser Name,Browser Version
firefox,125.0.3
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
30.00 ms,121.00 ms
33.00 ms,130.00 ms
25.00 ms,131.00 ms
21.00 ms,128.00 ms
22.00 ms,127.00 ms
23.00 ms,130.00 ms
23.00 ms,135.00 ms
22.00 ms,128.00 ms
51.00 ms,130.00 ms
21.00 ms,116.00 ms
30.00 ms,113.00 ms
20.00 ms,116.00 ms
22.00 ms,112.00 ms
23.00 ms,128.00 ms
37.00 ms,114.00 ms
48.00 ms,112.00 ms
22.00 ms,109.00 ms
21.00 ms,116.00 ms
65.00 ms,115.00 ms
21.00 ms,114.00 ms
21.00 ms,115.00 ms
33.00 ms,126.00 ms
22.00 ms,118.00 ms
22.00 ms,124.00 ms
28.00 ms,122.00 ms
25.00 ms,119.00 ms
22.00 ms,118.00 ms
21.00 ms,121.00 ms
21.00 ms,122.00 ms
43.00 ms,120.00 ms
39.00 ms,124.00 ms
20.00 ms,122.00 ms
23.00 ms,120.00 ms
30.00 ms,116.00 ms
21.00 ms,115.00 ms
55.00 ms,113.00 ms
43.00 ms,107.00 ms
59.00 ms,113.00 ms
22.00 ms,115.00 ms
20.00 ms,108.00 ms
22.00 ms,114.00 ms
21.00 ms,115.00 ms
22.00 ms,131.00 ms
21.00 ms,118.00 ms
24.00 ms,120.00 ms
20.00 ms,115.00 ms
25.00 ms,113.00 ms
21.00 ms,115.00 ms
21.00 ms,106.00 ms
21.00 ms,115.00 ms
23.00 ms,113.00 ms
22.00 ms,114.00 ms
32.00 ms,112.00 ms
54.00 ms,116.00 ms
26.00 ms,112.00 ms
21.00 ms,113.00 ms
23.00 ms,114.00 ms
21.00 ms,125.00 ms
22.00 ms,126.00 ms
35.00 ms,117.00 ms
23.00 ms,123.00 ms
46.00 ms,127.00 ms
22.00 ms,117.00 ms
23.00 ms,124.00 ms
32.00 ms,124.00 ms
40.00 ms,122.00 ms
24.00 ms,125.00 ms
23.00 ms,125.00 ms
21.00 ms,122.00 ms
29.00 ms,112.00 ms
22.00 ms,107.00 ms
22.00 ms,111.00 ms
27.00 ms,106.00 ms
21.00 ms,107.00 ms
22.00 ms,109.00 ms
22.00 ms,110.00 ms
21.00 ms,110.00 ms
38.00 ms,104.00 ms
25.00 ms,110.00 ms
28.00 ms,106.00 ms
50.00 ms,109.00 ms
22.00 ms,107.00 ms
26.00 ms,107.00 ms
21.00 ms,111.00 ms
22.00 ms,108.00 ms
20.00 ms,111.00 ms
22.00 ms,108.00 ms
22.00 ms,140.00 ms
22.00 ms,109.00 ms
22.00 ms,111.00 ms
22.00 ms,116.00 ms
24.00 ms,107.00 ms
26.00 ms,106.00 ms
23.00 ms,111.00 ms
32.00 ms,106.00 ms
46.00 ms,105.00 ms
21.00 ms,107.00 ms
35.00 ms,107.00 ms
20.00 ms,108.00 ms
23.00 ms,108.00 ms
22.00 ms,108.00 ms
22.00 ms,109.00 ms
22.00 ms,114.00 ms
22.00 ms,109.00 ms
34.00 ms,108.00 ms
21.00 ms,106.00 ms
30.00 ms,105.00 ms
56.00 ms,105.00 ms
22.00 ms,105.00 ms
24.00 ms,108.00 ms
29.00 ms,112.00 ms
21.00 ms,110.00 ms
23.00 ms,114.00 ms
51.00 ms,113.00 ms
22.00 ms,108.00 ms
22.00 ms,112.00 ms
27.00 ms,113.00 ms
21.00 ms,109.00 ms
24.00 ms,114.00 ms
24.00 ms,114.00 ms
21.00 ms,116.00 ms
27.00 ms,114.00 ms
22.00 ms,111.00 ms
21.00 ms,117.00 ms
58.00 ms,112.00 ms
24.00 ms,114.00 ms
22.00 ms,117.00 ms
48.00 ms,114.00 ms
22.00 ms,113.00 ms
24.00 ms,112.00 ms
22.00 ms,110.00 ms
21.00 ms,113.00 ms
27.00 ms,117.00 ms
21.00 ms,136.00 ms
24.00 ms,117.00 ms
21.00 ms,111.00 ms
22.00 ms,113.00 ms
32.00 ms,116.00 ms
21.00 ms,111.00 ms
39.00 ms,115.00 ms
61.00 ms,116.00 ms
21.00 ms,112.00 ms
20.00 ms,112.00 ms
52.00 ms,120.00 ms
20.00 ms,117.00 ms
24.00 ms,114.00 ms
23.00 ms,117.00 ms
22.00 ms,117.00 ms
21.00 ms,113.00 ms
22.00 ms,113.00 ms
24.00 ms,122.00 ms
23.00 ms,111.00 ms
20.00 ms,109.00 ms
21.00 ms,115.00 ms
21.00 ms,124.00 ms
21.00 ms,119.00 ms
22.00 ms,127.00 ms
23.00 ms,128.00 ms
20.00 ms,120.00 ms
30.00 ms,120.00 ms
22.00 ms,121.00 ms
30.00 ms,118.00 ms
27.00 ms,123.00 ms
23.00 ms,122.00 ms
23.00 ms,117.00 ms
23.00 ms,125.00 ms
37.00 ms,114.00 ms
33.00 ms,110.00 ms
22.00 ms,120.00 ms
21.00 ms,112.00 ms
31.00 ms,115.00 ms
21.00 ms,114.00 ms
21.00 ms,117.00 ms
27.00 ms,113.00 ms
37.00 ms,105.00 ms
23.00 ms,116.00 ms
21.00 ms,113.00 ms
