Browser Name,Browser Version
MicrosoftEdge,124.0.2478.80
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
240.30 ms,236.80 ms
233.90 ms,236.90 ms
239.60 ms,236.80 ms
250.60 ms,231.40 ms
247.60 ms,228.00 ms
251.30 ms,232.80 ms
247.70 ms,230.10 ms
251.80 ms,229.60 ms
247.60 ms,231.90 ms
251.70 ms,232.00 ms
243.50 ms,248.60 ms
256.60 ms,232.80 ms
246.00 ms,237.40 ms
246.50 ms,236.80 ms
251.80 ms,232.50 ms
250.50 ms,230.50 ms
255.20 ms,237.30 ms
257.00 ms,230.20 ms
256.80 ms,230.50 ms
250.00 ms,234.50 ms
261.30 ms,231.90 ms
251.20 ms,242.10 ms
250.00 ms,294.30 ms
250.30 ms,245.40 ms
247.80 ms,242.90 ms
248.70 ms,237.50 ms
246.70 ms,231.00 ms
302.90 ms,241.00 ms
268.80 ms,231.40 ms
259.00 ms,230.00 ms
251.40 ms,233.70 ms
259.10 ms,232.70 ms
252.30 ms,235.20 ms
258.60 ms,243.50 ms
253.00 ms,234.40 ms
250.50 ms,231.00 ms
251.60 ms,249.50 ms
252.20 ms,235.90 ms
247.00 ms,236.10 ms
258.70 ms,230.20 ms
259.20 ms,235.90 ms
263.20 ms,231.10 ms
252.40 ms,233.40 ms
256.90 ms,234.10 ms
255.70 ms,239.60 ms
251.10 ms,228.20 ms
251.00 ms,229.80 ms
255.30 ms,238.10 ms
250.20 ms,231.50 ms
249.70 ms,267.40 ms
249.50 ms,232.40 ms
252.60 ms,239.00 ms
257.80 ms,229.30 ms
264.90 ms,237.10 ms
255.90 ms,232.70 ms
259.30 ms,235.00 ms
258.80 ms,232.90 ms
255.80 ms,230.80 ms
255.40 ms,234.40 ms
250.50 ms,236.30 ms
253.90 ms,229.20 ms
250.60 ms,230.20 ms
263.60 ms,228.60 ms
251.40 ms,259.00 ms
255.70 ms,238.70 ms
262.30 ms,228.70 ms
251.90 ms,237.20 ms
255.80 ms,243.80 ms
253.80 ms,244.70 ms
266.70 ms,237.20 ms
259.20 ms,239.90 ms
251.30 ms,229.10 ms
254.90 ms,237.70 ms
247.70 ms,236.50 ms
255.30 ms,261.90 ms
262.20 ms,297.20 ms
289.40 ms,298.10 ms
286.10 ms,251.40 ms
257.90 ms,238.40 ms
256.80 ms,235.20 ms
260.30 ms,242.30 ms
253.80 ms,235.80 ms
255.30 ms,229.70 ms
258.90 ms,225.40 ms
258.10 ms,222.30 ms
258.60 ms,221.00 ms
247.40 ms,220.50 ms
253.10 ms,226.80 ms
253.80 ms,224.30 ms
258.80 ms,236.70 ms
254.40 ms,262.10 ms
260.50 ms,239.10 ms
255.90 ms,234.20 ms
258.70 ms,230.80 ms
266.70 ms,226.40 ms
256.00 ms,242.50 ms
253.60 ms,236.30 ms
249.00 ms,233.10 ms
259.20 ms,231.40 ms
252.30 ms,233.30 ms
255.90 ms,228.90 ms
256.60 ms,236.30 ms
254.20 ms,235.50 ms
252.80 ms,272.70 ms
261.30 ms,245.40 ms
258.70 ms,240.10 ms
254.80 ms,231.70 ms
256.50 ms,225.00 ms
257.50 ms,230.90 ms
256.70 ms,247.40 ms
254.50 ms,233.20 ms
249.40 ms,234.80 ms
251.80 ms,231.20 ms
267.60 ms,237.30 ms
259.70 ms,231.50 ms
256.30 ms,234.60 ms
261.00 ms,274.10 ms
252.50 ms,251.10 ms
256.80 ms,234.90 ms
263.40 ms,232.80 ms
254.50 ms,233.40 ms
259.40 ms,229.50 ms
256.10 ms,227.70 ms
252.30 ms,226.40 ms
255.90 ms,223.20 ms
301.90 ms,224.20 ms
286.90 ms,224.20 ms
263.20 ms,222.10 ms
269.90 ms,289.10 ms
259.40 ms,282.90 ms
254.20 ms,284.40 ms
255.30 ms,249.40 ms
258.50 ms,239.40 ms
251.30 ms,236.20 ms
250.70 ms,231.50 ms
256.00 ms,224.80 ms
256.70 ms,224.20 ms
260.10 ms,225.10 ms
256.40 ms,227.80 ms
258.70 ms,223.60 ms
256.90 ms,232.20 ms
257.40 ms,221.20 ms
254.50 ms,228.50 ms
255.90 ms,262.60 ms
257.30 ms,258.10 ms
257.10 ms,247.20 ms
255.90 ms,237.60 ms
254.30 ms,235.20 ms
258.40 ms,234.00 ms
258.30 ms,232.00 ms
273.60 ms,226.90 ms
256.70 ms,224.70 ms
262.90 ms,223.00 ms
258.30 ms,229.30 ms
261.40 ms,226.50 ms
257.20 ms,229.40 ms
258.40 ms,228.00 ms
256.50 ms,282.90 ms
255.80 ms,247.70 ms
262.50 ms,237.10 ms
254.90 ms,238.90 ms
255.20 ms,238.20 ms
252.00 ms,239.90 ms
269.60 ms,234.90 ms
259.60 ms,225.00 ms
268.70 ms,229.10 ms
264.40 ms,226.50 ms
256.50 ms,227.40 ms
264.40 ms,225.50 ms
255.50 ms,232.00 ms
263.20 ms,223.80 ms
249.30 ms,274.30 ms
258.50 ms,247.40 ms
250.20 ms,234.90 ms
306.90 ms,242.90 ms
281.40 ms,244.10 ms
264.80 ms,235.30 ms
260.60 ms,232.10 ms
254.20 ms,227.20 ms
253.70 ms,221.30 ms
257.20 ms,223.40 ms
255.90 ms,228.30 ms
260.40 ms,305.10 ms
251.30 ms,292.30 ms
253.70 ms,273.10 ms
256.70 ms,250.80 ms
256.20 ms,242.50 ms
267.50 ms,237.10 ms
258.40 ms,241.20 ms
257.50 ms,237.50 ms
263.70 ms,224.10 ms
253.60 ms,223.40 ms
257.40 ms,224.40 ms
255.30 ms,225.50 ms
255.10 ms,225.80 ms
256.10 ms,230.70 ms
253.00 ms,231.10 ms
256.00 ms,282.80 ms
255.20 ms,254.70 ms
254.50 ms,246.00 ms
