Browser Name,Browser Version
chrome,124.0.6367.119
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
270.60 ms,221.60 ms
232.50 ms,233.70 ms
231.40 ms,233.10 ms
238.20 ms,241.30 ms
247.40 ms,237.10 ms
246.00 ms,236.20 ms
247.90 ms,231.40 ms
251.60 ms,240.00 ms
251.20 ms,240.10 ms
248.40 ms,237.30 ms
253.10 ms,236.30 ms
248.10 ms,234.60 ms
242.70 ms,232.50 ms
241.60 ms,229.10 ms
242.70 ms,239.00 ms
241.30 ms,236.70 ms
248.30 ms,233.50 ms
247.30 ms,240.30 ms
246.50 ms,239.80 ms
246.10 ms,236.30 ms
257.10 ms,237.90 ms
253.00 ms,226.10 ms
258.60 ms,235.10 ms
237.80 ms,238.00 ms
246.50 ms,240.60 ms
242.10 ms,232.00 ms
239.40 ms,237.70 ms
246.20 ms,237.30 ms
243.20 ms,293.40 ms
289.30 ms,257.60 ms
275.30 ms,247.70 ms
249.10 ms,241.40 ms
251.80 ms,236.00 ms
251.70 ms,242.30 ms
250.70 ms,235.90 ms
250.90 ms,236.00 ms
246.50 ms,239.20 ms
248.00 ms,240.50 ms
245.10 ms,227.50 ms
241.60 ms,240.20 ms
249.00 ms,234.80 ms
245.80 ms,237.70 ms
252.70 ms,233.90 ms
243.40 ms,276.70 ms
251.70 ms,277.30 ms
259.90 ms,257.30 ms
250.20 ms,249.60 ms
249.90 ms,245.40 ms
246.10 ms,249.00 ms
243.90 ms,253.00 ms
248.20 ms,231.00 ms
255.20 ms,225.20 ms
251.90 ms,225.40 ms
251.10 ms,243.40 ms
248.20 ms,238.40 ms
247.20 ms,247.40 ms
253.90 ms,298.50 ms
258.00 ms,282.70 ms
243.30 ms,258.10 ms
256.10 ms,254.30 ms
258.60 ms,251.70 ms
256.30 ms,249.30 ms
254.20 ms,242.80 ms
249.50 ms,223.30 ms
248.80 ms,221.70 ms
250.00 ms,231.50 ms
245.70 ms,238.00 ms
259.00 ms,243.50 ms
256.90 ms,245.30 ms
263.70 ms,282.20 ms
255.00 ms,277.60 ms
254.40 ms,260.10 ms
251.50 ms,240.90 ms
257.60 ms,246.40 ms
256.80 ms,250.50 ms
245.50 ms,246.40 ms
246.40 ms,229.00 ms
251.20 ms,222.90 ms
238.20 ms,230.70 ms
262.30 ms,240.00 ms
261.90 ms,272.10 ms
267.70 ms,285.40 ms
258.40 ms,374.00 ms
256.90 ms,284.60 ms
254.80 ms,263.90 ms
257.30 ms,247.90 ms
253.40 ms,241.60 ms
251.20 ms,249.90 ms
249.20 ms,234.20 ms
250.10 ms,239.40 ms
248.50 ms,236.60 ms
250.40 ms,240.00 ms
248.20 ms,241.20 ms
254.40 ms,241.40 ms
250.10 ms,239.50 ms
257.40 ms,282.70 ms
253.70 ms,272.60 ms
249.70 ms,252.20 ms
258.70 ms,246.80 ms
256.40 ms,245.40 ms
251.80 ms,244.70 ms
256.20 ms,262.20 ms
250.90 ms,228.10 ms
252.20 ms,223.20 ms
245.20 ms,234.00 ms
267.20 ms,240.10 ms
257.10 ms,240.40 ms
254.80 ms,241.90 ms
256.90 ms,262.70 ms
254.80 ms,270.60 ms
253.00 ms,251.40 ms
249.10 ms,249.50 ms
256.10 ms,242.00 ms
248.70 ms,242.60 ms
249.90 ms,243.80 ms
248.50 ms,233.50 ms
246.60 ms,230.50 ms
250.80 ms,230.90 ms
251.90 ms,244.00 ms
261.60 ms,237.20 ms
251.90 ms,243.20 ms
252.40 ms,241.20 ms
251.50 ms,291.10 ms
258.20 ms,260.30 ms
256.40 ms,249.60 ms
255.60 ms,243.40 ms
255.40 ms,246.90 ms
246.80 ms,242.60 ms
250.70 ms,237.90 ms
274.60 ms,233.30 ms
285.30 ms,227.10 ms
262.90 ms,231.30 ms
263.60 ms,250.50 ms
250.60 ms,280.90 ms
257.00 ms,311.10 ms
257.10 ms,300.20 ms
258.70 ms,265.30 ms
256.30 ms,247.50 ms
253.20 ms,244.90 ms
270.80 ms,244.80 ms
264.40 ms,235.80 ms
271.40 ms,235.90 ms
251.40 ms,235.40 ms
264.90 ms,236.00 ms
254.50 ms,244.30 ms
255.80 ms,240.00 ms
251.00 ms,241.20 ms
255.90 ms,239.70 ms
260.60 ms,288.80 ms
248.70 ms,255.00 ms
254.90 ms,242.20 ms
248.60 ms,242.60 ms
247.70 ms,239.70 ms
245.80 ms,239.30 ms
241.50 ms,239.40 ms
248.90 ms,234.60 ms
263.00 ms,223.00 ms
258.90 ms,221.90 ms
255.50 ms,231.10 ms
262.50 ms,238.70 ms
258.30 ms,229.70 ms
260.00 ms,282.30 ms
251.20 ms,263.80 ms
257.20 ms,255.40 ms
245.30 ms,244.90 ms
250.60 ms,239.70 ms
241.60 ms,236.50 ms
255.90 ms,238.40 ms
253.40 ms,223.70 ms
253.30 ms,227.10 ms
254.70 ms,225.80 ms
248.00 ms,235.40 ms
255.20 ms,232.30 ms
252.20 ms,238.50 ms
255.00 ms,229.50 ms
256.00 ms,274.00 ms
254.90 ms,268.90 ms
249.80 ms,243.20 ms
247.80 ms,239.10 ms
254.90 ms,240.70 ms
292.90 ms,242.30 ms
271.50 ms,233.90 ms
259.70 ms,228.70 ms
256.40 ms,226.30 ms
258.50 ms,224.00 ms
257.40 ms,244.40 ms
256.10 ms,257.50 ms
255.20 ms,280.20 ms
254.40 ms,349.80 ms
241.30 ms,280.70 ms
252.30 ms,252.60 ms
257.40 ms,243.00 ms
251.40 ms,244.50 ms
253.70 ms,240.00 ms
262.60 ms,228.50 ms
254.30 ms,229.50 ms
250.40 ms,224.60 ms
251.20 ms,226.10 ms
258.30 ms,232.80 ms
247.80 ms,234.10 ms
