Browser Name,Browser Version
firefox,125.0.3
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
189.00 ms,344.00 ms
187.00 ms,350.00 ms
191.00 ms,358.00 ms
193.00 ms,353.00 ms
186.00 ms,352.00 ms
185.00 ms,343.00 ms
184.00 ms,345.00 ms
189.00 ms,347.00 ms
185.00 ms,413.00 ms
185.00 ms,350.00 ms
196.00 ms,348.00 ms
189.00 ms,351.00 ms
193.00 ms,350.00 ms
191.00 ms,347.00 ms
192.00 ms,343.00 ms
187.00 ms,349.00 ms
188.00 ms,352.00 ms
188.00 ms,360.00 ms
186.00 ms,378.00 ms
185.00 ms,342.00 ms
192.00 ms,347.00 ms
190.00 ms,351.00 ms
191.00 ms,351.00 ms
196.00 ms,354.00 ms
198.00 ms,359.00 ms
196.00 ms,353.00 ms
196.00 ms,346.00 ms
200.00 ms,342.00 ms
194.00 ms,345.00 ms
247.00 ms,351.00 ms
202.00 ms,354.00 ms
203.00 ms,353.00 ms
204.00 ms,356.00 ms
201.00 ms,349.00 ms
198.00 ms,346.00 ms
191.00 ms,401.00 ms
199.00 ms,356.00 ms
193.00 ms,352.00 ms
195.00 ms,349.00 ms
200.00 ms,346.00 ms
193.00 ms,342.00 ms
199.00 ms,346.00 ms
197.00 ms,350.00 ms
197.00 ms,351.00 ms
192.00 ms,350.00 ms
198.00 ms,352.00 ms
204.00 ms,345.00 ms
214.00 ms,344.00 ms
197.00 ms,349.00 ms
201.00 ms,358.00 ms
200.00 ms,352.00 ms
204.00 ms,353.00 ms
200.00 ms,355.00 ms
197.00 ms,350.00 ms
195.00 ms,343.00 ms
194.00 ms,346.00 ms
200.00 ms,351.00 ms
200.00 ms,353.00 ms
205.00 ms,355.00 ms
199.00 ms,350.00 ms
195.00 ms,348.00 ms
194.00 ms,347.00 ms
199.00 ms,365.00 ms
193.00 ms,376.00 ms
193.00 ms,359.00 ms
202.00 ms,353.00 ms
249.00 ms,349.00 ms
198.00 ms,348.00 ms
202.00 ms,348.00 ms
200.00 ms,346.00 ms
199.00 ms,361.00 ms
196.00 ms,354.00 ms
196.00 ms,357.00 ms
197.00 ms,350.00 ms
196.00 ms,350.00 ms
204.00 ms,343.00 ms
198.00 ms,349.00 ms
197.00 ms,361.00 ms
201.00 ms,354.00 ms
203.00 ms,353.00 ms
196.00 ms,354.00 ms
197.00 ms,347.00 ms
197.00 ms,347.00 ms
196.00 ms,346.00 ms
200.00 ms,352.00 ms
199.00 ms,352.00 ms
202.00 ms,357.00 ms
207.00 ms,354.00 ms
199.00 ms,346.00 ms
204.00 ms,345.00 ms
199.00 ms,382.00 ms
193.00 ms,356.00 ms
193.00 ms,355.00 ms
190.00 ms,360.00 ms
193.00 ms,348.00 ms
189.00 ms,340.00 ms
188.00 ms,345.00 ms
192.00 ms,349.00 ms
189.00 ms,350.00 ms
191.00 ms,355.00 ms
186.00 ms,357.00 ms
186.00 ms,353.00 ms
181.00 ms,348.00 ms
217.00 ms,341.00 ms
206.00 ms,355.00 ms
200.00 ms,358.00 ms
202.00 ms,356.00 ms
200.00 ms,350.00 ms
197.00 ms,348.00 ms
203.00 ms,346.00 ms
210.00 ms,348.00 ms
201.00 ms,355.00 ms
203.00 ms,353.00 ms
199.00 ms,356.00 ms
195.00 ms,350.00 ms
194.00 ms,339.00 ms
206.00 ms,348.00 ms
198.00 ms,421.00 ms
196.00 ms,357.00 ms
193.00 ms,353.00 ms
192.00 ms,350.00 ms
197.00 ms,349.00 ms
196.00 ms,325.00 ms
202.00 ms,330.00 ms
201.00 ms,336.00 ms
200.00 ms,339.00 ms
205.00 ms,350.00 ms
198.00 ms,353.00 ms
200.00 ms,347.00 ms
196.00 ms,349.00 ms
187.00 ms,345.00 ms
196.00 ms,351.00 ms
190.00 ms,356.00 ms
194.00 ms,350.00 ms
189.00 ms,359.00 ms
192.00 ms,349.00 ms
195.00 ms,343.00 ms
197.00 ms,344.00 ms
194.00 ms,352.00 ms
197.00 ms,351.00 ms
228.00 ms,362.00 ms
216.00 ms,355.00 ms
205.00 ms,348.00 ms
201.00 ms,345.00 ms
197.00 ms,419.00 ms
205.00 ms,341.00 ms
196.00 ms,331.00 ms
203.00 ms,340.00 ms
198.00 ms,328.00 ms
197.00 ms,330.00 ms
202.00 ms,332.00 ms
201.00 ms,331.00 ms
202.00 ms,336.00 ms
200.00 ms,332.00 ms
197.00 ms,350.00 ms
199.00 ms,350.00 ms
199.00 ms,326.00 ms
197.00 ms,325.00 ms
192.00 ms,324.00 ms
201.00 ms,335.00 ms
204.00 ms,331.00 ms
197.00 ms,332.00 ms
203.00 ms,336.00 ms
203.00 ms,332.00 ms
195.00 ms,331.00 ms
199.00 ms,331.00 ms
197.00 ms,350.00 ms
204.00 ms,353.00 ms
202.00 ms,356.00 ms
212.00 ms,356.00 ms
201.00 ms,332.00 ms
204.00 ms,333.00 ms
201.00 ms,389.00 ms
197.00 ms,346.00 ms
198.00 ms,401.00 ms
201.00 ms,363.00 ms
197.00 ms,350.00 ms
