Browser Name,Browser Version
MicrosoftEdge,125.0.2535.51
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
141.70000000298023 ms,63.80000001192093 ms
35.70000000298023 ms,19 ms
35.20000000298023 ms,18.799999997019768 ms
35.29999999701977 ms,18.5 ms
34.5 ms,18.5 ms
34.599999994039536 ms,20.19999998807907 ms
34.1000000089407 ms,21.899999991059303 ms
33.900000005960464 ms,18.100000008940697 ms
33.599999994039536 ms,18.69999998807907 ms
34.30000001192093 ms,29 ms
36 ms,19.299999997019768 ms
34.80000001192093 ms,19.5 ms
34.1000000089407 ms,18.200000002980232 ms
34.5 ms,19.899999991059303 ms
33.5 ms,18.600000008940697 ms
35.599999994039536 ms,18.299999997019768 ms
36.20000000298023 ms,18.399999991059303 ms
35.6000000089407 ms,23.299999997019768 ms
42.19999998807907 ms,18.799999997019768 ms
42.099999994039536 ms,18.299999997019768 ms
36.599999994039536 ms,18.400000005960464 ms
42.30000001192093 ms,18.799999997019768 ms
36.20000000298023 ms,17.899999991059303 ms
35.599999994039536 ms,20.200000002980232 ms
37.3999999910593 ms,18.599999994039536 ms
37.79999999701977 ms,33.6000000089407 ms
37.1000000089407 ms,18.30000001192093 ms
35.30000001192093 ms,21.100000008940697 ms
35.900000005960464 ms,18.30000001192093 ms
37.20000000298023 ms,18.599999994039536 ms
36.79999999701977 ms,19.799999997019768 ms
45 ms,18.5 ms
36.79999999701977 ms,32.79999999701977 ms
55.099999994039536 ms,27.899999991059303 ms
45.70000000298023 ms,19.899999991059303 ms
40.900000005960464 ms,18.700000002980232 ms
35.29999999701977 ms,18.5 ms
34.3999999910593 ms,21.899999991059303 ms
34.70000000298023 ms,18.100000008940697 ms
41.099999994039536 ms,18.400000005960464 ms
42.5 ms,18.700000002980232 ms
35 ms,38.20000000298023 ms
34.5 ms,18.400000005960464 ms
35.400000005960464 ms,34.80000001192093 ms
34.599999994039536 ms,18.700000002980232 ms
43.30000001192093 ms,18.799999997019768 ms
37.1000000089407 ms,19.5 ms
42.3999999910593 ms,36.70000000298023 ms
34.1000000089407 ms,29 ms
47.5 ms,18.5 ms
35.099999994039536 ms,19.299999997019768 ms
35.5 ms,27.400000005960464 ms
45.29999999701977 ms,25.700000002980232 ms
44.79999999701977 ms,22.200000002980232 ms
37.79999999701977 ms,18.099999994039536 ms
36.20000000298023 ms,24.099999994039536 ms
34.79999999701977 ms,18.299999997019768 ms
34.5 ms,18.700000002980232 ms
37.8999999910593 ms,18.100000008940697 ms
41 ms,19.400000005960464 ms
43.5 ms,21.200000002980232 ms
39.19999998807907 ms,18.5 ms
34.79999999701977 ms,22.599999994039536 ms
35.5 ms,19 ms
41.30000001192093 ms,19.299999997019768 ms
35.5 ms,18.100000008940697 ms
43.1000000089407 ms,18 ms
54.20000000298023 ms,18.200000002980232 ms
34.69999998807907 ms,19.200000002980232 ms
39.29999999701977 ms,18.099999994039536 ms
36.1000000089407 ms,18.600000008940697 ms
34.599999994039536 ms,19.5 ms
43.099999994039536 ms,18.099999994039536 ms
37.099999994039536 ms,18.700000002980232 ms
35.599999994039536 ms,23.299999997019768 ms
42.099999994039536 ms,21.399999991059303 ms
35.29999999701977 ms,18.899999991059303 ms
36 ms,18.099999994039536 ms
35.099999994039536 ms,21.900000005960464 ms
34.3999999910593 ms,25.200000002980232 ms
34.29999999701977 ms,18.399999991059303 ms
36.099999994039536 ms,18.19999998807907 ms
35.80000001192093 ms,18.19999998807907 ms
34.70000000298023 ms,19.799999997019768 ms
35.8999999910593 ms,18.600000008940697 ms
34.70000000298023 ms,20.099999994039536 ms
35.5 ms,20.200000002980232 ms
34.29999999701977 ms,20.600000008940697 ms
43.8999999910593 ms,19.600000008940697 ms
33.69999998807907 ms,19.200000002980232 ms
41.70000000298023 ms,18.200000002980232 ms
37.6000000089407 ms,18.099999994039536 ms
36.30000001192093 ms,18.5 ms
37.6000000089407 ms,20.5 ms
37.70000000298023 ms,19.599999994039536 ms
36.19999998807907 ms,18.299999997019768 ms
36.599999994039536 ms,18.700000002980232 ms
33.70000000298023 ms,18.200000002980232 ms
33.099999994039536 ms,18.200000002980232 ms
33.900000005960464 ms,18.099999994039536 ms
