Browser Name,Browser Version
chrome,124.0.6367.210
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
201.29999999701977 ms,96 ms
59.20000000298023 ms,19.299999997019768 ms
41.900000005960464 ms,19 ms
48.099999994039536 ms,20.5 ms
42.1000000089407 ms,23.5 ms
53.29999999701977 ms,19.200000002980232 ms
47.29999999701977 ms,21.19999998807907 ms
46.3999999910593 ms,18.799999997019768 ms
37.400000005960464 ms,18.400000005960464 ms
34.79999999701977 ms,18 ms
34.6000000089407 ms,18.5 ms
35.099999994039536 ms,22.299999997019768 ms
34.599999994039536 ms,20 ms
36 ms,18.700000002980232 ms
34.8999999910593 ms,18.599999994039536 ms
35 ms,18.5 ms
35 ms,20 ms
35.29999999701977 ms,23.700000002980232 ms
35 ms,18.5 ms
35.20000000298023 ms,18.799999997019768 ms
34 ms,39.599999994039536 ms
35.20000000298023 ms,18.599999994039536 ms
33.5 ms,18.899999991059303 ms
35.099999994039536 ms,18.19999998807907 ms
33.79999999701977 ms,19.5 ms
35.19999998807907 ms,18.700000002980232 ms
34.400000005960464 ms,18.100000008940697 ms
34.30000001192093 ms,18.799999997019768 ms
34.099999994039536 ms,23.100000008940697 ms
38.3999999910593 ms,19 ms
37.80000001192093 ms,17.900000005960464 ms
35.1000000089407 ms,18.299999997019768 ms
42.400000005960464 ms,18.400000005960464 ms
36.3999999910593 ms,18.200000002980232 ms
35.20000000298023 ms,19.5 ms
36.20000000298023 ms,18.600000008940697 ms
41.20000000298023 ms,33.900000005960464 ms
36.70000000298023 ms,18.5 ms
36.5 ms,21 ms
36 ms,18.100000008940697 ms
41.20000000298023 ms,18.600000008940697 ms
37.5 ms,19.400000005960464 ms
43.70000000298023 ms,18.600000008940697 ms
36 ms,32.5 ms
54.5 ms,31.600000008940697 ms
45.6000000089407 ms,19.899999991059303 ms
40.900000005960464 ms,18.700000002980232 ms
35.19999998807907 ms,18.200000002980232 ms
35.5 ms,21.899999991059303 ms
34.69999998807907 ms,18.099999994039536 ms
49.900000005960464 ms,18.600000008940697 ms
43.1000000089407 ms,18.400000005960464 ms
35.20000000298023 ms,38 ms
34.80000001192093 ms,18.899999991059303 ms
35 ms,31.5 ms
34.099999994039536 ms,18.799999997019768 ms
42.3999999910593 ms,18.599999994039536 ms
37.599999994039536 ms,19.099999994039536 ms
42.900000005960464 ms,38.6000000089407 ms
33.79999999701977 ms,29 ms
45.70000000298023 ms,18.400000005960464 ms
41 ms,18.099999994039536 ms
35.29999999701977 ms,19.400000005960464 ms
45.70000000298023 ms,25 ms
38.79999999701977 ms,22 ms
35.400000005960464 ms,18.5 ms
35.29999999701977 ms,24.80000001192093 ms
36.1000000089407 ms,18.599999994039536 ms
34.80000001192093 ms,19.200000002980232 ms
36.70000000298023 ms,17.900000005960464 ms
40.6000000089407 ms,19.400000005960464 ms
47.900000005960464 ms,20.80000001192093 ms
39.19999998807907 ms,18.5 ms
35.29999999701977 ms,22.400000005960464 ms
34.8999999910593 ms,18.399999991059303 ms
40.900000005960464 ms,19.299999997019768 ms
35.70000000298023 ms,18.100000008940697 ms
43.29999999701977 ms,18.200000002980232 ms
54.3999999910593 ms,18.299999997019768 ms
35.69999998807907 ms,20.400000005960464 ms
35.5 ms,18.5 ms
36.1000000089407 ms,21.5 ms
35.29999999701977 ms,19.5 ms
44.20000000298023 ms,18.600000008940697 ms
36.69999998807907 ms,19.400000005960464 ms
35.70000000298023 ms,23.599999994039536 ms
41.900000005960464 ms,21.899999991059303 ms
35 ms,19.400000005960464 ms
35.3999999910593 ms,18.200000002980232 ms
36.69999998807907 ms,19 ms
34.79999999701977 ms,25 ms
35.1000000089407 ms,18.599999994039536 ms
42.3999999910593 ms,18.5 ms
35.5 ms,18.100000008940697 ms
35.70000000298023 ms,19.69999998807907 ms
35.8999999910593 ms,18.5 ms
34.29999999701977 ms,19.400000005960464 ms
35.599999994039536 ms,21.299999997019768 ms
34.099999994039536 ms,20.69999998807907 ms
38.900000005960464 ms,20.099999994039536 ms
