Browser Name,Browser Version
firefox,126.0
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
90 ms,92 ms
97 ms,80 ms
95 ms,55 ms
95 ms,52 ms
115 ms,76 ms
137 ms,72 ms
117 ms,52 ms
74 ms,49 ms
229 ms,50 ms
270 ms,59 ms
192 ms,55 ms
250 ms,61 ms
275 ms,49 ms
335 ms,45 ms
297 ms,45 ms
225 ms,51 ms
242 ms,45 ms
291 ms,53 ms
234 ms,42 ms
268 ms,45 ms
268 ms,43 ms
204 ms,50 ms
264 ms,51 ms
269 ms,51 ms
235 ms,48 ms
248 ms,47 ms
120 ms,44 ms
101 ms,49 ms
126 ms,45 ms
95 ms,53 ms
110 ms,47 ms
102 ms,49 ms
100 ms,49 ms
97 ms,52 ms
110 ms,46 ms
381 ms,57 ms
98 ms,56 ms
101 ms,50 ms
101 ms,51 ms
92 ms,46 ms
78 ms,63 ms
173 ms,49 ms
90 ms,52 ms
89 ms,61 ms
102 ms,48 ms
102 ms,42 ms
85 ms,46 ms
90 ms,57 ms
86 ms,49 ms
73 ms,62 ms
85 ms,62 ms
84 ms,51 ms
83 ms,54 ms
90 ms,56 ms
91 ms,58 ms
76 ms,51 ms
172 ms,58 ms
116 ms,54 ms
87 ms,45 ms
86 ms,41 ms
88 ms,48 ms
79 ms,44 ms
73 ms,54 ms
81 ms,45 ms
84 ms,49 ms
75 ms,59 ms
82 ms,57 ms
85 ms,46 ms
58 ms,53 ms
54 ms,64 ms
64 ms,54 ms
93 ms,42 ms
115 ms,51 ms
111 ms,42 ms
75 ms,42 ms
71 ms,55 ms
82 ms,57 ms
84 ms,50 ms
75 ms,51 ms
101 ms,55 ms
79 ms,49 ms
79 ms,52 ms
98 ms,57 ms
79 ms,55 ms
85 ms,55 ms
79 ms,63 ms
78 ms,52 ms
65 ms,45 ms
73 ms,45 ms
83 ms,64 ms
81 ms,50 ms
87 ms,50 ms
82 ms,70 ms
104 ms,42 ms
83 ms,61 ms
75 ms,44 ms
81 ms,45 ms
78 ms,43 ms
75 ms,44 ms
86 ms,43 ms
