Browser Name,Browser Version
MicrosoftEdge,124.0.2478.80
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
131.69999998807907 ms,8.400000035762787 ms
57.19999998807907 ms,5.199999988079071 ms
55.700000047683716 ms,5.399999976158142 ms
56.10000002384186 ms,5.199999988079071 ms
55.30000001192093 ms,13.300000011920929 ms
55.19999998807907 ms,13 ms
56.700000047683716 ms,5.099999964237213 ms
57.80000001192093 ms,5.199999988079071 ms
55.30000001192093 ms,5.5 ms
54.69999998807907 ms,5.899999976158142 ms
55.39999997615814 ms,7 ms
56.10000002384186 ms,6.400000035762787 ms
54.89999997615814 ms,5.199999988079071 ms
56.89999997615814 ms,6 ms
56.10000002384186 ms,6 ms
59.19999998807907 ms,7.800000011920929 ms
68.69999998807907 ms,6.300000011920929 ms
56.299999952316284 ms,5.300000011920929 ms
57.5 ms,7.099999964237213 ms
58.89999997615814 ms,5.400000035762787 ms
58.5 ms,5.299999952316284 ms
67.30000001192093 ms,5.199999988079071 ms
63.10000002384186 ms,5.200000047683716 ms
62.19999998807907 ms,6.300000011920929 ms
58.80000001192093 ms,5.300000011920929 ms
58.19999998807907 ms,5.700000047683716 ms
60.30000001192093 ms,5.300000011920929 ms
61.09999996423721 ms,7.100000023841858 ms
62.90000003576279 ms,5.800000011920929 ms
58.69999998807907 ms,5.300000011920929 ms
56.700000047683716 ms,5.100000023841858 ms
58.89999997615814 ms,5.599999964237213 ms
55.89999997615814 ms,6.699999988079071 ms
60.89999997615814 ms,6 ms
58.39999997615814 ms,5.199999988079071 ms
59.89999997615814 ms,5.300000011920929 ms
60 ms,5.300000011920929 ms
59.5 ms,6 ms
80.69999998807907 ms,5.699999988079071 ms
81.09999996423721 ms,6.600000023841858 ms
70.09999996423721 ms,7.199999988079071 ms
69.69999998807907 ms,5.599999964237213 ms
59.19999998807907 ms,6.199999988079071 ms
62.89999997615814 ms,5.599999964237213 ms
58.19999998807907 ms,6.199999988079071 ms
58.5 ms,6.299999952316284 ms
57.799999952316284 ms,5.199999988079071 ms
61.19999998807907 ms,5.399999976158142 ms
58.60000002384186 ms,5.200000047683716 ms
61.799999952316284 ms,5.899999976158142 ms
58.80000001192093 ms,5.199999988079071 ms
60.80000001192093 ms,9.300000011920929 ms
60.39999997615814 ms,6.199999988079071 ms
58.69999998807907 ms,5.600000023841858 ms
60.39999997615814 ms,6 ms
62.90000003576279 ms,6 ms
61.700000047683716 ms,5.099999964237213 ms
57.5 ms,5.199999988079071 ms
62.89999997615814 ms,6.700000047683716 ms
67.39999997615814 ms,5.199999988079071 ms
59 ms,5.600000023841858 ms
62 ms,5.199999988079071 ms
58 ms,5.599999964237213 ms
61.89999997615814 ms,6.400000035762787 ms
56.10000002384186 ms,6 ms
60.90000003576279 ms,7 ms
57.59999996423721 ms,6.900000035762787 ms
57.80000001192093 ms,5.399999976158142 ms
58 ms,5.300000011920929 ms
60.30000001192093 ms,9.800000011920929 ms
57.5 ms,5.300000011920929 ms
58.19999998807907 ms,6.100000023841858 ms
57.90000003576279 ms,5.400000035762787 ms
56.19999998807907 ms,5.5 ms
60.799999952316284 ms,6.300000011920929 ms
58.30000001192093 ms,7.199999988079071 ms
57.5 ms,6.900000035762787 ms
56.80000001192093 ms,9.100000023841858 ms
60.89999997615814 ms,7.699999988079071 ms
59.59999996423721 ms,6.899999976158142 ms
56.200000047683716 ms,7.600000023841858 ms
60.69999998807907 ms,9.5 ms
61.19999998807907 ms,5.300000011920929 ms
58.59999996423721 ms,6.900000035762787 ms
60.80000001192093 ms,5.600000023841858 ms
58.09999996423721 ms,7 ms
60.60000002384186 ms,5.600000023841858 ms
60.69999998807907 ms,5.200000047683716 ms
58.700000047683716 ms,5.5 ms
58.799999952316284 ms,6.300000011920929 ms
58.59999996423721 ms,5.800000011920929 ms
60.69999998807907 ms,5.400000035762787 ms
60.60000002384186 ms,5.300000011920929 ms
58.60000002384186 ms,7.099999964237213 ms
58.59999996423721 ms,6.399999976158142 ms
59.89999997615814 ms,6.199999988079071 ms
59.700000047683716 ms,6.100000023841858 ms
59.799999952316284 ms,6.299999952316284 ms
59.10000002384186 ms,6.099999964237213 ms
61.80000001192093 ms,5.899999976158142 ms
57.10000002384186 ms,6 ms
58.10000002384186 ms,5.300000011920929 ms
58.30000001192093 ms,5.800000011920929 ms
59.80000001192093 ms,6.300000011920929 ms
58.10000002384186 ms,5.699999988079071 ms
65.59999996423721 ms,5.899999976158142 ms
57.19999998807907 ms,5.600000023841858 ms
57.10000002384186 ms,6.399999976158142 ms
58.59999996423721 ms,6.399999976158142 ms
58.59999996423721 ms,7.399999976158142 ms
60.799999952316284 ms,8.800000011920929 ms
64.19999998807907 ms,5.699999988079071 ms
67.80000001192093 ms,5.900000035762787 ms
58.39999997615814 ms,6.800000011920929 ms
61.69999998807907 ms,7.600000023841858 ms
58.10000002384186 ms,5.5 ms
59.89999997615814 ms,6.099999964237213 ms
59.10000002384186 ms,6.099999964237213 ms
61.89999997615814 ms,5.900000035762787 ms
59.60000002384186 ms,5.599999964237213 ms
59.10000002384186 ms,5.400000035762787 ms
58.799999952316284 ms,6.100000023841858 ms
64.10000002384186 ms,7 ms
58.60000002384186 ms,6.5 ms
57.89999997615814 ms,7 ms
59.59999996423721 ms,6.199999988079071 ms
58.19999998807907 ms,5.299999952316284 ms
60.89999997615814 ms,7.5 ms
58.90000003576279 ms,6 ms
57.69999998807907 ms,5.300000011920929 ms
59.40000003576279 ms,6.100000023841858 ms
60 ms,6.900000035762787 ms
61.60000002384186 ms,7.100000023841858 ms
57.89999997615814 ms,7.399999976158142 ms
60.10000002384186 ms,5.599999964237213 ms
60.69999998807907 ms,5.199999988079071 ms
56.5 ms,5.800000011920929 ms
61 ms,6 ms
58.80000001192093 ms,5.700000047683716 ms
58.19999998807907 ms,5.400000035762787 ms
57.10000002384186 ms,7.600000023841858 ms
60.89999997615814 ms,6.900000035762787 ms
57 ms,5.5 ms
57.700000047683716 ms,5.300000011920929 ms
61.39999997615814 ms,6.599999964237213 ms
61 ms,6.300000011920929 ms
59.60000002384186 ms,5.300000011920929 ms
60.5 ms,6.100000023841858 ms
59.89999997615814 ms,7.5 ms
61 ms,6 ms
60.5 ms,6.199999988079071 ms
62.19999998807907 ms,8.099999964237213 ms
59.89999997615814 ms,5.800000011920929 ms
60.5 ms,7.699999988079071 ms
60.39999997615814 ms,5.899999976158142 ms
59.80000001192093 ms,7.599999964237213 ms
60.59999996423721 ms,6.100000023841858 ms
65.70000004768372 ms,6.699999988079071 ms
59.5 ms,6.900000035762787 ms
60.39999997615814 ms,7.800000011920929 ms
59.799999952316284 ms,6.399999976158142 ms
59.5 ms,5.699999988079071 ms
59.80000001192093 ms,5.899999976158142 ms
59.30000001192093 ms,5.5 ms
59.200000047683716 ms,5.699999988079071 ms
72.5 ms,5.699999988079071 ms
65.69999998807907 ms,6.5 ms
68.19999998807907 ms,5.699999988079071 ms
65 ms,6.099999964237213 ms
60.40000003576279 ms,6.300000011920929 ms
62.19999998807907 ms,7 ms
59.5 ms,6.300000011920929 ms
62.799999952316284 ms,6.600000023841858 ms
63.80000001192093 ms,6.300000011920929 ms
67.59999996423721 ms,5.800000011920929 ms
64.20000004768372 ms,6.900000035762787 ms
60.5 ms,6.600000023841858 ms
60.30000001192093 ms,6.699999988079071 ms
62.5 ms,5.699999988079071 ms
59.60000002384186 ms,6.100000023841858 ms
59.19999998807907 ms,6.699999988079071 ms
65 ms,5.800000011920929 ms
60.19999998807907 ms,5.199999988079071 ms
60.30000001192093 ms,6.199999988079071 ms
61.299999952316284 ms,5.199999988079071 ms
59.89999997615814 ms,6.100000023841858 ms
58.69999998807907 ms,6.600000023841858 ms
59.90000003576279 ms,6.299999952316284 ms
60.30000001192093 ms,6.599999964237213 ms
62.90000003576279 ms,5.699999988079071 ms
67.80000001192093 ms,6.600000023841858 ms
57.5 ms,7.300000011920929 ms
58.39999997615814 ms,6.300000011920929 ms
60.80000001192093 ms,5.599999964237213 ms
59.09999996423721 ms,6.5 ms
59.80000001192093 ms,5.700000047683716 ms
58.89999997615814 ms,7 ms
58.19999998807907 ms,7.100000023841858 ms
59.700000047683716 ms,6.600000023841858 ms
59.09999996423721 ms,6 ms
