Browser Name,Browser Version
chrome,124.0.6367.210
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
48.19999998807907 ms,20.200000002980232 ms
20.5 ms,17.400000005960464 ms
20.200000002980232 ms,16.799999997019768 ms
20.399999991059303 ms,17.099999994039536 ms
21.099999994039536 ms,17 ms
20.299999997019768 ms,16.900000005960464 ms
20.299999997019768 ms,18.600000008940697 ms
20 ms,21.900000005960464 ms
20.5 ms,23.299999997019768 ms
20.600000008940697 ms,17 ms
21.399999991059303 ms,16.599999994039536 ms
21.099999994039536 ms,17.399999991059303 ms
20.900000005960464 ms,17 ms
20.400000005960464 ms,18.700000002980232 ms
20.799999997019768 ms,17.299999997019768 ms
20.5 ms,16.80000001192093 ms
20.5 ms,17.700000002980232 ms
19.80000001192093 ms,16.700000002980232 ms
20.5 ms,16.700000002980232 ms
20.200000002980232 ms,16.80000001192093 ms
19.899999991059303 ms,17.299999997019768 ms
21.5 ms,16.69999998807907 ms
20.700000002980232 ms,20.700000002980232 ms
20.5 ms,19.5 ms
20.099999994039536 ms,16.799999997019768 ms
30.69999998807907 ms,16.700000002980232 ms
20.600000008940697 ms,17.899999991059303 ms
20.100000008940697 ms,16.80000001192093 ms
22.5 ms,17.5 ms
22.299999997019768 ms,20.5 ms
20.5 ms,18.099999994039536 ms
21 ms,16.5 ms
20.099999994039536 ms,19.69999998807907 ms
20.599999994039536 ms,16.600000008940697 ms
20 ms,16.799999997019768 ms
20.5 ms,17.099999994039536 ms
23.799999997019768 ms,16.400000005960464 ms
23.899999991059303 ms,16.599999994039536 ms
21.900000005960464 ms,16.700000002980232 ms
20.399999991059303 ms,17 ms
20.100000008940697 ms,16.799999997019768 ms
20.200000002980232 ms,18.299999997019768 ms
25.700000002980232 ms,17.19999998807907 ms
24.200000002980232 ms,28.299999997019768 ms
23.099999994039536 ms,17.5 ms
20.5 ms,18.5 ms
21.099999994039536 ms,19.5 ms
20.700000002980232 ms,16.5 ms
20.30000001192093 ms,32.400000005960464 ms
20.100000008940697 ms,16.599999994039536 ms
21.299999997019768 ms,16.900000005960464 ms
20.400000005960464 ms,17.5 ms
24.299999997019768 ms,16.799999997019768 ms
20.099999994039536 ms,20.80000001192093 ms
23.5 ms,20.599999994039536 ms
20.19999998807907 ms,18.799999997019768 ms
20.299999997019768 ms,16.900000005960464 ms
20.200000002980232 ms,16.5 ms
20.599999994039536 ms,17.5 ms
20.600000008940697 ms,16.700000002980232 ms
21.200000002980232 ms,16.599999994039536 ms
20.5 ms,17.299999997019768 ms
22.69999998807907 ms,17 ms
20.5 ms,17 ms
24.5 ms,20.100000008940697 ms
25.400000005960464 ms,17.099999994039536 ms
20.5 ms,16.5 ms
20.799999997019768 ms,20 ms
20.600000008940697 ms,16.69999998807907 ms
20.400000005960464 ms,16.69999998807907 ms
20.799999997019768 ms,16.900000005960464 ms
23.80000001192093 ms,17.099999994039536 ms
20.700000002980232 ms,16.600000008940697 ms
20.799999997019768 ms,19.600000008940697 ms
21.099999994039536 ms,17.299999997019768 ms
20.099999994039536 ms,16.80000001192093 ms
23.799999997019768 ms,16.400000005960464 ms
21.099999994039536 ms,17.099999994039536 ms
20.899999991059303 ms,18.299999997019768 ms
23.099999994039536 ms,17 ms
20.299999997019768 ms,16.099999994039536 ms
20.400000005960464 ms,16.600000008940697 ms
20.799999997019768 ms,16.799999997019768 ms
20.399999991059303 ms,16.400000005960464 ms
20.599999994039536 ms,17.299999997019768 ms
20.5 ms,16.80000001192093 ms
21.799999997019768 ms,19.900000005960464 ms
20.899999991059303 ms,28.5 ms
20.599999994039536 ms,16.69999998807907 ms
20.900000005960464 ms,16.700000002980232 ms
20.599999994039536 ms,17 ms
20.700000002980232 ms,17 ms
25.5 ms,16.399999991059303 ms
20.5 ms,19.69999998807907 ms
21.700000002980232 ms,31.299999997019768 ms
31.200000002980232 ms,17.799999997019768 ms
21 ms,17.299999997019768 ms
25.399999991059303 ms,16.899999991059303 ms
20.600000008940697 ms,16.599999994039536 ms
20.700000002980232 ms,16.099999994039536 ms
