Browser Name,Browser Version
firefox,125.0.3
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
80 ms,35 ms
61 ms,20 ms
44 ms,9 ms
46 ms,11 ms
43 ms,8 ms
44 ms,8 ms
45 ms,8 ms
45 ms,9 ms
41 ms,8 ms
46 ms,8 ms
45 ms,9 ms
47 ms,8 ms
44 ms,10 ms
44 ms,10 ms
41 ms,12 ms
44 ms,8 ms
45 ms,8 ms
46 ms,9 ms
44 ms,8 ms
44 ms,8 ms
45 ms,8 ms
42 ms,8 ms
45 ms,16 ms
44 ms,8 ms
45 ms,9 ms
45 ms,8 ms
44 ms,9 ms
47 ms,8 ms
43 ms,9 ms
42 ms,8 ms
46 ms,8 ms
46 ms,9 ms
46 ms,13 ms
44 ms,9 ms
45 ms,7 ms
44 ms,8 ms
44 ms,8 ms
44 ms,9 ms
43 ms,16 ms
44 ms,8 ms
42 ms,8 ms
62 ms,20 ms
50 ms,11 ms
47 ms,8 ms
43 ms,7 ms
47 ms,8 ms
43 ms,9 ms
44 ms,8 ms
44 ms,8 ms
46 ms,7 ms
45 ms,9 ms
44 ms,14 ms
45 ms,12 ms
42 ms,8 ms
44 ms,10 ms
42 ms,9 ms
45 ms,8 ms
43 ms,8 ms
43 ms,8 ms
43 ms,8 ms
43 ms,7 ms
42 ms,9 ms
44 ms,14 ms
45 ms,25 ms
46 ms,13 ms
45 ms,8 ms
45 ms,15 ms
44 ms,15 ms
42 ms,8 ms
42 ms,8 ms
45 ms,8 ms
46 ms,8 ms
43 ms,8 ms
46 ms,8 ms
46 ms,26 ms
43 ms,8 ms
44 ms,9 ms
43 ms,9 ms
44 ms,13 ms
43 ms,13 ms
45 ms,21 ms
48 ms,10 ms
44 ms,22 ms
44 ms,9 ms
45 ms,8 ms
45 ms,8 ms
46 ms,9 ms
42 ms,10 ms
45 ms,10 ms
45 ms,10 ms
42 ms,12 ms
45 ms,9 ms
45 ms,11 ms
44 ms,8 ms
43 ms,8 ms
47 ms,8 ms
48 ms,8 ms
46 ms,8 ms
46 ms,8 ms
47 ms,8 ms
45 ms,9 ms
46 ms,9 ms
46 ms,8 ms
46 ms,8 ms
43 ms,9 ms
45 ms,9 ms
45 ms,15 ms
45 ms,10 ms
44 ms,9 ms
65 ms,14 ms
50 ms,9 ms
50 ms,10 ms
43 ms,9 ms
45 ms,16 ms
48 ms,8 ms
46 ms,10 ms
46 ms,9 ms
43 ms,9 ms
44 ms,10 ms
42 ms,9 ms
44 ms,8 ms
44 ms,9 ms
44 ms,8 ms
45 ms,8 ms
44 ms,9 ms
45 ms,9 ms
45 ms,9 ms
44 ms,9 ms
43 ms,8 ms
44 ms,8 ms
44 ms,8 ms
44 ms,9 ms
45 ms,7 ms
43 ms,13 ms
46 ms,8 ms
42 ms,9 ms
46 ms,12 ms
46 ms,7 ms
44 ms,8 ms
44 ms,7 ms
47 ms,13 ms
44 ms,21 ms
42 ms,8 ms
43 ms,8 ms
42 ms,8 ms
44 ms,10 ms
43 ms,8 ms
46 ms,11 ms
45 ms,9 ms
45 ms,10 ms
43 ms,8 ms
45 ms,8 ms
46 ms,9 ms
45 ms,9 ms
48 ms,9 ms
45 ms,20 ms
42 ms,10 ms
41 ms,9 ms
42 ms,8 ms
41 ms,34 ms
41 ms,8 ms
41 ms,9 ms
43 ms,8 ms
44 ms,9 ms
45 ms,22 ms
42 ms,10 ms
46 ms,9 ms
41 ms,8 ms
45 ms,8 ms
45 ms,8 ms
45 ms,14 ms
45 ms,23 ms
49 ms,16 ms
46 ms,8 ms
46 ms,8 ms
41 ms,8 ms
58 ms,10 ms
64 ms,8 ms
44 ms,9 ms
45 ms,13 ms
44 ms,31 ms
47 ms,22 ms
45 ms,8 ms
46 ms,9 ms
45 ms,29 ms
43 ms,21 ms
45 ms,7 ms
44 ms,8 ms
43 ms,8 ms
45 ms,8 ms
44 ms,8 ms
43 ms,9 ms
43 ms,9 ms
44 ms,9 ms
44 ms,9 ms
43 ms,28 ms
45 ms,8 ms
46 ms,23 ms
46 ms,9 ms
44 ms,7 ms
