Browser Name,Browser Version
MicrosoftEdge,125.0.2535.51
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
16.399999991059303 ms,12.400000005960464 ms
5.5 ms,10.400000005960464 ms
4.5 ms,11.400000005960464 ms
4.699999988079071 ms,6.700000002980232 ms
5.299999997019768 ms,8.800000011920929 ms
4.799999997019768 ms,13.900000005960464 ms
3.7000000029802322 ms,10.400000005960464 ms
3.8999999910593033 ms,9.400000005960464 ms
4.799999997019768 ms,9.600000008940697 ms
4.199999988079071 ms,8.599999994039536 ms
4.299999997019768 ms,13.299999997019768 ms
4.600000008940697 ms,9.599999994039536 ms
4 ms,9.400000005960464 ms
3.7999999970197678 ms,9.399999991059303 ms
3.9000000059604645 ms,8.5 ms
3.7999999970197678 ms,9.799999997019768 ms
3.8999999910593033 ms,14.799999997019768 ms
5 ms,15.200000002980232 ms
3.7999999970197678 ms,9.800000011920929 ms
4.100000008940697 ms,9.799999997019768 ms
6.5999999940395355 ms,10.5 ms
4.5 ms,14.099999994039536 ms
5 ms,12.599999994039536 ms
3.7999999970197678 ms,8.299999997019768 ms
3.7999999970197678 ms,9.700000002980232 ms
4.4000000059604645 ms,13.5 ms
4.299999997019768 ms,16.299999997019768 ms
3.7999999970197678 ms,11.799999997019768 ms
3.8999999910593033 ms,9.099999994039536 ms
3.7999999970197678 ms,10.100000008940697 ms
4 ms,8.600000008940697 ms
4 ms,8.399999991059303 ms
4.299999997019768 ms,9.200000002980232 ms
3.7999999970197678 ms,9 ms
4.699999988079071 ms,10.099999994039536 ms
3.7000000029802322 ms,12.099999994039536 ms
4.299999997019768 ms,13.5 ms
4.299999997019768 ms,13.299999997019768 ms
5 ms,7.5 ms
3.7999999970197678 ms,13.900000005960464 ms
3.9000000059604645 ms,7.700000002980232 ms
4.200000002980232 ms,8 ms
5.200000002980232 ms,7.100000008940697 ms
4.5 ms,7.5 ms
4.100000008940697 ms,7.200000002980232 ms
3.5 ms,7.799999997019768 ms
3.7000000029802322 ms,13.599999994039536 ms
4.700000002980232 ms,7.9000000059604645 ms
5.100000008940697 ms,14 ms
5 ms,7.5 ms
3.7999999970197678 ms,12.899999991059303 ms
4.299999997019768 ms,9 ms
4.5999999940395355 ms,7.299999997019768 ms
4.299999997019768 ms,7.300000011920929 ms
4.299999997019768 ms,8 ms
4.5 ms,7.200000002980232 ms
3.9000000059604645 ms,15.700000002980232 ms
4 ms,8.800000011920929 ms
4.299999997019768 ms,7.399999991059303 ms
3.8999999910593033 ms,7.200000002980232 ms
5.5 ms,9.199999988079071 ms
4.5 ms,25.299999997019768 ms
7.299999997019768 ms,8.5 ms
4.699999988079071 ms,7.799999997019768 ms
5.5999999940395355 ms,7.600000008940697 ms
4.299999997019768 ms,7.9000000059604645 ms
5.0999999940395355 ms,8.200000002980232 ms
4.799999997019768 ms,7.4000000059604645 ms
6.799999997019768 ms,7.5 ms
4.5 ms,7.100000008940697 ms
3 ms,7.0999999940395355 ms
6.799999997019768 ms,7.699999988079071 ms
4.0999999940395355 ms,7.200000002980232 ms
4.700000002980232 ms,14.5 ms
4.299999997019768 ms,7.200000002980232 ms
3 ms,7.9000000059604645 ms
4.200000002980232 ms,7.200000002980232 ms
5.5 ms,7.299999997019768 ms
5.699999988079071 ms,8 ms
5.0999999940395355 ms,7.700000002980232 ms
5.0999999940395355 ms,9.799999997019768 ms
4.200000002980232 ms,7.9000000059604645 ms
5.100000008940697 ms,7.9000000059604645 ms
4.5 ms,14.400000005960464 ms
6 ms,8.099999994039536 ms
5.299999997019768 ms,7.700000002980232 ms
4.9000000059604645 ms,13.599999994039536 ms
7.299999997019768 ms,7.100000008940697 ms
3.7999999970197678 ms,8.099999994039536 ms
3.9000000059604645 ms,7.100000008940697 ms
5.5999999940395355 ms,7 ms
4.800000011920929 ms,7.600000008940697 ms
2.9000000059604645 ms,7.5 ms
4.5 ms,7.0999999940395355 ms
5.199999988079071 ms,7.800000011920929 ms
4.5999999940395355 ms,7 ms
4.299999997019768 ms,7.199999988079071 ms
6.299999997019768 ms,7.100000008940697 ms
7 ms,7.799999997019768 ms
3.8999999910593033 ms,14.5 ms
