Browser Name,Browser Version
chrome,124.0.6367.210
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
15.799999997019768 ms,14 ms
3.7999999970197678 ms,9.799999997019768 ms
3.4000000059604645 ms,11 ms
4.4000000059604645 ms,9.5 ms
4 ms,13 ms
4.300000011920929 ms,16.200000002980232 ms
4.300000011920929 ms,15.099999994039536 ms
5.200000002980232 ms,13 ms
3.9000000059604645 ms,11.5 ms
4.399999991059303 ms,9.800000011920929 ms
3.9000000059604645 ms,7.5 ms
4.100000008940697 ms,6.899999991059303 ms
3.9000000059604645 ms,14.699999988079071 ms
3.0999999940395355 ms,10.600000008940697 ms
4 ms,7.100000008940697 ms
4.700000002980232 ms,7.9000000059604645 ms
4.5 ms,7.600000008940697 ms
3.7999999970197678 ms,8.199999988079071 ms
3.0999999940395355 ms,8.400000005960464 ms
4.0999999940395355 ms,7.300000011920929 ms
3.8999999910593033 ms,8.299999997019768 ms
3.5 ms,8.200000002980232 ms
4 ms,7.700000002980232 ms
4.0999999940395355 ms,7.4000000059604645 ms
3.7999999970197678 ms,8.200000002980232 ms
4.700000002980232 ms,7.700000002980232 ms
3.9000000059604645 ms,7.100000008940697 ms
4.100000008940697 ms,9.299999997019768 ms
3.7999999970197678 ms,7.799999997019768 ms
4 ms,7.299999997019768 ms
4.0999999940395355 ms,8.299999997019768 ms
4.300000011920929 ms,8.600000008940697 ms
5.300000011920929 ms,7.200000002980232 ms
4.299999997019768 ms,9.099999994039536 ms
4 ms,7.799999997019768 ms
3 ms,10 ms
4 ms,12.5 ms
3.699999988079071 ms,17.799999997019768 ms
3 ms,11.399999991059303 ms
4.700000002980232 ms,8.5 ms
3.9000000059604645 ms,8.600000008940697 ms
4.4000000059604645 ms,8.300000011920929 ms
4.799999997019768 ms,7.600000008940697 ms
4 ms,7.200000002980232 ms
3 ms,7.399999991059303 ms
5.5999999940395355 ms,9.599999994039536 ms
3.800000011920929 ms,7.899999991059303 ms
4.800000011920929 ms,7.200000002980232 ms
4.299999997019768 ms,7.299999997019768 ms
4 ms,7.600000008940697 ms
3.4000000059604645 ms,10.600000008940697 ms
3.9000000059604645 ms,10.599999994039536 ms
3 ms,8.299999997019768 ms
4.5999999940395355 ms,7.5 ms
4.299999997019768 ms,7.5 ms
5 ms,7.5999999940395355 ms
4.600000008940697 ms,7.5 ms
4.699999988079071 ms,13 ms
5 ms,7.700000002980232 ms
3.8999999910593033 ms,14.300000011920929 ms
4.5 ms,7.299999997019768 ms
4.299999997019768 ms,16.099999994039536 ms
3.800000011920929 ms,7.800000011920929 ms
3 ms,7.0999999940395355 ms
4.399999991059303 ms,7.4000000059604645 ms
4.5999999940395355 ms,7.5999999940395355 ms
3.7999999970197678 ms,7.5 ms
4.5 ms,18.299999997019768 ms
3.5 ms,9.5 ms
3.8999999910593033 ms,7.799999997019768 ms
5.5999999940395355 ms,7.0999999940395355 ms
5.299999997019768 ms,10 ms
6 ms,26.299999997019768 ms
8.099999994039536 ms,7.9000000059604645 ms
5.299999997019768 ms,8.099999994039536 ms
5.799999997019768 ms,8.300000011920929 ms
5.4000000059604645 ms,7.399999991059303 ms
4.799999997019768 ms,8.5 ms
4.9000000059604645 ms,7.100000008940697 ms
6.5 ms,8.799999997019768 ms
5.4000000059604645 ms,7.5 ms
3.7000000029802322 ms,7.5999999940395355 ms
6.5 ms,7.700000002980232 ms
5.299999997019768 ms,7.9000000059604645 ms
5.0999999940395355 ms,14.299999997019768 ms
5.5999999940395355 ms,7.399999991059303 ms
5 ms,8.600000008940697 ms
4.4000000059604645 ms,8.299999997019768 ms
4.899999991059303 ms,7.700000002980232 ms
5.799999997019768 ms,7.200000002980232 ms
4.799999997019768 ms,8 ms
3.0999999940395355 ms,9.800000011920929 ms
5.9000000059604645 ms,7.5 ms
7.799999997019768 ms,7.899999991059303 ms
4.5 ms,10.099999994039536 ms
5.9000000059604645 ms,8.300000011920929 ms
5.5 ms,7.799999997019768 ms
4.700000002980232 ms,16.099999994039536 ms
8 ms,8.100000008940697 ms
4.5 ms,9.399999991059303 ms
