Browser Name,Browser Version
MicrosoftEdge,125.0.2535.51
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
48.30000001192093 ms,25.299999997019768 ms
20.099999994039536 ms,23.5 ms
23.399999991059303 ms,19.400000005960464 ms
24.69999998807907 ms,19.400000005960464 ms
25.600000008940697 ms,18.700000002980232 ms
21.5 ms,19.299999997019768 ms
19.399999991059303 ms,21.399999991059303 ms
18.80000001192093 ms,22.600000008940697 ms
18.099999994039536 ms,18.80000001192093 ms
28.799999997019768 ms,19.5 ms
24.899999991059303 ms,19.299999997019768 ms
18.900000005960464 ms,19.099999994039536 ms
22.700000002980232 ms,18.799999997019768 ms
21 ms,18.700000002980232 ms
18.900000005960464 ms,19.200000002980232 ms
19.80000001192093 ms,19.100000008940697 ms
22.299999997019768 ms,19.299999997019768 ms
24.19999998807907 ms,17.69999998807907 ms
22.5 ms,17.5 ms
23.599999994039536 ms,17.80000001192093 ms
24 ms,17.5 ms
20.899999991059303 ms,17.799999997019768 ms
19.799999997019768 ms,18 ms
20.600000008940697 ms,18.099999994039536 ms
22 ms,19 ms
20.900000005960464 ms,20.200000002980232 ms
20.200000002980232 ms,18.200000002980232 ms
20.299999997019768 ms,18.100000008940697 ms
20.100000008940697 ms,17.700000002980232 ms
20 ms,17.299999997019768 ms
19.80000001192093 ms,17.599999994039536 ms
20.100000008940697 ms,17.5 ms
20.600000008940697 ms,18.700000002980232 ms
19.799999997019768 ms,18.299999997019768 ms
19.5 ms,19.5 ms
20.600000008940697 ms,17.799999997019768 ms
20.799999997019768 ms,18.099999994039536 ms
19.69999998807907 ms,18.600000008940697 ms
18.200000002980232 ms,19.600000008940697 ms
19.899999991059303 ms,19.400000005960464 ms
24.299999997019768 ms,18.5 ms
19.700000002980232 ms,18.200000002980232 ms
20.5 ms,19.5 ms
20 ms,20.400000005960464 ms
20.400000005960464 ms,18.69999998807907 ms
19.600000008940697 ms,17.400000005960464 ms
20.399999991059303 ms,18 ms
20.5 ms,18.099999994039536 ms
19.400000005960464 ms,17.599999994039536 ms
19.799999997019768 ms,20.299999997019768 ms
20 ms,18.5 ms
22.099999994039536 ms,18 ms
20.899999991059303 ms,17.599999994039536 ms
19.600000008940697 ms,17.400000005960464 ms
20.700000002980232 ms,17.5 ms
20 ms,17.200000002980232 ms
20.30000001192093 ms,17.399999991059303 ms
19.5 ms,17.700000002980232 ms
17.900000005960464 ms,17.299999997019768 ms
19.099999994039536 ms,18.799999997019768 ms
20.700000002980232 ms,17.099999994039536 ms
21.899999991059303 ms,17.899999991059303 ms
20.5 ms,18.600000008940697 ms
20.100000008940697 ms,17.900000005960464 ms
20.5 ms,18.599999994039536 ms
19.599999994039536 ms,19.899999991059303 ms
18.700000002980232 ms,18.299999997019768 ms
17.900000005960464 ms,17.799999997019768 ms
20.299999997019768 ms,17.600000008940697 ms
20.700000002980232 ms,19.5 ms
20.700000002980232 ms,18.700000002980232 ms
20 ms,20.69999998807907 ms
18.299999997019768 ms,18.69999998807907 ms
18.200000002980232 ms,19.5 ms
19.099999994039536 ms,24.100000008940697 ms
21.30000001192093 ms,17.599999994039536 ms
20.599999994039536 ms,18.100000008940697 ms
18.80000001192093 ms,17.700000002980232 ms
20.100000008940697 ms,17.899999991059303 ms
20.799999997019768 ms,17.900000005960464 ms
22.5 ms,20.700000002980232 ms
21.400000005960464 ms,18 ms
23.299999997019768 ms,17.80000001192093 ms
19.899999991059303 ms,17.700000002980232 ms
22.80000001192093 ms,17.600000008940697 ms
19.200000002980232 ms,17.900000005960464 ms
18 ms,17.599999994039536 ms
22 ms,19.700000002980232 ms
20 ms,18.69999998807907 ms
20.099999994039536 ms,17.899999991059303 ms
20.5 ms,19.19999998807907 ms
19.799999997019768 ms,19.299999997019768 ms
21 ms,18.69999998807907 ms
21.700000002980232 ms,18 ms
18.700000002980232 ms,17.899999991059303 ms
18.299999997019768 ms,26.600000008940697 ms
21.799999997019768 ms,22 ms
19.099999994039536 ms,18.900000005960464 ms
21.200000002980232 ms,19.799999997019768 ms
20.100000008940697 ms,17.700000002980232 ms
