Browser Name,Browser Version
chrome,124.0.6367.210
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
45.1000000089407 ms,25.700000002980232 ms
18.200000002980232 ms,21 ms
17.799999997019768 ms,18.799999997019768 ms
18.69999998807907 ms,32.70000000298023 ms
18.5 ms,41.599999994039536 ms
17.899999991059303 ms,21.799999997019768 ms
19.900000005960464 ms,20.799999997019768 ms
19 ms,25.400000005960464 ms
17.899999991059303 ms,21 ms
18 ms,21.599999994039536 ms
18.599999994039536 ms,20.599999994039536 ms
18.599999994039536 ms,27.399999991059303 ms
18.099999994039536 ms,23.5 ms
18.299999997019768 ms,19.200000002980232 ms
18.399999991059303 ms,18.700000002980232 ms
18.299999997019768 ms,17.599999994039536 ms
18.099999994039536 ms,19.799999997019768 ms
17.799999997019768 ms,17.599999994039536 ms
17.700000002980232 ms,17.799999997019768 ms
18 ms,21.80000001192093 ms
18.399999991059303 ms,20.900000005960464 ms
18.100000008940697 ms,30.799999997019768 ms
18.299999997019768 ms,17.69999998807907 ms
20.099999994039536 ms,18.100000008940697 ms
22.5 ms,17.700000002980232 ms
18.900000005960464 ms,17.5 ms
18.200000002980232 ms,18 ms
18.200000002980232 ms,18.600000008940697 ms
18.200000002980232 ms,18.600000008940697 ms
18.19999998807907 ms,18.799999997019768 ms
18.099999994039536 ms,18.799999997019768 ms
18.799999997019768 ms,22 ms
17.5 ms,18.5 ms
17.5 ms,17.100000008940697 ms
20.700000002980232 ms,17.400000005960464 ms
20.5 ms,18 ms
19.400000005960464 ms,18.299999997019768 ms
23.399999991059303 ms,22.799999997019768 ms
18.5 ms,18.899999991059303 ms
18.399999991059303 ms,18.099999994039536 ms
18.299999997019768 ms,22.80000001192093 ms
18.30000001192093 ms,18.200000002980232 ms
19.69999998807907 ms,17.69999998807907 ms
19.5 ms,17.700000002980232 ms
18.400000005960464 ms,17.700000002980232 ms
19.299999997019768 ms,29.5 ms
19.399999991059303 ms,17.599999994039536 ms
23.099999994039536 ms,17.700000002980232 ms
18.599999994039536 ms,18 ms
20.799999997019768 ms,17.900000005960464 ms
25 ms,19.600000008940697 ms
18.700000002980232 ms,21.299999997019768 ms
23.100000008940697 ms,17.799999997019768 ms
25 ms,19.099999994039536 ms
19.899999991059303 ms,17.69999998807907 ms
22.299999997019768 ms,18.299999997019768 ms
19.099999994039536 ms,18.200000002980232 ms
18.599999994039536 ms,17.899999991059303 ms
18.700000002980232 ms,18.399999991059303 ms
18.399999991059303 ms,18 ms
18.400000005960464 ms,17.599999994039536 ms
18.899999991059303 ms,18.099999994039536 ms
19.900000005960464 ms,17.799999997019768 ms
18.700000002980232 ms,20.900000005960464 ms
19.599999994039536 ms,17.5 ms
18.900000005960464 ms,17.900000005960464 ms
18.80000001192093 ms,18.599999994039536 ms
23.799999997019768 ms,18.69999998807907 ms
18.600000008940697 ms,17.5 ms
22.599999994039536 ms,17.299999997019768 ms
19 ms,19.200000002980232 ms
19.099999994039536 ms,20.099999994039536 ms
18.5 ms,19.099999994039536 ms
21.099999994039536 ms,18 ms
18.399999991059303 ms,18.200000002980232 ms
25.200000002980232 ms,18 ms
19.80000001192093 ms,17.900000005960464 ms
18.299999997019768 ms,17.900000005960464 ms
22.400000005960464 ms,22.399999991059303 ms
18.600000008940697 ms,41.20000000298023 ms
18.299999997019768 ms,20.900000005960464 ms
24.299999997019768 ms,18.299999997019768 ms
30.899999991059303 ms,17.899999991059303 ms
18.099999994039536 ms,19.400000005960464 ms
18.400000005960464 ms,21 ms
18.299999997019768 ms,17.30000001192093 ms
28.099999994039536 ms,17.599999994039536 ms
19 ms,21.899999991059303 ms
23.900000005960464 ms,20.5 ms
18.799999997019768 ms,17.700000002980232 ms
18.900000005960464 ms,20.899999991059303 ms
19.099999994039536 ms,18.099999994039536 ms
18.700000002980232 ms,18 ms
18.5 ms,18.600000008940697 ms
18.5 ms,18.099999994039536 ms
19.599999994039536 ms,20.299999997019768 ms
24.5 ms,18.299999997019768 ms
18.099999994039536 ms,18.299999997019768 ms
22.5 ms,17.900000005960464 ms
25 ms,21 ms
