Browser Name,Browser Version
firefox,126.0
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
25 ms,81 ms
29 ms,72 ms
19 ms,85 ms
18 ms,66 ms
18 ms,97 ms
40 ms,81 ms
28 ms,66 ms
19 ms,66 ms
28 ms,70 ms
25 ms,68 ms
29 ms,85 ms
20 ms,66 ms
18 ms,68 ms
25 ms,73 ms
32 ms,68 ms
26 ms,73 ms
22 ms,73 ms
22 ms,74 ms
31 ms,72 ms
25 ms,78 ms
24 ms,73 ms
32 ms,89 ms
32 ms,70 ms
20 ms,82 ms
27 ms,73 ms
18 ms,68 ms
19 ms,69 ms
38 ms,79 ms
20 ms,70 ms
21 ms,69 ms
28 ms,70 ms
18 ms,67 ms
20 ms,68 ms
26 ms,71 ms
26 ms,68 ms
22 ms,74 ms
19 ms,76 ms
31 ms,73 ms
32 ms,71 ms
19 ms,70 ms
36 ms,69 ms
26 ms,70 ms
20 ms,70 ms
20 ms,66 ms
33 ms,75 ms
18 ms,74 ms
25 ms,69 ms
22 ms,75 ms
19 ms,79 ms
21 ms,69 ms
20 ms,73 ms
21 ms,65 ms
19 ms,70 ms
20 ms,73 ms
31 ms,66 ms
21 ms,75 ms
22 ms,79 ms
24 ms,74 ms
31 ms,70 ms
20 ms,78 ms
21 ms,82 ms
20 ms,67 ms
25 ms,82 ms
20 ms,67 ms
26 ms,76 ms
20 ms,66 ms
25 ms,69 ms
36 ms,70 ms
35 ms,71 ms
23 ms,69 ms
30 ms,119 ms
17 ms,73 ms
21 ms,74 ms
18 ms,69 ms
25 ms,71 ms
20 ms,74 ms
23 ms,67 ms
29 ms,74 ms
21 ms,78 ms
24 ms,72 ms
19 ms,68 ms
24 ms,68 ms
19 ms,77 ms
26 ms,77 ms
21 ms,69 ms
21 ms,77 ms
28 ms,67 ms
29 ms,72 ms
31 ms,72 ms
22 ms,73 ms
20 ms,76 ms
28 ms,94 ms
19 ms,71 ms
19 ms,70 ms
19 ms,69 ms
19 ms,68 ms
21 ms,70 ms
21 ms,81 ms
23 ms,78 ms
18 ms,114 ms
