Browser Name,Browser Version
chrome,124.0.6367.210
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
26.200000002980232 ms,7.4000000059604645 ms
14.800000011920929 ms,3.7000000029802322 ms
13 ms,3.5999999940395355 ms
9.099999994039536 ms,3.5 ms
9.5 ms,3.5 ms
8.899999991059303 ms,3.5 ms
9.600000008940697 ms,4 ms
10.5 ms,4 ms
9.700000002980232 ms,5.199999988079071 ms
9 ms,3.5 ms
10.5 ms,3.6000000089406967 ms
12.599999994039536 ms,3.5 ms
9.299999997019768 ms,3.6000000089406967 ms
9.599999994039536 ms,3.6000000089406967 ms
9.099999994039536 ms,3.3999999910593033 ms
9.300000011920929 ms,3.4000000059604645 ms
9.199999988079071 ms,7.799999997019768 ms
9.5 ms,5.700000002980232 ms
9.599999994039536 ms,3.5 ms
9.399999991059303 ms,3.7999999970197678 ms
8.900000005960464 ms,3.5 ms
9.200000002980232 ms,3.3999999910593033 ms
13.799999997019768 ms,3.3999999910593033 ms
9 ms,3.5999999940395355 ms
9.299999997019768 ms,3.7999999970197678 ms
9.200000002980232 ms,3.7999999970197678 ms
9.900000005960464 ms,3.5 ms
9.199999988079071 ms,3.5 ms
10.099999994039536 ms,3.4000000059604645 ms
9 ms,3.7999999970197678 ms
9.900000005960464 ms,3.2999999970197678 ms
9 ms,3.6000000089406967 ms
9 ms,3.4000000059604645 ms
11.5 ms,3.5 ms
9.800000011920929 ms,3.5 ms
9.200000002980232 ms,3.4000000059604645 ms
9.099999994039536 ms,3.4000000059604645 ms
9.400000005960464 ms,3.4000000059604645 ms
9.699999988079071 ms,3.4000000059604645 ms
10.900000005960464 ms,3.5 ms
8.900000005960464 ms,3.300000011920929 ms
9.299999997019768 ms,3.2999999970197678 ms
9.599999994039536 ms,3.5999999940395355 ms
11.899999991059303 ms,3.5 ms
9.599999994039536 ms,4.0999999940395355 ms
9.200000002980232 ms,4.200000002980232 ms
9.699999988079071 ms,3.5 ms
9.900000005960464 ms,3.4000000059604645 ms
9.300000011920929 ms,4.0999999940395355 ms
9.299999997019768 ms,3.6000000089406967 ms
9.600000008940697 ms,12.200000002980232 ms
9.599999994039536 ms,13.599999994039536 ms
9.399999991059303 ms,4.0999999940395355 ms
9.200000002980232 ms,5.5 ms
9.299999997019768 ms,3.5 ms
9.099999994039536 ms,6.4000000059604645 ms
9 ms,4.0999999940395355 ms
11.200000002980232 ms,3.4000000059604645 ms
9.5 ms,4.299999997019768 ms
9.5 ms,3.5 ms
9.100000008940697 ms,3.6000000089406967 ms
9.199999988079071 ms,3.3999999910593033 ms
10.5 ms,3.5 ms
9.699999988079071 ms,3.4000000059604645 ms
12.700000002980232 ms,3.4000000059604645 ms
9.700000002980232 ms,3.4000000059604645 ms
11.200000002980232 ms,3.7000000029802322 ms
10.299999997019768 ms,3.6000000089406967 ms
9.900000005960464 ms,4.0999999940395355 ms
11.700000002980232 ms,3.5 ms
9.5 ms,3.9000000059604645 ms
9.400000005960464 ms,3.3999999910593033 ms
9.5 ms,3.4000000059604645 ms
9.5 ms,3.5 ms
9.200000002980232 ms,3.5 ms
11 ms,4.9000000059604645 ms
9.600000008940697 ms,4.299999997019768 ms
9.200000002980232 ms,3.5 ms
9.200000002980232 ms,3.5 ms
8.900000005960464 ms,4 ms
9.400000005960464 ms,3.7000000029802322 ms
9.399999991059303 ms,3.5 ms
9.099999994039536 ms,3.5999999940395355 ms
9.200000002980232 ms,3.4000000059604645 ms
10.099999994039536 ms,3.3999999910593033 ms
9.299999997019768 ms,3.3999999910593033 ms
8.899999991059303 ms,12.5 ms
9 ms,22.700000002980232 ms
9.200000002980232 ms,5.700000002980232 ms
9.200000002980232 ms,3.7000000029802322 ms
9.199999988079071 ms,5.100000008940697 ms
9.599999994039536 ms,3.5 ms
9.600000008940697 ms,3.4000000059604645 ms
9 ms,3.4000000059604645 ms
9.100000008940697 ms,7.299999997019768 ms
9.400000005960464 ms,5.299999997019768 ms
9.300000011920929 ms,4.299999997019768 ms
9 ms,3.2999999970197678 ms
10 ms,4.399999991059303 ms
9.400000005960464 ms,3.7000000029802322 ms
