Browser Name,Browser Version
MicrosoftEdge,125.0.2535.51
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
5.50 ms,2.90 ms
1.90 ms,0.70 ms
2.20 ms,0.50 ms
1.90 ms,0.70 ms
2.00 ms,0.50 ms
8.80 ms,0.60 ms
2.00 ms,0.50 ms
2.10 ms,1.20 ms
2.00 ms,0.60 ms
2.10 ms,0.70 ms
1.80 ms,0.80 ms
1.90 ms,0.60 ms
1.70 ms,0.90 ms
2.20 ms,0.60 ms
1.90 ms,0.60 ms
2.20 ms,0.60 ms
1.70 ms,0.60 ms
3.60 ms,0.50 ms
2.20 ms,0.60 ms
1.80 ms,0.80 ms
1.90 ms,0.60 ms
1.90 ms,0.80 ms
1.70 ms,0.60 ms
3.80 ms,0.70 ms
2.60 ms,0.50 ms
1.70 ms,0.50 ms
1.90 ms,0.50 ms
1.80 ms,0.80 ms
2.00 ms,0.60 ms
1.80 ms,1.10 ms
1.70 ms,0.60 ms
2.20 ms,0.60 ms
1.80 ms,1.00 ms
1.80 ms,0.70 ms
1.80 ms,0.80 ms
1.80 ms,1.20 ms
1.80 ms,0.40 ms
1.80 ms,0.80 ms
1.70 ms,2.00 ms
2.10 ms,0.90 ms
1.90 ms,0.60 ms
1.80 ms,0.60 ms
2.00 ms,0.90 ms
2.60 ms,0.70 ms
1.80 ms,0.60 ms
1.80 ms,2.00 ms
1.70 ms,0.90 ms
1.80 ms,0.50 ms
1.90 ms,0.60 ms
1.80 ms,0.40 ms
2.60 ms,0.80 ms
1.80 ms,0.90 ms
1.80 ms,1.00 ms
1.80 ms,0.40 ms
1.80 ms,0.50 ms
1.90 ms,0.50 ms
1.80 ms,0.50 ms
1.90 ms,0.90 ms
2.90 ms,0.70 ms
4.50 ms,0.60 ms
2.10 ms,0.50 ms
1.70 ms,0.60 ms
2.00 ms,0.60 ms
1.80 ms,1.30 ms
1.70 ms,0.50 ms
1.80 ms,0.60 ms
4.30 ms,0.80 ms
1.90 ms,0.70 ms
2.10 ms,0.60 ms
1.90 ms,0.60 ms
1.80 ms,0.50 ms
1.80 ms,0.60 ms
2.70 ms,0.40 ms
1.90 ms,1.00 ms
1.80 ms,1.10 ms
1.80 ms,0.60 ms
1.80 ms,1.00 ms
1.90 ms,0.60 ms
1.80 ms,0.50 ms
1.70 ms,1.00 ms
1.90 ms,0.60 ms
1.80 ms,0.50 ms
1.80 ms,0.80 ms
2.00 ms,1.50 ms
1.60 ms,0.90 ms
2.80 ms,1.00 ms
2.00 ms,0.50 ms
1.90 ms,0.50 ms
2.00 ms,1.80 ms
2.00 ms,0.60 ms
1.80 ms,0.60 ms
1.80 ms,0.60 ms
2.30 ms,0.60 ms
2.40 ms,1.40 ms
1.70 ms,0.90 ms
1.90 ms,0.40 ms
2.10 ms,0.60 ms
2.60 ms,0.50 ms
1.70 ms,0.50 ms
1.80 ms,0.50 ms
