Browser Name,Browser Version
chrome,124.0.6367.119
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
5.50 ms,2.30 ms
1.90 ms,1.20 ms
2.40 ms,0.60 ms
1.90 ms,0.50 ms
1.90 ms,0.60 ms
1.90 ms,0.80 ms
2.10 ms,0.60 ms
2.00 ms,0.60 ms
1.90 ms,1.00 ms
1.80 ms,0.70 ms
2.70 ms,0.60 ms
1.90 ms,1.00 ms
2.30 ms,1.10 ms
2.10 ms,0.90 ms
1.80 ms,0.60 ms
1.90 ms,0.60 ms
1.80 ms,1.10 ms
1.90 ms,0.70 ms
1.90 ms,0.90 ms
2.00 ms,0.70 ms
1.80 ms,0.80 ms
1.80 ms,0.70 ms
1.90 ms,0.60 ms
2.30 ms,0.70 ms
2.40 ms,0.60 ms
2.20 ms,0.70 ms
2.20 ms,0.70 ms
1.80 ms,0.60 ms
1.90 ms,0.50 ms
1.80 ms,0.70 ms
2.00 ms,0.80 ms
1.80 ms,0.80 ms
1.80 ms,0.70 ms
2.00 ms,0.70 ms
2.20 ms,0.80 ms
1.80 ms,0.50 ms
2.20 ms,1.30 ms
2.20 ms,0.80 ms
1.80 ms,0.50 ms
2.50 ms,0.70 ms
1.80 ms,0.70 ms
2.00 ms,1.10 ms
2.10 ms,0.60 ms
2.20 ms,0.60 ms
1.80 ms,1.20 ms
2.00 ms,0.80 ms
2.00 ms,0.90 ms
2.30 ms,0.70 ms
1.70 ms,0.70 ms
1.90 ms,0.60 ms
1.80 ms,0.90 ms
1.80 ms,0.50 ms
2.10 ms,1.00 ms
1.70 ms,0.80 ms
1.90 ms,0.60 ms
1.80 ms,0.70 ms
1.90 ms,0.90 ms
1.80 ms,1.20 ms
1.80 ms,0.60 ms
1.80 ms,0.80 ms
2.20 ms,0.90 ms
1.90 ms,0.60 ms
1.90 ms,0.80 ms
2.00 ms,1.00 ms
1.90 ms,0.60 ms
1.80 ms,0.60 ms
1.70 ms,0.90 ms
1.90 ms,0.90 ms
1.90 ms,0.70 ms
2.70 ms,0.80 ms
2.30 ms,0.70 ms
1.80 ms,0.70 ms
1.90 ms,0.70 ms
2.20 ms,0.70 ms
2.10 ms,0.70 ms
2.00 ms,0.90 ms
2.20 ms,0.90 ms
2.10 ms,1.00 ms
2.00 ms,0.80 ms
1.80 ms,0.80 ms
1.90 ms,0.70 ms
1.90 ms,1.00 ms
1.80 ms,0.80 ms
1.80 ms,2.20 ms
1.90 ms,0.60 ms
1.70 ms,0.70 ms
2.00 ms,0.90 ms
2.10 ms,0.90 ms
1.80 ms,0.90 ms
2.30 ms,0.70 ms
2.10 ms,0.60 ms
2.30 ms,0.60 ms
2.20 ms,0.90 ms
2.00 ms,0.90 ms
2.00 ms,0.70 ms
2.50 ms,0.90 ms
2.10 ms,0.80 ms
1.90 ms,0.60 ms
2.00 ms,0.70 ms
1.70 ms,0.70 ms
1.70 ms,1.10 ms
1.90 ms,0.60 ms
1.80 ms,1.10 ms
1.90 ms,1.00 ms
1.90 ms,0.50 ms
2.50 ms,0.70 ms
1.80 ms,0.80 ms
1.70 ms,0.90 ms
1.80 ms,0.80 ms
1.90 ms,0.50 ms
2.20 ms,0.60 ms
2.00 ms,0.70 ms
1.70 ms,1.00 ms
1.90 ms,0.70 ms
2.00 ms,0.60 ms
1.80 ms,0.80 ms
1.70 ms,0.60 ms
1.80 ms,0.90 ms
2.20 ms,0.80 ms
1.80 ms,0.70 ms
1.70 ms,0.90 ms
2.20 ms,0.80 ms
2.00 ms,0.70 ms
1.80 ms,0.70 ms
1.80 ms,0.60 ms
2.20 ms,0.90 ms
2.20 ms,0.60 ms
1.90 ms,0.60 ms
1.80 ms,0.50 ms
2.50 ms,1.20 ms
1.70 ms,1.40 ms
1.80 ms,1.00 ms
2.10 ms,0.80 ms
2.30 ms,1.10 ms
2.30 ms,0.90 ms
2.30 ms,0.90 ms
1.70 ms,0.90 ms
1.90 ms,0.70 ms
1.70 ms,0.70 ms
1.70 ms,1.20 ms
1.90 ms,0.80 ms
2.50 ms,0.80 ms
2.20 ms,0.60 ms
1.80 ms,0.70 ms
1.80 ms,0.90 ms
1.80 ms,1.30 ms
2.00 ms,0.60 ms
1.80 ms,1.00 ms
1.80 ms,0.80 ms
1.90 ms,0.80 ms
2.40 ms,0.80 ms
2.30 ms,1.00 ms
1.80 ms,0.50 ms
2.40 ms,0.80 ms
1.90 ms,0.60 ms
1.90 ms,1.00 ms
1.90 ms,0.50 ms
1.90 ms,0.70 ms
1.80 ms,0.90 ms
1.90 ms,0.90 ms
2.40 ms,0.60 ms
1.90 ms,0.80 ms
1.70 ms,0.80 ms
2.10 ms,0.80 ms
1.80 ms,0.80 ms
1.90 ms,0.70 ms
2.20 ms,0.70 ms
2.10 ms,0.70 ms
2.10 ms,1.00 ms
2.30 ms,0.80 ms
2.20 ms,0.60 ms
1.80 ms,0.80 ms
1.80 ms,0.80 ms
1.70 ms,1.00 ms
1.80 ms,0.60 ms
2.40 ms,0.90 ms
1.80 ms,0.90 ms
1.70 ms,1.20 ms
2.10 ms,0.70 ms
2.10 ms,0.70 ms
2.00 ms,1.20 ms
1.80 ms,0.80 ms
2.30 ms,1.00 ms
1.70 ms,0.70 ms
2.00 ms,0.80 ms
2.10 ms,0.70 ms
1.80 ms,0.90 ms
1.80 ms,0.80 ms
2.00 ms,0.60 ms
1.80 ms,1.10 ms
1.80 ms,0.70 ms
2.10 ms,0.60 ms
1.80 ms,0.50 ms
1.90 ms,0.60 ms
2.10 ms,0.90 ms
2.30 ms,0.80 ms
1.90 ms,0.80 ms
2.00 ms,0.70 ms
2.00 ms,0.70 ms
2.00 ms,1.00 ms
