Browser Name,Browser Version
MicrosoftEdge,125.0.2535.51
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
4.399999991059303 ms,2.7999999970197678 ms
1.5999999940395355 ms,1 ms
3.5 ms,0.9000000059604645 ms
2.0999999940395355 ms,0.7000000029802322 ms
1.5999999940395355 ms,0.7999999970197678 ms
1.8999999910593033 ms,0.7999999970197678 ms
1.5 ms,0.7000000029802322 ms
1.5999999940395355 ms,2.5999999940395355 ms
1.5 ms,0.7999999970197678 ms
1.6000000089406967 ms,0.7000000029802322 ms
1.9000000059604645 ms,0.8999999910593033 ms
1.7000000029802322 ms,0.9000000059604645 ms
1.4000000059604645 ms,0.7999999970197678 ms
1.7000000029802322 ms,0.800000011920929 ms
1.800000011920929 ms,0.7000000029802322 ms
2.2999999970197678 ms,0.9000000059604645 ms
1.5999999940395355 ms,1.5999999940395355 ms
2.0999999940395355 ms,0.7999999970197678 ms
1.5 ms,0.7999999970197678 ms
1.5999999940395355 ms,1.2999999970197678 ms
1.6000000089406967 ms,0.7999999970197678 ms
1.6000000089406967 ms,1 ms
2.7999999970197678 ms,1.0999999940395355 ms
2.7000000029802322 ms,1.2999999970197678 ms
1.5 ms,0.7000000029802322 ms
1.699999988079071 ms,0.7999999970197678 ms
1.9000000059604645 ms,1 ms
1.5 ms,0.7000000029802322 ms
2.7000000029802322 ms,0.7999999970197678 ms
1.7000000029802322 ms,1 ms
1.7999999970197678 ms,0.7999999970197678 ms
2.3999999910593033 ms,0.7000000029802322 ms
2.9000000059604645 ms,1 ms
1.7999999970197678 ms,0.9000000059604645 ms
1.5 ms,0.7999999970197678 ms
1.7000000029802322 ms,0.800000011920929 ms
1.7000000029802322 ms,1 ms
1.5999999940395355 ms,0.7999999970197678 ms
1.5 ms,1 ms
1.699999988079071 ms,0.7000000029802322 ms
1.5 ms,0.8999999910593033 ms
1.7999999970197678 ms,0.7999999970197678 ms
1.9000000059604645 ms,1.2999999970197678 ms
1.5999999940395355 ms,1.3999999910593033 ms
4.5 ms,0.7999999970197678 ms
3.1000000089406967 ms,1.9000000059604645 ms
1.7000000029802322 ms,0.9000000059604645 ms
1.7000000029802322 ms,1.5 ms
1.699999988079071 ms,0.800000011920929 ms
1.5999999940395355 ms,0.7000000029802322 ms
1.5 ms,0.8999999910593033 ms
1.6000000089406967 ms,0.9000000059604645 ms
2.6000000089406967 ms,2.5999999940395355 ms
2.6000000089406967 ms,0.9000000059604645 ms
1.9000000059604645 ms,1.4000000059604645 ms
1.5999999940395355 ms,1.3999999910593033 ms
1.5 ms,1.0999999940395355 ms
2.7000000029802322 ms,0.699999988079071 ms
1.7999999970197678 ms,0.9000000059604645 ms
1.3999999910593033 ms,1.5999999940395355 ms
1.7999999970197678 ms,0.7999999970197678 ms
1.5999999940395355 ms,1.199999988079071 ms
1.5 ms,0.7999999970197678 ms
2.7999999970197678 ms,0.7999999970197678 ms
2.699999988079071 ms,0.9000000059604645 ms
1.5999999940395355 ms,0.9000000059604645 ms
3.4000000059604645 ms,1 ms
1.5999999940395355 ms,1 ms
1.7000000029802322 ms,0.7000000029802322 ms
2.7000000029802322 ms,0.7999999970197678 ms
1.5 ms,0.7999999970197678 ms
1.699999988079071 ms,1 ms
1.7000000029802322 ms,3 ms
1.5999999940395355 ms,0.8999999910593033 ms
1.5999999940395355 ms,0.7999999970197678 ms
1.5999999940395355 ms,4.699999988079071 ms
1.5 ms,1 ms
1.6000000089406967 ms,1.5999999940395355 ms
1.5 ms,1 ms
1.7000000029802322 ms,0.8999999910593033 ms
1.6000000089406967 ms,0.9000000059604645 ms
1.7000000029802322 ms,1.0999999940395355 ms
1.6000000089406967 ms,0.7999999970197678 ms
1.7000000029802322 ms,1.9000000059604645 ms
1.3999999910593033 ms,1.8999999910593033 ms
4 ms,0.7999999970197678 ms
2.6000000089406967 ms,0.7999999970197678 ms
3.5999999940395355 ms,0.8999999910593033 ms
1.6000000089406967 ms,0.7999999970197678 ms
1.5 ms,0.9000000059604645 ms
2.7999999970197678 ms,0.7999999970197678 ms
4.100000008940697 ms,1.4000000059604645 ms
1.5 ms,0.7999999970197678 ms
1.7000000029802322 ms,0.699999988079071 ms
1.7999999970197678 ms,0.7000000029802322 ms
3 ms,0.7000000029802322 ms
2 ms,1.2000000029802322 ms
1.5999999940395355 ms,0.8999999910593033 ms
1.6000000089406967 ms,1.8999999910593033 ms
1.7999999970197678 ms,1.1000000089406967 ms
