Browser Name,Browser Version
chrome,124.0.6367.119
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
5.699999988079071 ms,2.800000011920929 ms
2.300000011920929 ms,0.8999999761581421 ms
1.399999976158142 ms,0.9000000357627869 ms
1.800000011920929 ms,1.100000023841858 ms
1.5 ms,1.600000023841858 ms
2 ms,1.100000023841858 ms
1.399999976158142 ms,0.9000000357627869 ms
1.9000000357627869 ms,1.100000023841858 ms
1.5 ms,1.0999999642372131 ms
2.100000023841858 ms,1 ms
1.5 ms,1.0999999642372131 ms
1.7999999523162842 ms,1.100000023841858 ms
1.399999976158142 ms,1.199999988079071 ms
1.600000023841858 ms,1.7999999523162842 ms
1.5 ms,1.0999999642372131 ms
1.899999976158142 ms,1 ms
2.299999952316284 ms,1.399999976158142 ms
1.5999999642372131 ms,0.8999999761581421 ms
1.5 ms,1 ms
1.699999988079071 ms,0.8999999761581421 ms
1.399999976158142 ms,1 ms
1.5 ms,1.199999988079071 ms
1.5 ms,1.199999988079071 ms
2 ms,0.800000011920929 ms
1.5999999642372131 ms,1.300000011920929 ms
1.7999999523162842 ms,0.8999999761581421 ms
1.699999988079071 ms,1.2999999523162842 ms
1.5999999642372131 ms,0.800000011920929 ms
1.800000011920929 ms,1 ms
2.399999976158142 ms,0.7999999523162842 ms
2 ms,1.199999988079071 ms
1.5 ms,1.2999999523162842 ms
1.699999988079071 ms,1 ms
1.600000023841858 ms,1.199999988079071 ms
1.5 ms,1 ms
1.5999999642372131 ms,1.199999988079071 ms
1.4000000357627869 ms,1.100000023841858 ms
1.600000023841858 ms,2 ms
1.5 ms,1.399999976158142 ms
1.7999999523162842 ms,0.800000011920929 ms
1.800000011920929 ms,1.0999999642372131 ms
1.600000023841858 ms,0.8999999761581421 ms
1.5 ms,1.0999999642372131 ms
2.100000023841858 ms,1 ms
1.899999976158142 ms,1.300000011920929 ms
1.5 ms,1.2000000476837158 ms
1.5 ms,0.8999999761581421 ms
1.699999988079071 ms,1.199999988079071 ms
2 ms,0.7999999523162842 ms
1.5999999642372131 ms,1.100000023841858 ms
1.399999976158142 ms,1.5 ms
1.600000023841858 ms,1.0999999642372131 ms
1.600000023841858 ms,0.800000011920929 ms
1.5 ms,1.5999999642372131 ms
2 ms,0.9000000357627869 ms
1.5 ms,1 ms
1.600000023841858 ms,1.199999988079071 ms
1.5 ms,0.7999999523162842 ms
1.800000011920929 ms,1.399999976158142 ms
2.100000023841858 ms,1 ms
1.800000011920929 ms,1 ms
1.5999999642372131 ms,1 ms
2 ms,0.8999999761581421 ms
2.100000023841858 ms,1.100000023841858 ms
1.699999988079071 ms,1.199999988079071 ms
1.600000023841858 ms,0.8999999761581421 ms
1.5 ms,0.800000011920929 ms
1.9000000357627869 ms,1.300000011920929 ms
1.600000023841858 ms,0.800000011920929 ms
2.200000047683716 ms,1.0999999642372131 ms
1.5999999642372131 ms,1.0999999642372131 ms
1.5 ms,1.199999988079071 ms
1.399999976158142 ms,1.300000011920929 ms
1.300000011920929 ms,1.100000023841858 ms
1.399999976158142 ms,0.800000011920929 ms
1.5 ms,1.9000000357627869 ms
1.5 ms,1 ms
2.099999964237213 ms,0.9000000357627869 ms
1.7999999523162842 ms,1.199999988079071 ms
1.5 ms,1 ms
1.399999976158142 ms,0.800000011920929 ms
1.800000011920929 ms,1.0999999642372131 ms
1.9000000357627869 ms,0.9000000357627869 ms
1.5 ms,1.300000011920929 ms
1.399999976158142 ms,2.199999988079071 ms
1.800000011920929 ms,1.399999976158142 ms
1.7999999523162842 ms,1.100000023841858 ms
2.300000011920929 ms,1.2999999523162842 ms
2 ms,1.699999988079071 ms
1.699999988079071 ms,0.9000000357627869 ms
1.800000011920929 ms,1 ms
1.699999988079071 ms,1.800000011920929 ms
1.5 ms,1.600000023841858 ms
1.5 ms,0.800000011920929 ms
1.5 ms,1.399999976158142 ms
1.5999999642372131 ms,1.199999988079071 ms
1.5 ms,1.2000000476837158 ms
2.100000023841858 ms,0.9000000357627869 ms
1.800000011920929 ms,1.5 ms
2.5 ms,1.199999988079071 ms
1.800000011920929 ms,1.399999976158142 ms
1.699999988079071 ms,1.7000000476837158 ms
1.399999976158142 ms,1 ms
1.5999999642372131 ms,1.0999999642372131 ms
1.600000023841858 ms,1 ms
1.800000011920929 ms,1.0999999642372131 ms
1.5 ms,1.100000023841858 ms
1.5 ms,1.100000023841858 ms
1.5 ms,0.9000000357627869 ms
1.699999988079071 ms,1.0999999642372131 ms
1.4000000357627869 ms,1.4000000357627869 ms
1.699999988079071 ms,0.8999999761581421 ms
1.5 ms,1.199999988079071 ms
1.5 ms,0.9000000357627869 ms
1.399999976158142 ms,0.8999999761581421 ms
1.699999988079071 ms,1.5 ms
1.4000000357627869 ms,0.8999999761581421 ms
1.800000011920929 ms,1 ms
1.699999988079071 ms,1.199999988079071 ms
1.5 ms,1.199999988079071 ms
1.899999976158142 ms,1 ms
1.600000023841858 ms,1 ms
1.800000011920929 ms,0.9000000357627869 ms
2 ms,1.100000023841858 ms
1.399999976158142 ms,0.9000000357627869 ms
1.600000023841858 ms,1.199999988079071 ms
1.5999999642372131 ms,0.8999999761581421 ms
2.199999988079071 ms,1.5 ms
1.5 ms,1.300000011920929 ms
1.5 ms,1 ms
1.7999999523162842 ms,0.8999999761581421 ms
1.5 ms,1 ms
1.300000011920929 ms,2.400000035762787 ms
1.5999999642372131 ms,1.300000011920929 ms
1.9000000357627869 ms,0.699999988079071 ms
1.600000023841858 ms,1.100000023841858 ms
1.5 ms,1.5 ms
1.800000011920929 ms,1 ms
1.899999976158142 ms,1.300000011920929 ms
1.5 ms,1.5 ms
1.5 ms,1.100000023841858 ms
2.199999988079071 ms,1.0999999642372131 ms
1.800000011920929 ms,1.100000023841858 ms
1.4000000357627869 ms,1.199999988079071 ms
1.4000000357627869 ms,0.800000011920929 ms
2.100000023841858 ms,1.300000011920929 ms
1.5 ms,1.199999988079071 ms
1.7000000476837158 ms,0.9000000357627869 ms
1.5 ms,1.699999988079071 ms
1.600000023841858 ms,0.8999999761581421 ms
1.399999976158142 ms,1.199999988079071 ms
1.5 ms,1.5 ms
2.100000023841858 ms,1.0999999642372131 ms
2.199999988079071 ms,1.100000023841858 ms
1.5 ms,1.5 ms
1.600000023841858 ms,0.8999999761581421 ms
1.5 ms,1.5 ms
1.600000023841858 ms,1.300000011920929 ms
1.5 ms,1.0999999642372131 ms
1.600000023841858 ms,1 ms
1.4000000357627869 ms,1.100000023841858 ms
1.699999988079071 ms,1.399999976158142 ms
1.4000000357627869 ms,1 ms
2.099999964237213 ms,1.5 ms
1.5 ms,1.100000023841858 ms
1.800000011920929 ms,1.399999976158142 ms
1.5 ms,1.199999988079071 ms
1.5 ms,1 ms
1.600000023841858 ms,1.4000000357627869 ms
1.699999988079071 ms,1.5 ms
1.600000023841858 ms,0.9000000357627869 ms
1.5 ms,0.8999999761581421 ms
1.600000023841858 ms,1 ms
2 ms,1.199999988079071 ms
1.5999999642372131 ms,1.100000023841858 ms
1.800000011920929 ms,1.300000011920929 ms
1.399999976158142 ms,1.5 ms
1.5999999642372131 ms,0.9000000357627869 ms
1.399999976158142 ms,1.199999988079071 ms
1.5 ms,1.4000000357627869 ms
2.099999964237213 ms,3 ms
1.899999976158142 ms,1.5 ms
1.699999988079071 ms,1 ms
1.600000023841858 ms,1.300000011920929 ms
1.699999988079071 ms,0.8999999761581421 ms
2 ms,1.4000000357627869 ms
1.600000023841858 ms,1.399999976158142 ms
2.5 ms,1 ms
1.899999976158142 ms,1 ms
1.699999988079071 ms,1.199999988079071 ms
1.4000000357627869 ms,1 ms
1.399999976158142 ms,1.199999988079071 ms
1.5 ms,1 ms
1.699999988079071 ms,1.2999999523162842 ms
1.5999999642372131 ms,1.2999999523162842 ms
1.899999976158142 ms,0.9000000357627869 ms
1.5 ms,0.8999999761581421 ms
1.699999988079071 ms,0.9000000357627869 ms
1.399999976158142 ms,0.8999999761581421 ms
1.600000023841858 ms,1.5999999642372131 ms
