Browser Name,Browser Version
firefox,125.0.3
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
1 ms,12 ms
5 ms,7 ms
2 ms,11 ms
2 ms,2 ms
4 ms,4 ms
1 ms,8 ms
3 ms,5 ms
2 ms,3 ms
3 ms,2 ms
2 ms,4 ms
2 ms,4 ms
1 ms,2 ms
3 ms,2 ms
2 ms,1 ms
2 ms,1 ms
1 ms,1 ms
2 ms,1 ms
2 ms,5 ms
2 ms,1 ms
2 ms,3 ms
2 ms,6 ms
2 ms,1 ms
3 ms,2 ms
2 ms,2 ms
2 ms,3 ms
2 ms,5 ms
2 ms,1 ms
2 ms,2 ms
4 ms,2 ms
2 ms,2 ms
1 ms,1 ms
2 ms,2 ms
3 ms,0 ms
6 ms,1 ms
1 ms,1 ms
3 ms,1 ms
6 ms,2 ms
2 ms,2 ms
2 ms,1 ms
1 ms,1 ms
1 ms,1 ms
5 ms,1 ms
1 ms,3 ms
1 ms,2 ms
2 ms,1 ms
3 ms,1 ms
2 ms,2 ms
4 ms,2 ms
3 ms,1 ms
1 ms,1 ms
3 ms,6 ms
3 ms,5 ms
1 ms,2 ms
2 ms,1 ms
2 ms,0 ms
1 ms,2 ms
2 ms,1 ms
5 ms,2 ms
1 ms,5 ms
3 ms,5 ms
2 ms,1 ms
1 ms,0 ms
2 ms,1 ms
1 ms,1 ms
4 ms,5 ms
3 ms,2 ms
5 ms,2 ms
2 ms,1 ms
2 ms,1 ms
2 ms,1 ms
2 ms,4 ms
3 ms,5 ms
4 ms,1 ms
3 ms,1 ms
4 ms,5 ms
2 ms,1 ms
1 ms,3 ms
3 ms,4 ms
2 ms,2 ms
2 ms,2 ms
2 ms,3 ms
1 ms,7 ms
2 ms,5 ms
3 ms,2 ms
2 ms,4 ms
2 ms,3 ms
1 ms,10 ms
3 ms,2 ms
3 ms,9 ms
2 ms,2 ms
1 ms,3 ms
3 ms,2 ms
1 ms,2 ms
4 ms,2 ms
2 ms,2 ms
2 ms,1 ms
2 ms,1 ms
3 ms,1 ms
2 ms,1 ms
2 ms,1 ms
2 ms,1 ms
1 ms,1 ms
2 ms,1 ms
2 ms,2 ms
1 ms,1 ms
2 ms,1 ms
2 ms,1 ms
2 ms,2 ms
3 ms,2 ms
1 ms,2 ms
2 ms,1 ms
2 ms,1 ms
2 ms,1 ms
2 ms,1 ms
1 ms,2 ms
2 ms,2 ms
2 ms,2 ms
1 ms,2 ms
2 ms,2 ms
2 ms,3 ms
1 ms,3 ms
1 ms,5 ms
2 ms,4 ms
1 ms,5 ms
2 ms,2 ms
6 ms,2 ms
2 ms,11 ms
2 ms,2 ms
2 ms,2 ms
1 ms,1 ms
4 ms,1 ms
1 ms,1 ms
2 ms,4 ms
2 ms,8 ms
2 ms,2 ms
3 ms,1 ms
2 ms,1 ms
2 ms,2 ms
3 ms,3 ms
2 ms,1 ms
2 ms,1 ms
2 ms,1 ms
2 ms,1 ms
2 ms,1 ms
2 ms,2 ms
2 ms,1 ms
3 ms,2 ms
2 ms,3 ms
1 ms,1 ms
3 ms,1 ms
2 ms,1 ms
1 ms,1 ms
2 ms,2 ms
2 ms,2 ms
1 ms,2 ms
4 ms,0 ms
3 ms,2 ms
2 ms,1 ms
1 ms,1 ms
3 ms,1 ms
2 ms,1 ms
2 ms,2 ms
1 ms,3 ms
2 ms,10 ms
1 ms,1 ms
2 ms,3 ms
1 ms,4 ms
2 ms,3 ms
3 ms,2 ms
3 ms,3 ms
2 ms,7 ms
3 ms,4 ms
2 ms,1 ms
1 ms,2 ms
3 ms,1 ms
1 ms,2 ms
2 ms,2 ms
1 ms,2 ms
3 ms,7 ms
2 ms,1 ms
3 ms,2 ms
2 ms,4 ms
1 ms,1 ms
3 ms,1 ms
2 ms,1 ms
3 ms,1 ms
1 ms,0 ms
3 ms,1 ms
3 ms,2 ms
2 ms,1 ms
2 ms,2 ms
2 ms,2 ms
1 ms,1 ms
3 ms,1 ms
2 ms,1 ms
3 ms,1 ms
3 ms,1 ms
1 ms,7 ms
4 ms,1 ms
2 ms,1 ms
