Browser Name,Browser Version
firefox,126.0
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
2 ms,4 ms
1 ms,5 ms
1 ms,18 ms
1 ms,3 ms
0 ms,7 ms
1 ms,10 ms
20 ms,2 ms
0 ms,9 ms
1 ms,5 ms
0 ms,8 ms
1 ms,4 ms
1 ms,9 ms
1 ms,9 ms
1 ms,3 ms
1 ms,12 ms
1 ms,8 ms
0 ms,1 ms
1 ms,17 ms
0 ms,6 ms
0 ms,3 ms
0 ms,7 ms
7 ms,5 ms
1 ms,9 ms
0 ms,3 ms
0 ms,10 ms
1 ms,5 ms
1 ms,4 ms
0 ms,3 ms
1 ms,6 ms
0 ms,5 ms
1 ms,19 ms
0 ms,3 ms
0 ms,2 ms
1 ms,8 ms
0 ms,6 ms
1 ms,5 ms
1 ms,5 ms
0 ms,4 ms
1 ms,10 ms
0 ms,3 ms
1 ms,3 ms
1 ms,6 ms
1 ms,3 ms
0 ms,5 ms
1 ms,5 ms
1 ms,3 ms
1 ms,6 ms
1 ms,7 ms
0 ms,11 ms
1 ms,3 ms
1 ms,5 ms
1 ms,9 ms
1 ms,6 ms
0 ms,5 ms
1 ms,18 ms
0 ms,3 ms
0 ms,9 ms
0 ms,9 ms
1 ms,4 ms
3 ms,9 ms
1 ms,3 ms
1 ms,8 ms
1 ms,2 ms
2 ms,8 ms
0 ms,9 ms
0 ms,2 ms
0 ms,13 ms
0 ms,9 ms
0 ms,2 ms
3 ms,16 ms
1 ms,6 ms
0 ms,7 ms
1 ms,2 ms
1 ms,11 ms
0 ms,7 ms
2 ms,3 ms
1 ms,4 ms
2 ms,7 ms
1 ms,3 ms
1 ms,4 ms
1 ms,4 ms
0 ms,2 ms
0 ms,11 ms
0 ms,6 ms
2 ms,5 ms
0 ms,2 ms
1 ms,7 ms
0 ms,15 ms
1 ms,3 ms
2 ms,11 ms
1 ms,10 ms
2 ms,3 ms
1 ms,5 ms
1 ms,3 ms
1 ms,4 ms
0 ms,9 ms
0 ms,12 ms
1 ms,11 ms
2 ms,2 ms
0 ms,10 ms
