Browser Name,Browser Version
MicrosoftEdge,125.0.2535.51
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
20.60 ms,8.50 ms
4.10 ms,6.80 ms
4.10 ms,7.20 ms
4.60 ms,9.80 ms
4.10 ms,8.30 ms
4.70 ms,7.90 ms
4.30 ms,7.40 ms
4.10 ms,5.90 ms
4.70 ms,9.20 ms
4.00 ms,5.60 ms
3.90 ms,12.30 ms
3.90 ms,9.50 ms
4.30 ms,10.60 ms
4.50 ms,7.70 ms
3.90 ms,9.00 ms
4.40 ms,5.80 ms
4.30 ms,5.50 ms
5.90 ms,8.90 ms
4.50 ms,8.10 ms
4.70 ms,5.60 ms
5.40 ms,9.90 ms
4.70 ms,7.80 ms
4.40 ms,7.90 ms
4.90 ms,7.40 ms
7.90 ms,6.50 ms
5.20 ms,8.50 ms
4.00 ms,6.40 ms
5.00 ms,10.40 ms
12.60 ms,9.60 ms
5.90 ms,6.30 ms
4.10 ms,7.80 ms
4.30 ms,6.20 ms
4.00 ms,10.70 ms
6.00 ms,11.40 ms
4.30 ms,7.60 ms
6.90 ms,6.30 ms
5.60 ms,11.10 ms
4.10 ms,8.70 ms
4.80 ms,6.80 ms
3.90 ms,6.40 ms
8.10 ms,12.10 ms
4.30 ms,6.40 ms
4.80 ms,6.90 ms
5.00 ms,6.10 ms
5.60 ms,7.50 ms
4.00 ms,5.60 ms
4.10 ms,6.70 ms
4.10 ms,5.80 ms
5.40 ms,9.50 ms
4.10 ms,6.40 ms
4.20 ms,9.50 ms
4.20 ms,6.30 ms
7.00 ms,8.50 ms
4.20 ms,7.60 ms
5.10 ms,7.80 ms
4.80 ms,10.60 ms
4.10 ms,10.70 ms
4.00 ms,8.40 ms
4.10 ms,6.90 ms
4.00 ms,7.00 ms
6.00 ms,8.70 ms
5.70 ms,6.20 ms
7.60 ms,7.20 ms
4.80 ms,6.70 ms
4.10 ms,10.80 ms
4.20 ms,8.80 ms
4.60 ms,7.50 ms
4.10 ms,5.70 ms
4.10 ms,7.80 ms
4.30 ms,6.80 ms
5.00 ms,7.50 ms
4.10 ms,7.10 ms
4.40 ms,9.90 ms
5.60 ms,6.90 ms
6.80 ms,11.60 ms
4.40 ms,6.30 ms
4.10 ms,8.10 ms
4.10 ms,8.20 ms
4.70 ms,9.00 ms
4.60 ms,5.80 ms
4.00 ms,6.90 ms
4.00 ms,5.80 ms
4.60 ms,6.50 ms
4.00 ms,7.20 ms
4.40 ms,7.20 ms
4.20 ms,5.60 ms
4.20 ms,12.40 ms
4.00 ms,8.60 ms
4.10 ms,9.60 ms
4.00 ms,6.10 ms
4.20 ms,7.80 ms
6.50 ms,9.00 ms
7.50 ms,6.60 ms
4.30 ms,7.70 ms
7.70 ms,6.70 ms
4.10 ms,7.90 ms
4.00 ms,6.60 ms
6.50 ms,16.00 ms
7.60 ms,9.70 ms
6.20 ms,7.10 ms
