Browser Name,Browser Version
chrome,124.0.6367.119
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
8.10 ms,15.90 ms
2.50 ms,14.60 ms
2.30 ms,12.40 ms
2.40 ms,13.90 ms
4.20 ms,12.00 ms
2.40 ms,22.10 ms
2.70 ms,16.70 ms
2.70 ms,12.90 ms
4.90 ms,14.40 ms
2.40 ms,15.00 ms
2.40 ms,14.80 ms
4.80 ms,12.70 ms
4.70 ms,13.50 ms
3.70 ms,14.40 ms
2.80 ms,11.20 ms
3.20 ms,12.40 ms
4.60 ms,10.50 ms
3.10 ms,14.00 ms
3.00 ms,12.70 ms
2.30 ms,10.70 ms
2.90 ms,14.40 ms
2.50 ms,12.20 ms
2.40 ms,10.20 ms
2.30 ms,10.90 ms
2.40 ms,14.50 ms
2.60 ms,11.40 ms
2.50 ms,10.20 ms
2.50 ms,11.10 ms
2.40 ms,12.30 ms
2.40 ms,10.60 ms
2.40 ms,10.00 ms
4.30 ms,10.30 ms
2.30 ms,13.00 ms
2.40 ms,10.80 ms
2.90 ms,10.80 ms
2.40 ms,10.80 ms
2.40 ms,13.10 ms
2.60 ms,10.20 ms
2.80 ms,11.20 ms
2.90 ms,12.20 ms
2.90 ms,14.10 ms
3.10 ms,11.60 ms
3.00 ms,12.50 ms
3.00 ms,11.20 ms
3.30 ms,18.50 ms
2.90 ms,13.20 ms
3.40 ms,14.20 ms
3.00 ms,12.50 ms
3.10 ms,15.00 ms
5.60 ms,12.40 ms
3.00 ms,12.50 ms
3.10 ms,11.80 ms
3.30 ms,14.70 ms
3.00 ms,12.60 ms
3.20 ms,12.60 ms
3.00 ms,10.60 ms
3.20 ms,14.50 ms
3.00 ms,10.50 ms
2.90 ms,11.70 ms
4.90 ms,10.60 ms
3.00 ms,14.10 ms
2.70 ms,9.90 ms
2.80 ms,9.00 ms
3.50 ms,8.80 ms
4.40 ms,12.20 ms
3.00 ms,11.00 ms
3.40 ms,10.30 ms
3.00 ms,11.50 ms
3.50 ms,13.30 ms
3.00 ms,10.30 ms
3.00 ms,11.70 ms
3.20 ms,11.90 ms
3.00 ms,13.40 ms
2.90 ms,10.50 ms
2.90 ms,12.00 ms
3.70 ms,10.90 ms
2.90 ms,13.50 ms
3.00 ms,12.10 ms
3.00 ms,11.20 ms
3.40 ms,15.90 ms
3.30 ms,16.00 ms
2.90 ms,14.30 ms
3.90 ms,13.40 ms
4.10 ms,12.10 ms
3.40 ms,15.40 ms
3.40 ms,12.90 ms
3.20 ms,12.80 ms
3.30 ms,11.60 ms
3.10 ms,15.60 ms
4.20 ms,12.00 ms
3.20 ms,12.30 ms
3.00 ms,11.20 ms
3.30 ms,14.20 ms
3.00 ms,11.90 ms
3.20 ms,11.90 ms
2.90 ms,11.10 ms
2.90 ms,12.00 ms
2.90 ms,8.80 ms
3.30 ms,8.40 ms
3.10 ms,10.00 ms
3.20 ms,14.70 ms
3.00 ms,15.10 ms
3.00 ms,13.20 ms
3.20 ms,14.40 ms
6.80 ms,11.80 ms
3.00 ms,14.60 ms
3.20 ms,11.60 ms
3.30 ms,11.70 ms
2.50 ms,14.50 ms
2.70 ms,11.50 ms
2.60 ms,11.30 ms
2.80 ms,12.60 ms
3.20 ms,13.90 ms
3.20 ms,13.70 ms
2.90 ms,12.80 ms
2.80 ms,13.70 ms
2.80 ms,15.50 ms
2.90 ms,11.30 ms
3.10 ms,11.30 ms
3.00 ms,13.40 ms
2.90 ms,13.80 ms
3.00 ms,11.70 ms
3.90 ms,12.70 ms
2.80 ms,10.50 ms
3.00 ms,13.30 ms
4.20 ms,11.50 ms
2.80 ms,10.20 ms
5.60 ms,10.30 ms
3.70 ms,14.40 ms
5.10 ms,11.20 ms
4.20 ms,12.80 ms
3.30 ms,10.40 ms
3.30 ms,12.40 ms
3.10 ms,9.80 ms
3.40 ms,10.00 ms
3.40 ms,10.20 ms
3.20 ms,13.60 ms
3.60 ms,11.30 ms
3.10 ms,10.00 ms
4.70 ms,10.60 ms
2.90 ms,13.00 ms
2.90 ms,10.30 ms
3.60 ms,10.70 ms
3.00 ms,13.10 ms
3.00 ms,13.20 ms
3.00 ms,11.50 ms
4.40 ms,10.40 ms
3.00 ms,12.30 ms
4.20 ms,13.40 ms
3.20 ms,14.20 ms
2.60 ms,13.80 ms
2.50 ms,12.60 ms
2.50 ms,14.40 ms
3.20 ms,12.70 ms
3.50 ms,11.40 ms
3.10 ms,12.00 ms
5.30 ms,13.80 ms
5.80 ms,10.90 ms
4.60 ms,10.60 ms
3.30 ms,10.70 ms
3.20 ms,13.10 ms
3.40 ms,11.10 ms
3.10 ms,12.00 ms
3.20 ms,10.20 ms
3.10 ms,13.20 ms
3.10 ms,10.40 ms
3.00 ms,11.50 ms
3.40 ms,9.80 ms
3.00 ms,15.00 ms
2.90 ms,9.20 ms
4.00 ms,9.90 ms
3.70 ms,10.20 ms
4.40 ms,12.10 ms
3.50 ms,10.80 ms
4.40 ms,11.00 ms
3.60 ms,10.80 ms
3.10 ms,12.80 ms
3.00 ms,11.90 ms
3.70 ms,11.40 ms
3.20 ms,10.50 ms
3.40 ms,13.00 ms
2.80 ms,14.60 ms
3.70 ms,12.00 ms
3.00 ms,14.40 ms
4.60 ms,16.00 ms
3.00 ms,12.90 ms
2.90 ms,13.20 ms
3.10 ms,11.50 ms
3.10 ms,14.10 ms
3.10 ms,13.00 ms
3.10 ms,11.20 ms
2.90 ms,11.50 ms
4.30 ms,14.10 ms
2.60 ms,10.70 ms
2.60 ms,11.10 ms
2.80 ms,10.90 ms
2.70 ms,12.00 ms
4.10 ms,18.40 ms
3.20 ms,11.00 ms
3.10 ms,11.00 ms
